symbol,year,period,costOfGoodsSold,dilutedAverageSharesOutstanding,dilutedEPS,ebit,grossIncome,interestIncomeExpense,netIncome,netIncomeAfterTaxes,period,pretaxIncome,provisionforIncomeTaxes,researchDevelopment,revenue,sgaExpense,totalOperatingExpense,totalOtherIncomeExpenseNet
CPB,2020,2020-08-02,5672,304,2.36938,1165,3019,-399,1628,592,2020-08-02,766,174,92,8691,1521,1854,
CPB,2019,2019-07-28,5390,302,2.29993,984,2717,-359,211,476,2019-07-28,625,149,88,8107,1385,1733,
CPB,2018,2018-07-29,4157,302,2.5861,1014,2458,-184,261,598,2018-07-29,830,232,91,6615,1179,1444,
CPB,2017,2017-07-30,3401,307,2.76277,1441,2436,-125,887,924,2017-07-30,1316,392,93,5837,1093,995,
CPB,2016,2016-07-31,5186,311,2.22395,948,2775,-99,563,563,2016-07-31,849,286,124,7961,1493,1827,
CPB,2015,2015-08-02,5287,313,2.41927,1060,2795,-111,666,666,2015-08-02,949,283,117,8082,1470,1735,
CPB,2014,2014-08-03,5370,316,2.45,1198,2898,-125,818,726,2014-08-03,1073,347,121,8268,1508,1700,-2
CPB,2013,2013-07-28,5140,317,2.39,1080,2912,-125,458,680,2013-07-28,955,275,128,8052,1624,1832,29
CPB,2012,2012-07-29,4715,319,2.46,1212,2992,-106,774,764,2012-07-29,1106,342,125,7707,1631,1780,7
CPB,2011,2011-07-31,4616,329,2.6,1279,3103,-111,805,802,2011-07-31,1168,366,129,7719,1619,1824,5
CPB,2010,2010-08-01,4526,343,2.44,1348,3150,-106,844,844,2010-08-01,1242,398,123,7676,1663,1802,3
CPB,2009,2009-08-02,4558,358,2.17,1185,3028,-106,736,732,2009-08-02,1079,347,114,7586,1668,1843,1
CPB,2008,2008-08-03,4827,381,2.09,1098,3171,-159,1165,671,2008-08-03,939,268,115,7998,1770,2073,6
CPB,2007,2007-07-29,4571,396,2.08,1293,3296,-144,854,823,2007-07-29,1149,326,112,7867,1926,2003,-35
CPB,2006,2006-07-30,4268,414,1.82,1151,3075,-150,766,755,2006-07-30,1001,246,99,7343,1820,1924,5
CPB,2005,2005-07-31,4491,413,1.71,1210,3057,-180,707,707,2005-07-31,1030,323,95,7548,1756,1847,-4
CPB,2004,2004-08-01,4187,412,1.62,1115,2922,-168,647,647,2004-08-01,947,300,93,7109,1695,1807,-13
CPB,2003,2003-08-03,3805,411,1.52,1105,2873,-181,595,626,2003-08-03,924,298,88,6678,1652,1768,28
CPB,2002,2002-07-28,3443,411,1.28,984,2690,-186,525,525,2002-07-28,798,273,77,6133,1490,1706,138
CPB,2001,2001-07-29,3146,418,1.57,1194,3518,-207,649,649,2001-07-29,987,338,63,6664,2137,2324,114
CPB,2000,2000-07-30,2908,432,1.65,1265,3359,-188,714,714,2000-07-30,1077,363,64,6267,1941,2094,89
CPB,1999,1999-08-01,3050,445,1.68,1270,3374,-173,724,724,1999-08-01,1097,373,66,6424,1938,2104,64
CPB,1998,1998-08-02,3233,460,1.86,1248,3463,-175,660,689,1998-08-02,1073,384,71,6696,1818,2215,64
CPB,1997,1997-08-03,4305,478,1.78,1266,3659,-159,713,713,1997-08-03,1107,394,77,7964,1960,2393,140
CPB,1996,1996-07-28,4363,503,1.59,1317,3315,-120,802,802,1996-07-28,1197,395,84,7678,1842,1998,72
CPB,1995,1995-07-30,4264,498,1.4,1147,3014,-105,698,698,1995-07-30,1042,344,88,7278,1716,1867,63
CPB,1994,1994-07-31,3970,502,1.25,1027,2694,-64,630,630,1994-07-31,963,333,78,6664,1548,1667,41
CPB,1993,1993-08-01,4028,503.8,0.86,594,2558,-74,8,257,1993-08-01,520,263,69,6586,1514,1964,0
CPB,1992,1992-08-02,3963.1,503.4,0.97,877.1,2300.1,-86.6,490.5,490.5,1992-08-02,799.3,308.8,59.7,6263.2,1332.3,1423.0000000000005,8.8
CPB,1991,1991-07-28,4095.5,508,0.79,755.2,2108.6,-90.2,401.5,401.5,1991-07-28,667.4,265.9,56.3,6204.1,1262.9,1353.3999999999996,2.4
