symbol,year,period,costOfGoodsSold,dilutedAverageSharesOutstanding,dilutedEPS,ebit,grossIncome,interestIncomeExpense,netIncome,netIncomeAfterTaxes,period,pretaxIncome,provisionforIncomeTaxes,researchDevelopment,revenue,sgaExpense,totalOperatingExpense,totalOtherIncomeExpenseNet
CPB,,2020-08-02,5672,1215,2.39447,1167,3019,-401,1628,592,2020-08-02,766,174,92,8691,1521,1852,
CPB,,2020-04-26,4940,1212,2.18918,987,2621,-437,1534,430,2020-04-26,550,120,84,7561,1279,1634,
CPB,,2020-01-26,4796,1210,2.01552,873,2480,-385,1450,387,2020-01-26,488,101,81,7276,1256,1607,
CPB,,2019-10-27,4835,1208,2.02664,849,2451,-331,183,392,2019-10-27,518,126,79,7286,1238,1602,
CPB,,2019-07-28,4835,1207,2.03741,870,2470,-353,211,403,2019-07-28,517,114,80,7305,1246,1600,
CPB,,2019-04-28,4781,1208,1.83279,1019,2418,-359,313,507,2019-04-28,660,153,76,7199,1288,1399,
CPB,,2019-01-27,4708,1207,1.9875799999999997,940,2416,-320,-164,461,2019-01-27,620,159,79,7124,1230,1476,
CPB,,2018-10-28,4235,1206,2.39503,941,2421,-257,180,503,2018-10-28,684,181,84,6656,1163,1480,
CPB,,2018-07-29,4157,1206,2.57,1014,2458,-184,261,598,2018-07-29,830,232,91,6615,1179,1444,-100
CPB,,2018-04-29,3085,1207,3.1500000000000004,1383,2269,-147,485,925,2018-04-29,1236,311,94,5354,975,886,-193
CPB,,2018-01-28,3042,1212,3.05,1524,2287,-134,1054,1024,2018-01-28,1390,366,96,5329,1020,763,-166
CPB,,2017-10-29,3407,1220,2.7199999999999998,1398,2389,-129,870,907,2017-10-29,1269,362,97,5796,1109,991,-104
CPB,,2017-07-30,3401,1228,2.76,1441,2436,-125,887,924,2017-07-30,1316,392,93,5837,1093,995,-84
CPB,,2017-04-30,5022,1234,2.0300000000000002,929,2891,-118,488,488,2017-04-30,811,323,116,7913,1451,1962,154
CPB,,2017-01-29,5074,1239,2.07,859,2856,-78,497,497,2017-01-29,781,284,120,7930,1482,1997,146
CPB,,2016-10-30,5119,1242,2.23,1074,2841,-83,661,661,2016-10-30,991,330,118,7960,1467,1767,131
CPB,,2016-07-31,5206,1244,1.97,930,2755,-81,563,563,2016-07-31,849,286,124,7961,1493,1825,130
CPB,,2016-05-01,5196,1245,2.36,1001,2771,-71,661,661,2016-05-01,930,269,120,7967,1534,1770,4
CPB,,2016-01-31,5200,1246,2.36,1043,2797,-96,655,655,2016-01-31,947,292,119,7997,1503,1754,11
CPB,,2015-11-01,5297,1248,2.19,967,2733,-95,612,612,2015-11-01,872,260,121,8030,1515,1766,25
CPB,,2015-08-02,5305,1252,2.27,1045,2777,-96,666,666,2015-08-02,949,283,117,8082,1522,1732,24
CPB,,2015-05-03,5327,1258,2.75,1308,2914,-94,834,832,2015-05-03,1212,380,117,8241,1425,1606,12
CPB,,2015-02-01,5393,1262,2.7,1327,2918,-108,839,836,2015-02-01,1217,381,117,8311,1434,1591,11
CPB,,2014-11-02,5369,1264,2.7600000000000002,1351,2989,-112,942,842,2014-11-02,1237,395,119,8358,1470,1638,7
CPB,,2014-08-03,5297,1265,2.59,1268,2971,-117,866,774,2014-08-03,1148,374,122,8268,1505,1703,2
CPB,,2014-04-27,5249,1266,2.38,1137,2890,-119,523,706,2014-04-27,1017,311,122,8139,1556,1753,9
CPB,,2014-01-26,5211,1267,2.34,1102,2920,-120,520,690,2014-01-26,981,291,127,8131,1614,1818,11
CPB,,2013-10-27,5144,1267,2.13,1018,2868,-122,385,630,2013-10-27,895,265,132,8012,1642,1850,15
