symbol,year,accountsPayable,accountsReceivables,accruedLiability,accumulatedDepreciation,cashEquivalents,cashShortTermInvestments,commonStock,currentAssets,currentLiabilities,currentPortionLongTermDebt,deferredIncomeTax,goodwill,intangiblesAssets,inventory,liabilitiesShareholdersEquity,longTermDebt,longTermInvestments,otherCurrentAssets,otherCurrentliabilities,otherEquity,otherLiabilities,otherLongTermAssets,otherReceivables,period,propertyPlantEquipment,retainedEarnings,sharesOutstanding,shortTermDebt,shortTermInvestments,tangibleBookValueperShare,totalAssets,totalDebt,totalEquity,totalLiabilities,totalLongTermDebt,totalReceivables,treasuryStock
CPB,2020,1049,530,682,,859,859,12,2385,3075,724,914,3986,3350,871,12372,4987,0,80,142,-10,820,29,45,2020-08-02,2622,3190,302,478,,-15.80464,12372,6196,2563,9809,4994,575,-1023
CPB,2019,814,525,601,-2760,31,31,12,1967,3385,501,924,4017,3415,863,13148,7101,77,499,599,-198,624,1217,49,2019-07-28,2455,1993,301,870,,-21.02658,13148,8474,1103,12045,7103,574,-1076
CPB,2018,705,510,513,-2773,49,49,12,2296,3594,390,960,3864,3664,887,14529,7991,92,797,851,-118,611,2147,53,2018-07-29,2466,2224,301,1135,,-20.47841,14529,9516,1364,13165,7991,563,-1103
CPB,2017,666,550,518,-3589,319,319,12,1900,2395,153,490,2115,1118,902,7726,2492,69,74,174,-53,697,70,55,2017-07-30,2454,2385,301,884,,-5.30233,7726,3536,1637,6089,2499,605,-1066
CPB,2016,610,554,588,-3357,296,296,12,1908,2555,402,396,2263,1152,940,7837,2306,47,46,138,-104,1039,60,72,2016-07-31,2407,1927,308,817,,-6.13636,7837,3533,1525,6312,2314,626,-664
CPB,2015,544,557,577,-3166,253,253,12,2093,2806,1,505,2344,1205,995,8077,2529,10,198,142,-168,850,78,90,2015-08-02,2347,1754,310,1542,,-6.99355,8077,4082,1381,6696,2539,647,-556
CPB,2014,527,585,536,-3201,232,232,12,2100,2989,301,548,2433,1175,1016,8113,2242,,182,155,-569,729,87,85,2014-08-03,2318,2198,313,1470,,-6.3674,8113,4015,1615,6498,2244,670,-356
CPB,2013,523,576,617,-3395,333,333,12,2221,3282,,489,2297,1021,925,8323,2544,,328,233,-565,798,524,59,2013-07-28,2260,1772,333,1909,,-6.3093,8323,4453,1217,7106,2544,635,-364
CPB,2012,571,513,569,-3356,335,335,20,1771,2070,,298,2013,496,714,6530,2004,,169,144,-776,1260,123,40,2012-07-29,2127,9584,312,786,,-5.1635,6530,2790,898,5632,2004,553,-8259
CPB,2011,585,519,582,-3260,484,484,20,1963,1989,,367,2133,527,767,6862,2427,,152,165,-427,983,136,41,2011-07-31,2103,9185,320,657,,-4.9125,6862,3084,1088,5774,2427,560,-8021
