symbol,year,accountsPayable,accountsReceivables,accruedLiability,accumulatedDepreciation,cashEquivalents,cashShortTermInvestments,commonStock,currentAssets,currentLiabilities,currentPortionLongTermDebt,deferredIncomeTax,goodwill,intangiblesAssets,inventory,liabilitiesShareholdersEquity,longTermDebt,longTermInvestments,otherCurrentAssets,otherCurrentliabilities,otherEquity,otherLiabilities,otherLongTermAssets,otherReceivables,period,propertyPlantEquipment,retainedEarnings,sharesOutstanding,shortTermDebt,shortTermInvestments,tangibleBookValueperShare,totalAssets,totalDebt,totalEquity,totalLiabilities,totalLongTermDebt,totalReceivables,treasuryStock
CPB,2010,545,466,558,-2992,254,254,20,1687,2065,,258,1919,509,724,6276,1945,,197,127,-736,1079,110,46,2010-08-01,2051,8760,336,835,,-4.4702,6276,2780,926,5350,1945,512,-7459
CPB,2009,569,466,579,-2916,51,51,20,1551,1628,,237,1901,522,824,6056,2246,7,148,102,-718,1217,98,62,2009-08-02,1977,8288,343,378,0,-4.9417,6056,2624,728,5328,2246,528,-7194
CPB,2008,655,498,655,-2827,81,122,20,1693,2403,300,354,1998,605,829,6474,1633,8,172,90,-136,766,231,72,2008-08-03,1939,7909,356,703,41,-3.6096,6474,2636,1318,5156,1633,570,-6812
CPB,2007,694,531,622,-2767,71,71,20,1578,2030,0,354,1872,615,775,6445,2074,17,151,119,-123,692,321,50,2007-07-29,2042,7082,379,595,0,-3.1451,6445,2669,1295,5150,2074,581,-6015
CPB,2006,691,465,820,-2543,657,657,20,2112,2962,606,463,1765,596,728,7870,2116,147,233,354,4,561,1296,29,2006-07-30,1954,6539,402,491,,-1.4751,7870,3213,1768,6102,2116,494,-5147
CPB,2005,624,473,606,-2524,40,40,20,1512,2002,,342,1950,1059,782,6776,2542,150,181,321,-223,620,118,36,2005-07-31,1987,6069,408,451,,-4.2623,6776,2993,1270,5506,2542,509,-4832
CPB,2004,607,464,607,-2347,32,32,20,1481,2339,0,332,1900,1095,795,6675,2543,150,164,315,-204,587,148,26,2004-08-01,1901,5642,408,810,,-5.1985,6675,3353,874,5801,2543,490,-4848
CPB,2003,620,385,602,-2169,32,32,20,1290,2783,600,245,1803,1018,709,6205,2249,162,136,282,-316,541,89,28,2003-08-03,1843,5254,410,679,,-5.9366,6205,3528,387,5818,2249,413,-4869
CPB,2002,681,395,503,-1949,21,21,20,1199,2678,301,188,1881,622,638,5721,2449,203,123,298,-481,520,132,22,2002-07-28,1684,4918,410,895,,-6.3829,5721,3645,-114,5835,2449,417,-4891
CPB,2001,582,413,450,-1740,24,24,20,1221,3120,6,303,1856,595,597,5927,2243,215,140,282,-324,508,403,29,2001-07-29,1637,4651,409,1800,,-6.5966,5927,4049,-247,6174,2243,442,-4908
CPB,2000,509,405,360,-1652,27,27,20,1168,3032,119,285,1603,164,571,5196,1218,234,109,290,-227,524,383,38,2000-07-30,1644,4373,421,1754,,-3.8717,5196,3091,137,5059,1218,443,-4373
CPB,1999,511,489,415,-1491,6,6,20,1294,3146,157,263,1697,213,615,5522,1330,211,114,233,-150,548,381,52,1999-08-01,1726,4041,429,1830,,-3.9044,5522,3317,235,5287,1330,541,-4058
CPB,1998,506,558,638,-1437,16,16,20,1440,2803,200,246,1655,249,564,5633,1169,200,186,258,-164,537,366,98,1998-08-02,1723,3706,448,1201,,-2.2991,5633,2570,874,4759,1169,656,-3083
CPB,1997,608,575,642,-1867,26,26,20,1583,2981,,251,1478,315,762,6459,1133,188,137,225,-50,571,335,58,1997-08-03,2560,3571,458,1506,,-0.8144,6459,2659,1420,5039,1153,633,-2459
CPB,1996,568,555,593,-1809,34,34,20,1618,2229,,274,1407,401,739,6632,716,158,204,203,62,553,367,63,1996-07-28,2681,3211,494,865,,1.8907,6632,1609,2742,3890,744,618,-779
CPB,1995,556,569,545,-1670,53,53,20,1581,2164,,235,1334,381,755,6315,826,52,121,198,78,485,383,62,1995-07-30,2584,2755,498,865,,1.512,6315,1722,2468,3847,857,631,-550
CPB,1994,473,578,570,-1447,96,96,20,1601,1665,,778,582,,786,4992,560,,0,188,14,,408,0,1994-07-31,2401,2359,497,434,0,2.831,4992,994,1989,3003,560,578,-559
CPB,1993,510,646,499,-1321,63,70,20,1686,1851,,881,596,,804,4898,462,,0,172,-39,,351,0,1993-08-01,2264,2002,502,669,7,2.2072,4898,1131,1704,3194,462,646,-429
CPB,1992,498,577,364,-1243,112,118,20,1502,1300,,333,442,,718,4354,693,,0,144,69,,445,0,1992-08-02,1966,2225,502,294,6,3.1594,4354,987,2028,2326,693,577,-402
CPB,1991,482,527,409,-1132,179,192,20,1519,1278,,305,436,,707,4149,773,,0,105,24,,405,0,1991-07-28,1790,1913,508,282,13,2.6732,4149,1055,1793,2356,773,527,-270
CPB,1990,525,625,492,-1017,81,103,20,1666,1298,,320,383,,820,4116,806,,0,79,64,,349,0,1990-07-29,1718,1653,517,202,23,2.53,4116,1008,1692,2424,806,625,-107
CPB,1989,508,538,393,-1002,121,147,20,1602,1232,,293,467,,816,3932,629,,0,60,2,,323,0,1989-07-30,1541,1776,518,272,26,2.5309,3932,901,1778,2154,629,538,-71
CPB,1988,447,487,237,-1031,86,121,20,1363,863,,326,497,,665,3610,526,,0,42,29,,241,0,1988-07-31,1509,1879,516,138,35,2.7093,3610,664,1895,1715,526,487,-75
CPB,1987,375,339,175,-1006,38,425,20,1431,686,,287,,,624,3090,380,,,43,12,,311,0,1987-08-02,1349,1710,520,94,387,3.3385,3090,474,1736,1354,380,339,-47
CPB,1986,322,299,166,-921,36,394,20,1335,626,,236,0,,611,2763,362,,0,50,-25,,260,0,1986-08-03,1168,1554,519,89,358,2.9653,2763,451,1539,1224,362,299,-48
CPB,1985,275,280,136,-829,30,225,20,1153,573,,185,0,,623,2438,297,,0,70,-37,,257,0,1985-07-28,1027,1415,517,92,195,2.6731,2438,389,1382,1055,297,280,-52
CPB,1984,277,279,117,-774,32,146,20,1063,522,,145,0,,603,2210,283,,0,64,-38,,176,0,1984-07-29,971,1296,516,63,114,2.4419,2210,346,1260,950,283,279,-54
CPB,1983,256,237,100,-718,34,213,20,932,453,,121,0,,456,1992,267,,0,52,-30,,170,0,1983-07-31,889,1179,516,45,179,2.2267,1992,312,1149,842,267,237,-55
CASY,2020,184.8,48.5,188.348,-2037.708,78.275,78.275,33.286,387.25,1063.428,570.28,435.598,161.075,,236.007,3943.892,714.502,,,,,87.159,50.623,14.667000000000002,2020-04-30,3344.944,1609.919,36.80633,120,,40.26835,3943.892,1404.782,1643.205,2300.687,714.502,63.167,
CASY,2019,335.24,37.856,163.487,-1826.936,63.296,63.296,15.6,410.58,590.932,17.205,385.788,157.223,,273.04,3731.376,1283.275,,,,,62.612,52.947,28.895000000000003,2019-04-30,3110.626,1393.169,36.66452,75,,34.13507,3731.376,1375.48,1408.769,2322.607,1283.275,66.751,
CASY,2018,321.419,45.045,131.457,-1611.177,53.679,53.679,0,396.84,507.85,15.374,341.946,140.258,,241.668,3469.927,1291.725,,,,,57.265,29.909,50.682,2018-04-30,2902.92,1271.141,36.87432,39.6,,30.66858,3469.927,1346.699,1271.141,2198.786,1291.725,95.727,
CASY,2017,293.903,43.244,117.154,-1496.472,76.717,76.717,40.074,350.685,427.378,15.421,440.124,132.806,,201.644,3020.102,907.356,,,,,54.624,23.453,19.901000000000003,2017-04-30,2513.158,1150.546,38.76582,0.9,,27.28729,3020.102,923.677,1190.62,1829.482,907.356,63.145,
CASY,2016,241.207,27.701,130.989,-1340.249,75.775,75.775,72.868,325.885,387.571,15.375,394.934,128.566,,204.988,2726.148,822.869,,,,,37.311,19.222,14.412999999999997,2016-04-30,2252.475,1010.595,39.05557,0,,24.4497,2726.148,838.244,1083.463,1642.685,822.869,42.114,
CASY,2015,226.577,22.609,122.914,-1185.246,48.541,48.541,56.274,305.26,364.889,15.398,354.973,127.046,,197.331,2469.965,838.245,,15.531,,,36.629,18.295,19.223,2015-04-30,2019.364,818.955,38.88617,0,,19.24034,2469.965,853.643,875.229,1594.736,838.245,41.832,
CASY,2014,250.8,25.8,139.5,-1062.3,121.6,121.6,33.9,389.6,390.9,0.6,318,120.4,,204.8,2304.9,844,,23.3,,,39.1,15.9,12.499999999999996,2014-04-30,1779,669.4,38.5,0,,15.1403,2304.9,854.2,703.3,1601.6,853.6,38.3,
CASY,2013,232.9,20.9,105,-952.3,41.3,41.3,23.1,279,412.8,15.8,293.7,114.8,,189.5,1990.2,643.2,,16.1,,,37.2,14.5,9.8,2013-04-30,1581.9,570.3,38.4,59.1,,12.4635,1990.2,728,593.4,1396.8,653.1,30.7,
CASY,2012,211.2,21.7,84.7,-861,55.9,55.9,12.2,279.3,306.6,10.7,260.4,104.4,,170.8,1774.8,667.9,,13.1,,,33.8,12.4,16.400000000000002,2012-04-30,1378.7,493.8,38.1,0,,10.5433,1774.8,678.7,506,1268.8,667.9,38.1,
CASY,2011,215.7,20.2,77.1,-777.3,59.6,59.6,4,293.9,294.5,1.2,203.1,88,,159.2,1611,678.7,,10.4,,,30.8,11.7,43.3,2011-04-30,1217.3,399.9,38,0.6,,8.3132,1611,680.4,403.9,1207.1,678.7,63.5,
CASY,2010,145.3,12.1,71,-707,151.7,151.7,64.4,310.3,240.9,24.6,141.2,57.5,,125,1388.8,154.8,,9.4,,,27.6,10.1,10.799999999999999,2010-04-30,1010.9,759.9,50.9,0,,15.0648,1388.8,179.3,824.3,564.5,154.8,22.9,
CASY,2009,115.4,7.9,77.4,-652.4,145.7,145.7,60.8,284.7,221.2,28.4,125.5,51,,106.5,1262.7,167.9,,11.9,,,27,8.6,11.299999999999999,2009-04-30,918.4,660.2,50.8,0,,13.1909,1262.7,196.3,721,541.7,167.9,19.2,
CASY,2008,163.3,16.7,61.4,-595.3,154.5,154.5,57.7,313.3,259.1,34.4,106,48.3,,124.5,1219.2,181.4,,8.4,,,25.2,8.9,7.699999999999999,2008-04-30,848.7,589.8,50.7,0,,11.8185,1219.2,215.8,647.5,571.7,181.4,24.4,
CASY,2007,134.4,13.4,52.3,-538.1,107.1,107.1,53.5,240.8,234.3,47.6,105.7,46.6,,109.7,1129.3,199.5,,,,,17.5,8.6,2.799999999999999,2007-04-30,833.3,518.7,50.6,0,,10.3893,1129.3,247.1,572.3,557,199.5,16.2,
CASY,2006,146.1,9.7,45.9,-490.3,75.4,75.4,49.2,191.4,243.7,51.6,99.9,14.4,,96.3,987.5,104.5,,,,,14.2,6.9,3,2006-04-30,774.8,474,50.4,0,,10.0952,987.5,158.1,523.2,464.3,106.5,12.7,
CASY,2005,100.6,7.5,41.9,-447.2,49.1,49.1,46.5,142.4,170.1,27.6,102,4.2,,75.4,870.9,120.6,,,,,6.5,1.4,5.9,2005-04-30,722.9,422.6,50.2,0,,9.2629,870.9,150.7,469.1,401.8,123.1,13.4,
CASY,2004,83.4,5.8,34.1,-410,45.9,45.9,44.2,146.8,145.8,28.3,99.2,,,77.9,834.6,144.2,,,,,5.6,1.2,10.8,2004-04-30,686.6,395.6,50,0,,8.796,834.6,172.5,439.8,394.8,144.2,16.6,
CASY,2003,64.9,5.7,24.6,-368.1,40.5,40.5,40,116.9,117.3,19.9,86.9,,,63,775.3,162.4,,,8,,4.5,0.8,2.999999999999999,2003-04-30,657.6,364.2,49.7,0,,8.1328,775.3,182.3,404.2,371.1,162.4,8.7,
CASY,2002,69.9,5.1,19.8,-324.9,18.9,18.9,39.6,97.6,112.1,9.6,75.8,,,60.5,735.3,173.8,,,7.5,,4.4,1,9.200000000000001,2002-04-30,636.6,329.7,49.6,5.3,,7.4435,735.3,188.7,369.2,366,173.8,14.3,
CASY,2001,67.7,5.2,18,-284.5,23,23,38.4,106.9,102,9.5,63.7,,,70,693.5,183.1,,,6.8,,4.2,1.3,3.3,2001-04-30,585.3,302.1,49.5,0,,6.8788,693.5,192.6,340.5,353,183.1,8.5,
CASY,2000,61,4.1,17.5,-245.9,15.9,15.9,37.9,75.1,140.7,9.7,57.7,,,49.3,623.6,112.9,0,,6.6,,3.6,1.5,0,2000-04-30,547,270.8,49.5,46,,6.2384,623.6,168.5,308.8,314.8,112.9,4.1,
CASY,1999,44.2,2.8,17.4,-212.4,5.9,5.9,67.3,70.2,83.8,9.4,51.7,,,56,562.9,122.5,6.6,,5.4,,3,1.5,0,1999-04-30,484.5,234.5,52.7,7.4,,5.7287,562.9,139.3,301.9,261,122.5,2.8,
CASY,1998,43.7,2.5,19.9,-185.1,4,4,65.9,52.5,90,5.5,45,,,40.5,480,79.1,6.1,,4.2,,2.5,1.4,0,1998-04-30,419.9,197.5,52.6,16.6,,5.0076,480,101.2,263.4,216.6,79.1,2.5,0
CASY,1997,37.2,2.7,18.9,-158.1,3.1,3.1,64.9,54.7,73.8,11.8,39.6,,,43.4,427,79.7,3.6,,3.1,,2.1,1.3,0,1997-04-30,367.5,167,52.5,2.8,,4.4171,427,94.3,231.9,195.2,79.7,2.7,0
CASY,1996,36.2,2.7,14,-132.6,12.7,12.7,63.6,70,82.9,8.7,32.8,,,46.4,404.8,81.2,5.2,,3.1,,1.7,1.4,0,1996-04-30,328.3,142.6,52.4,21,,3.9351,404.8,111,206.2,198.7,81.2,2.7,0
CASY,1995,39.9,3.1,14.6,-111.7,5.5,5.5,61.3,43.2,77,8.5,27.3,,,28.6,345.2,60,6.4,,2.6,,1.3,1,0,1995-04-30,294.5,118.3,51.9,11.4,,3.4624,345.2,79.8,179.7,165.5,60,3.1,0
CASY,1994,37.4,2.8,12.6,-91.9,3.2,3.2,60.9,41.4,75.5,4.9,,,,32.5,318.2,61.4,11.2,,2.1,,23,1.3,0,1994-04-30,264.4,97.5,51.8,18.5,,3.0579,318.2,84.8,158.4,159.8,61.4,2.8,0
CASY,1993,25.1,2.1,12.5,-76.2,2.1,2.1,25.4,46.5,55.5,2.8,,,,41.7,280.8,99,14.5,,2.2,,18.4,2.4,0,1993-04-30,217.4,82.5,44.4,12.8,,2.4324,280.8,114.5,108,172.8,99,2.1,0
CASY,1992,29.3,1.9,6,-62.8,1.5,1.5,25.3,33,46.6,2,,,,29.1,219.5,61.4,0,,2.3,,15.6,2.9,0,1992-04-30,183.6,70.5,44.3,7,,2.1648,219.5,70.4,95.9,123.6,61.4,1.9,0
CASY,1991,24.1,1.9,5.2,-52.3,2.8,2.8,24.5,31.6,35.8,1.8,,,,26.4,197.7,63.8,0,,1.5,,13.3,3.4,0,1991-04-30,162.7,60.3,44,3.3,,1.9273,197.7,68.8,84.8,112.9,63.8,1.9,0
CASY,1990,19.5,2.1,2.6,-42.6,1.3,1.3,27.4,30.5,29.9,1.7,,,,26.4,185.4,64.5,0,,1.2,,11.6,3.9,0.10000000000000009,1990-04-30,151,52.1,45.7,5,,1.7396,185.4,71.2,79.5,106,64.5,2.2,0
CASY,1989,17.2,2.4,2.4,-33.7,0.9,0.9,32.4,31.1,29.1,0.9,,,,25.2,161.5,52.4,0,,0.7,,9,4.3,2.0000000000000004,1989-04-30,126.2,43.8,45.7,7.8,,1.5558,161.5,61,71.1,90.4,52.4,4.4,-5
CASY,1988,16.1,2.1,1.9,-26,0.2,0.2,30.7,38.7,24,0.5,,,,33.8,136.9,42.9,0,,0.4,,7.7,4.6,2.1,1988-04-30,93.6,36.7,45.7,5,,1.3654,136.9,48.4,62.4,74.5,42.9,4.2,-5
CASY,1987,10,1.5,2.2,-20.4,0.1,0.1,30.7,43.2,13.6,0.7,,,,40.9,118.4,42.7,0,,0.8,,5.2,3.5,0,1987-04-30,71.7,26.2,47.1,0,,1.2081,118.4,43.4,56.9,61.5,42.7,1.5,0
CASY,1986,11.1,1.4,1.4,-14.8,0.8,0.8,30.2,15.3,13.9,0.8,,,,11.6,72.1,7,0,,0.6,,3.5,1.7,0,1986-04-30,55.1,17.6,45.7,0,,1.046,72.1,7.8,47.8,24.3,7,1.4,0
CASY,1985,10.7,2.4,0,-10.5,0.4,0.4,10.8,13.4,17.7,2.5,,,,9.4,54.3,12.5,0,,1.8,,2,1.6,0,1985-04-30,39.3,11.3,36.3,2.7,,0.6088,54.3,17.8,22.1,32.2,12.5,2.4,0
CASY,1984,9.3,3.1,1,-8,2.3,2.3,10,16.5,15,2.3,,,,10.4,46.1,12,0,,1.6,,1.3,0.8,0.10000000000000009,1984-04-30,28.7,7.2,35.5,0.8,,0.4845,46.1,15.1,17.2,29,12,3.2,0
CASY,1983,7.6,3.1,0.3,-6,1.2,1.2,0.1,10.6,13.9,2.9,,,,5.6,33.8,13.4,0.7,,1.3,,1.1,0.2,0.2999999999999998,1983-04-30,22.3,4.8,26.1,1.9,,0.1877,33.8,18.1,4.9,28.9,13.4,3.4,0
KO,2019,3804,3971,7416,-8083,6480,11175,1760,20411,26973,4253,2284,16764,10002,3379,86381,27516,19879,57,506,-13619,8510,7115,0,2019-12-31,12210,65855,4280,10994,4695,-1.81893,86381,42763,18981,67400,27516,3971,-52244
KO,2018,2719,3685,6642,-8013,9077,16115,1760,24930,28782,5003,2354,14109,7478,3071,83216,25376,20279,113,583,-12864,7646,6822,0,2018-12-31,9598,63234,4268,13835,7038,-1.07919,83216,44214,16981,66235,25376,3685,-51719
KO,2017,2288,3667,6284,-8246,6006,20675,1760,36545,27194,3298,2522,9401,7235,2655,87896,31182,21952,7646,2119,-10798,8021,4560,0,2017-12-31,8203,60430,4259,13205,14669,0.10237,87896,47685,17072,70824,31182,3667,-50677
KO,2016,2682,3856,6116,-10621,8555,22201,1760,34010,26532,3527,3753,10629,10499,2675,87270,29684,17249,3512,1872,-11510,4081,4248,0,2016-12-31,10635,65502,4288,12498,13646,0.45103,87270,45709,23062,64208,29684,3856,-47988
KO,2015,,3941,,-9783,7309,19900,1760,33395,26929,2676,4691,11289,12843,2902,89996,28311,15788,4617,1786,-10174,4301,4110,0,2015-12-31,12571,65018,4324,13129,12591,0.32886,89996,44116,25554,64442,28311,3941,-45066
KO,2014,2089,4466,7145,-10625,8958,21675,1760,32986,32374,3552,5636,12100,14272,3100,92023,19063,13627,1683,458,-6749,4389,4405,0,2014-12-31,14633,63408,4366,19130,12717,0.9043,92023,41745,30320,61703,19063,4466,-42225
KO,2013,1933,4873,7644,-10065,10414,20268,1760,31304,27811,1024,6152,12312,15299,3277,90055,19154,11512,486,780,-3690,3498,4661,0,2013-12-31,14967,61660,4402,16901,9854,1.2635,90055,37079,33173,56882,19154,4873,-39091
KO,2012,1969,4759,6711,-9010,8442,16551,1760,30328,27821,1577,4981,12255,15082,3264,86174,14736,10448,3470,1723,-3385,5468,3585,0,2012-12-31,14476,58045,4469,16297,8109,1.2202,86174,32610,32790,53384,14736,4759,-35009
KO,2011,2172,4920,6837,-8212,12803,14035,880,25497,24283,2041,4694,12219,15450,3092,79974,13656,8374,172,362,-2703,5420,3495,0,2011-12-31,14939,53550,4526,12871,1232,0.8763,79974,28568,31635,48339,13656,4920,-31304
KO,2010,1887,4430,6972,-6979,8517,11337,880,21579,18508,1276,4261,11665,15244,2650,72921,14041,7585,,273,-1450,4794,2121,0,2010-12-31,14727,49278,4584,8100,2820,0.8931,72921,23417,31003,41918,14041,4430,-27762
KO,2009,1410,3758,5247,-6906,7021,9213,880,17551,13721,51,1580,4224,8604,2354,48671,5059,6755,,264,-210,2418,1976,0,2009-12-31,9561,41537,4606,6749,2192,2.7178,48671,11859,25346,23325,5059,3758,-25398
KO,2008,1370,3090,4835,-6074,4701,4979,880,12176,12988,465,877,4029,8476,2187,40519,2781,5779,,252,-2674,3011,1733,0,2008-12-31,8326,38513,4624,6066,278,1.723,40519,9312,20472,20047,2781,3090,-24213
KO,2007,1380,3317,5535,-5951,4093,4308,880,12105,13225,133,1890,4256,7963,2220,43269,3277,7777,,258,626,3133,2675,0,2007-12-31,8493,36235,4636,5919,215,2.0546,43269,9329,21744,21525,3277,3317,-23375
KO,2006,929,2587,4126,-5008,2440,2590,878,8441,8890,33,608,1403,3732,1641,29963,1314,6783,,567,-1291,2231,2701,0,2006-12-31,6903,33468,4636,3235,150,2.5421,29963,4582,16920,13043,1314,2587,-22118
KO,2005,,2281,,-4353,4701,4767,877,10250,9836,28,352,1047,2774,1424,29427,1154,6922,,797,-1669,1730,2648,0,2005-12-31,5786,31299,4738,4518,66,2.6454,29427,5700,16355,13072,1154,2281,-19644
KO,2004,,2171,,-4058,6707,6768,875,12094,10971,1490,450,1097,2739,1420,31327,1157,6252,,667,-1348,2814,3054,0,2004-12-31,6091,29105,4819,4531,61,2.5107,31327,7178,15935,15392,1157,2171,-17625
KO,2003,,2091,,-3525,3362,3482,874,8396,7886,323,337,1029,2960,1252,27342,2517,5538,,922,-1995,2512,3322,0,2003-12-31,6097,26687,4883,2583,120,2.0686,27342,5423,14090,13252,2517,2091,-15871
KO,2002,,2097,,-3090,2126,2345,873,7352,7341,180,399,726,2827,1294,24501,2701,4991,,994,-3047,2260,2694,0,2002-12-31,5911,24506,4942,2475,219,1.6688,24501,5356,11800,12701,2701,2097,-14389
KO,2001,2026,1882,1653,-2652,1866,1934,873,7171,8429,156,442,108,2471,1055,22417,1219,5422,,851,-2788,961,2792,0,2001-12-31,4453,23443,4972,3743,68,1.7673,22417,5118,11366,11051,1219,1882,-13682
KO,2000,2123,1757,1782,-2446,1819,1892,870,6620,9321,21,358,1917,,1066,20834,835,5765,,600,-2722,1004,2364,0,2000-12-31,4168,21265,4970,4795,73,1.4887,20834,5651,9316,11518,835,1757,-13293
KO,1999,2144,1798,1570,-2204,1611,1812,867,6480,9856,261,498,1960,,1076,21623,854,6792,,769,-1551,902,2124,0,1999-12-31,4267,20773,4943,5112,201,1.528,21623,6227,9513,12110,854,1798,-13160
KO,1998,1811,1666,1330,-2016,1648,1807,865,6380,8640,3,424,547,,890,19145,687,6686,,1037,-1434,991,1863,0,1998-12-31,3669,19922,4931,4459,159,1.5932,19145,5149,8403,10742,687,1666,-13145
KO,1997,2279,1639,970,-2028,1737,1843,861,5969,7379,397,448,727,,959,16940,801,4894,,1056,-1364,1001,1607,0,1997-12-31,3743,17869,4941,2677,106,1.3325,16940,3875,7311,9629,801,1639,-11582
KO,1996,2055,1641,917,-2031,1433,1658,858,5910,7406,9,301,753,,952,16161,1116,4169,,1037,-567,1182,1779,0,1996-12-31,3550,15127,4962,3388,225,1.0889,16161,4513,6156,10005,1116,1641,-10320
KO,1995,2074,1695,820,-2321,1167,1315,428,5450,7348,552,194,944,,1117,15041,1141,2714,,1531,-410,966,1597,55,1995-12-31,4336,12882,5009,2371,148,0.888,15041,4064,5392,9649,1141,1750,-8799
KO,1994,,1525,,-2077,1386,1531,427,5205,6177,35,180,660,,1047,13873,1426,3928,,1530,-298,855,,0,1994-12-31,4080,11006,5104,2048,145,0.8964,13873,3509,5235,8638,1426,1525,-7073
KO,1993,,1243,,-1867,998,1078,426,4434,5171,19,113,549,,1049,12021,1428,3309,,1282,-505,725,,0,1993-12-31,3729,9458,5190,1653,80,0.7775,12021,3100,4584,7437,1428,1243,-5881
KO,1992,,1086,,-1717,956,1063,424,4248,5303,15,82,383,,1019,11051,1120,2895,,963,-371,658,,0,1992-12-31,3526,8165,5227,2072,107,0.6706,11052,3207,3888,7163,1120,1086,-5201
KO,1991,,970,,-1555,1058,1117,422,4145,4118,110,200,304,,988,10223,985,2885,,901,-120,494,,0,1991-12-31,2890,7426,5316,1193,59,0.7754,10224,2288,4426,5797,985,970,-3942
KO,1990,,952,,-1400,1430,1493,420,4144,4296,97,265,275,,982,9278,536,2475,,719,-64,332,,0,1990-12-31,2386,6448,5346,1904,63,0.6545,9280,2537,3849,5429,536,952,-3543
KO,1989,,820,,-1273,1096,1182,419,3603,3658,13,295,232,,789,8281,549,2426,,839,-53,294,,0,1989-12-31,2021,5618,5392,1419,86,0.5477,8282,1981,3485,4796,549,820,-3236
KO,1988,,784,,-1150,1145,1231,417,3245,2869,109,270,1115,,779,7451,761,1331,,424,-68,206,,0,1988-12-31,1759,4385,5677,1255,86,0.34,7450,2125,3345,4106,761,784,-2069
KO,1987,,672,,-1042,1018,1469,416,4137,4118,214,210,74,,777,8356,803,2548,,789,-5,0,,545,1987-12-31,1597,3784,5958,1685,451,0.5289,8356,2702,3225,5131,803,1217,-1309
KO,1986,,1082,,-1026,626,888,414,3739,2755,23,381,659,,933,8372,1011,2211,,697,-118,711,,0,1986-12-31,1763,3624,6160,702,262,0.4635,8372,1736,3514,4858,1011,1082,-705
KO,1985,,897,,-1127,496,865,69,2970,2004,34,321,672,,913,6898,889,1371,,469,-181,705,,0,1985-12-31,1885,3092,6176,392,369,0.3735,6898,1315,2979,3919,889,897,-604
KO,1984,,872,,-1010,308,783,69,2636,2023,120,242,615,,740,5958,740,1084,,380,-235,175,,0,1984-12-31,1622,2759,6280,502,475,0.3444,5957,1362,2778,3180,740,872,-347
KO,1983,,780,,-941,319,611,69,2330,1391,21,177,601,,744,5227,513,735,,373,-131,226,,0,1983-12-31,1562,2494,6545,86,292,0.3543,5228,620,2920,2307,513,780,-12
