ATD.B,Toronto Stock Exchange
ABEV3,"B3 S.A. - Brasil, Bolsa, Balcão"
CRFB3,"B3 S.A. - Brasil, Bolsa, Balcão"
BRFS3,"B3 S.A. - Brasil, Bolsa, Balcão"
CPB,"New York Stock Exchange, Inc."
CASY,Nasdaq
KO,"New York Stock Exchange, Inc."
CL,"New York Stock Exchange, Inc."
PCAR4,"B3 S.A. - Brasil, Bolsa, Balcão"
CTVA,"New York Stock Exchange, Inc."
CVS,"New York Stock Exchange, Inc."
GIS,"New York Stock Exchange, Inc."
540743,BSE LTD
532424,BSE LTD
500696,BSE LTD
500875,BSE LTD
JJSF,Nasdaq
JBSS3,"B3 S.A. - Brasil, Bolsa, Balcão"
K,"New York Stock Exchange, Inc."
KDP,"New York Stock Exchange, Inc."
600519,Shanghai Stock Exchange
MDIA3,"B3 S.A. - Brasil, Bolsa, Balcão"
MKC,"New York Stock Exchange, Inc."
MCK,"New York Stock Exchange, Inc."
TAP,"New York Stock Exchange, Inc."
MNST,Nasdaq
FIZZ,Nasdaq
NATU3,"B3 S.A. - Brasil, Bolsa, Balcão"
500790,BSE LTD
PEP,Nasdaq
PG,"New York Stock Exchange, Inc."
RADL3,"B3 S.A. - Brasil, Bolsa, Balcão"
RB,London Stock Exchange
RAD,"New York Stock Exchange, Inc."
SBRY,London Stock Exchange
SFM,Nasdaq
SYY,"New York Stock Exchange, Inc"
HSY,"New York Stock Exchange, Inc"
TR,"New York Stock Exchange, Inc"
THS,"New York Stock Exchange, Inc"
TSN,"New York Stock Exchange, Inc"
ULVR,London Stock Exchange
UL,"New York Stock Exchange, Inc."
UNFI,"New York Stock Exchange, Inc."
WDFC,Nasdaq
000858,BSE LTD
WYN,London Stock Exchange
ZENA,Toronto Stock Exchange
