ABBV,"New York Stock Exchange, Inc."
ACHC,Nasdaq
AMGN,Nasdaq
AMN,"New York Stock Exchange, Inc."
AZN,London Stock Exchange
524804,BSE LTD
ACB,Toronto Stock Exchange
BAX,"New York Stock Exchange, Inc."
BMY,"New York Stock Exchange, Inc."
CGIX,Nasdaq
CSII,Nasdaq
CPRX,Nasdaq
CNC,"New York Stock Exchange, Inc."
500087,BSE LTD
500124,BSE LTD
ENDP,Nasdaq
GILD,Nasdaq
GSK,"New York Stock Exchange, Inc."
GMED,"New York Stock Exchange, Inc."
532482,BSE LTD
HBIO,Nasdaq
HYPE3,"B3 S.A. - Brasil, Bolsa, Balcão"
ILMN,Nasdaq
600276,Shanghai Stock Exchange
JNJ,"New York Stock Exchange, Inc"
MDC,London Stock Exchange
MRK,"New York Stock Exchange, Inc."
MYGN,Nasdaq
GNDI3,"B3 S.A. - Brasil, Bolsa, Balcão"
NVS,"New York Stock Exchange, Inc."
PFE,"New York Stock Exchange, Inc."
500302,BSE LTD
PBH,"New York Stock Exchange, Inc."
REGN,Nasdaq
300760,Shenzhen Stock Exchange
SN.,London Stock Exchange
524715,BSE LTD
TEVA,"New York Stock Exchange, Inc."
TVTY,Nasdaq
UNH,"New York Stock Exchange, Inc."
ZGNX,Nasdaq
