ADBE
BABA
GOOG
AAPL
ANET
BIDU
BNFT
CTSH
DXC
FB
GRPN
MANH
MSFT
NTES
NXPI
ORCL
SINA
WORK
SOHU
NCTY
TWTR
UTSI
ZNGA
