symbol,year,period,accountsPayable,accountsReceivables,accruedLiability,accumulatedDepreciation,cashEquivalents,cashShortTermInvestments,commonStock,currentAssets,currentLiabilities,currentPortionLongTermDebt,deferredIncomeTax,goodwill,intangiblesAssets,inventory,liabilitiesShareholdersEquity,longTermDebt,longTermInvestments,otherCurrentAssets,otherCurrentliabilities,otherEquity,otherLiabilities,otherLongTermAssets,otherReceivables,period,propertyPlantEquipment,retainedEarnings,sharesOutstanding,shortTermDebt,shortTermInvestments,tangibleBookValueperShare,totalAssets,totalDebt,totalEquity,totalLiabilities,totalLongTermDebt,totalReceivables,treasuryStock
MMC,2019,2019-12-31,,5236,2539,-2001,1155,1155,561,7068,6679,1215,,14671,2774,,31357,10741,,677,179,-5055,5994,4065,0,2019-12-31,2779,15199,503.62854,0,,-19.16492,31357,11956,7793,23564,10741,5236,-3774
MMC,2018,2018-12-31,,4317,1778,-1842,1066,1066,561,5934,4924,314,,9599,1437,,21578,5510,,551,598,-4647,3560,3907,0,2018-12-31,701,14347,503.83717,0,,-6.99631,21578,5824,7511,14067,5510,4317,-3567
MMC,2017,2017-12-31,,4133,1718,-1826,1205,1205,561,5562,4262,262,,9089,1274,,20429,5225,,224,199,-4057,3500,3792,0,2017-12-31,712,13140,508.71151,0,,-5.90512,20429,5487,7359,13070,5225,4133,-3083
MMC,2016,2016-12-31,,3643,1655,-1683,1026,1026,561,4884,4082,312,,8369,1126,,18190,4495,,215,146,-5112,3341,3086,0,2016-12-31,725,12388,514.49123,0,,-6.41993,18190,4807,6192,11998,4495,3643,-2506
MMC,2015,2015-12-31,,3471,1656,-1621,1374,1374,561,5044,3708,12,,7889,1036,,18216,4402,,199,154,-4226,3504,3474,0,2015-12-31,773,11302,521.89795,0,,-4.62159,18216,4414,6513,11703,4402,3471,-1991
MMC,2014,2014-12-31,,3377,1633,-1639,1958,1958,561,6055,3705,11,,7241,1193,,17840,3376,,720,178,-3852,3626,2542,0,2014-12-31,809,10335,540,0,,-2.5556,17840,3387,7054,10786,3376,3377,-925
MMC,2013,2013-12-31,,3310,1466,-1597,2303,2303,561,6300,3809,334,,6893,872,,16980,2621,,687,148,-2626,2575,2087,0,2013-12-31,828,9452,547,0,,0.2559,16980,2955,7905,9075,2621,3310,-515
MMC,2012,2012-12-31,,3058,1473,-1582,2301,2301,561,5963,3564,260,,6792,747,,16288,2658,,604,110,-3311,3460,1977,0,2012-12-31,809,8628,546,0,,-1.826,16288,2918,6542,9746,2658,3058,-447
MMC,2011,2011-12-31,,2873,1400,-1469,2113,2113,561,5648,3739,260,,6562,645,,15454,2668,,629,63,-3194,3107,1795,33,2011-12-31,804,7949,539,0,,-2.4564,15454,2928,5883,9571,2668,2906,-595
MMC,2010,2010-12-31,,2712,1294,-1411,1894,1894,561,5276,3105,8,,6205,618,,15310,3026,,347,62,-2311,2764,2389,323,2010-12-31,822,7436,541,0,,-0.841,15310,3034,6368,8942,3026,3035,-514
