symbol,year,period,costOfGoodsSold,dilutedAverageSharesOutstanding,dilutedEPS,ebit,grossIncome,interestIncomeExpense,netIncome,netIncomeAfterTaxes,period,pretaxIncome,provisionforIncomeTaxes,researchDevelopment,revenue,sgaExpense,totalOperatingExpense,totalOtherIncomeExpenseNet
MMM,2019,2019-12-31,17160,585.1,9.12323,6138,14976,-530,4570,4582,2019-12-31,5712,1130,1874,32136,6892,8838,104
MMM,2018,2018-12-31,16657,602,8.63883,7207,16108,-280,5349,5539,2018-12-31,7000,1461,1816,32765,7497,8901,73
MMM,2017,2017-12-31,15976,612.7,8.46265,7788,15681,-368,4858,5631,2017-12-31,7548,1917,1862,31657,6621,7893,128
MMM,2016,2016-12-31,15115,618.7,8.03361,7027,14994,-170,5050,5058,2016-12-31,7053,1995,1764,30109,6311,7967,196
MMM,2015,2015-12-31,15341,637.2,7.71168,6946,14933,-123,4833,4841,2015-12-31,6823,1982,1751,30274,6120,7987,
MMM,2014,2014-12-31,16437,662,7.49,7135,15384,-109,4956,4998,2014-12-31,7026,2028,1770,31821,6469,8249,
MMM,2013,2013-12-31,16087,694,6.72,6666,14784,-104,4659,4721,2013-12-31,6562,1841,1715,30871,6384,8118,
MMM,2012,2012-12-31,15685,703,6.32,6483,14219,-132,4444,4511,2012-12-31,6351,1840,1634,29904,6102,7736,
MMM,2011,2011-12-31,15693,719,5.96,6178,13918,-147,4283,4357,2011-12-31,6031,1674,1570,29611,6170,7740,
MMM,2010,2010-12-31,13831,726,5.75,5918,12831,-163,4085,4163,2010-12-31,5755,1592,1434,26662,5479,6913,
MMM,2009,2009-12-31,12109,707,4.71,4814,11014,-182,3193,3244,2009-12-31,4632,1388,1285,23123,4816,6200,
MMM,2008,2008-12-31,13379,707,5.15,5218,11890,-110,3460,3520,2008-12-31,5108,1588,1394,25269,5110,6672,
MMM,2007,2007-12-31,12735,732,4.18,6193,11727,-78,4096,4151,2007-12-31,6115,1964,1368,24462,5015,5534,
MMM,2006,2006-12-31,11583,761,4.61,5696,11340,-71,3851,3902,2006-12-31,5625,1723,1352,22923,4828,5644,
MMM,2005,2005-12-31,10381,777,4.16,5009,10786,-26,3199,3289,2005-12-31,4983,1694,1242,21167,4535,5777,
MMM,2004,2004-12-31,9958,797,3.75,4578,10053,-23,2990,3052,2004-12-31,4555,1503,1143,20011,4332,5475,0
MMM,2003,2003-12-31,9285,795,3.02,3713,8947,-56,2403,2455,2003-12-31,3657,1202,1102,18232,4039,5234,93
MMM,2002,2002-12-31,8375,791,2.65,3046,7957,-41,1974,2039,2002-12-31,3005,966,1066,16332,3643,4911,0
MMM,2001,2001-12-31,8749,800,1.79,2273,7330,-87,1430,1484,2001-12-31,2186,702,1084,16079,4061,5057,-88
MMM,2000,2000-12-31,8787,800,2.32,3058,7937,-84,1782,1949,2000-12-31,2974,1025,1101,16724,3963,4879,-185
MMM,1999,1999-12-31,8852,813,2.15,2956,6807,-76,1763,1848,1999-12-31,2880,1032,,15659,3879,3851,
MMM,1998,1998-12-31,8705,816,1.87,2039,6316,-97,1175,1267,1998-12-31,1952,685,,15021,3784,4277,
MMM,1997,1997-12-31,8580,837,1.92,2675,6490,-38,2121,2199,1997-12-31,3440,1241,,15070,3815,3815,
MMM,1996,1996-12-31,8099,844,1.8,2491,6137,-12,1526,1593,1996-12-31,2479,886,,14236,3646,3646,
MMM,1995,1995-12-31,7720,845,1.61,2221,5740,-53,976,1383,1995-12-31,2168,785,,13460,3440,3519,
MMM,1994,1994-12-31,8995,846,1.59,2216,6084,-87,1322,1383,1994-12-31,2154,771,,15079,3833,3868,25
MMM,1993,1993-12-31,8529,869,1.45,1956,5491,-50,1263,1295,1993-12-31,2002,707,,14020,3535,3535,96
MMM,1992,1992-12-31,8346,876,1.4,1994,5537,-76,1233,1260,1992-12-31,1947,687,,13883,3557,3543,29
MMM,1991,1991-12-31,8058,878,1.31,1959,5282,-97,1154,1186,1991-12-31,1877,691,,13340,3323,3323,15
MMM,1990,1990-12-31,7656,886,1.48,2191,5365,-98,1308,1337,1990-12-31,2135,798,,13021,3174,3174,42
MMM,1989,1989-12-31,6946,889,1.4,2150,5044,-98,1244,1274,1989-12-31,2099,825,,11990,2894,2894,47
MMM,1988,1988-12-31,6551,908,1.27,2016,4772,-99,1154,1182,1988-12-31,1985,803,,11323,2756,2756,68
MMM,1987,1987-12-31,5852,914,1,1683,4152,-99,918,940,1987-12-31,1646,706,,10004,2469,2469,62
MMM,1986,1986-12-31,5074,917,0.85,1410,3528,-106,779,779,1986-12-31,1348,569,,8602,2118,2118,44
MMM,1985,1985-12-31,4746,920,0.72,1150,3100,-104,664,664,1985-12-31,1097,433,,7846,1950,1950,51
MMM,1984,1984-12-31,4559,936,0.78,1286,3146,-91,733,733,1984-12-31,1253,520,,7705,1860,1860,58
MMM,1983,1983-12-31,4163,942,0.71,1139,2876,-74,667,667,1983-12-31,1112,445,,7039,1737,1737,47
AOS,2019,2019-12-31,1812,166.7109,2.21941,472.1,1180.7,,370,370,2019-12-31,472.1,102.1,,2992.7,715.6,708.5999999999999,
AOS,2018,2018-12-31,1882.4,172.19404,2.61063,557.8,1305.5,,444.2,444.2,2018-12-31,557.8,113.6,,3187.9,753.8,747.6999999999998,
AOS,2017,2017-12-31,1764.3,174.60519,2.1666,520.8,1232.4,,296.5,378.3,2017-12-31,520.8,142.5,,2996.7,722.8,711.6000000000001,
AOS,2016,2016-12-31,1571.7,176.82528,1.84646,462.5,1114.2,,326.5,326.5,2016-12-31,462.5,136,,2685.9,662.5,651.7,
AOS,2015,2015-12-31,1526.7,179.00918,1.58037,402.5,1009.8,,282.9,282.9,2015-12-31,402.5,119.6,,2536.5,610.7,607.3,
