symbol,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraHighTTM,peExclExtraTTM,peExclLowTTM,peInclExtraTTM,peNormalizedAnnual
MMM,18.62073,20.8946,26.29785,19.12792,16.01677,19.12792,17.8884
AOS,27.0897,23.61889,29.19432,27.01602,16.54468,27.01602,23.61889
ABT,57.63538,55.16099,74.63764,59.33394,25.93031,58.84184,52.56931
ABBV,19.11048,17.57068,33.90316,20.30138,13.85585,20.30138,16.12682
ABMD,60.10878,58.85858,133.4967,57.24759,31.86132,57.24759,57.80078
ACN,29.88817,28.87,30.25988,28.74519,17.43555,28.74519,28.87
ATVI,28.17446,41.10966,53.18104,28.08471,23.79152,28.08471,38.18791
ADBE,64.3543,75.54246,74.15602,57.16185,42.97799,57.20535,71.71787
AAP,20.63056,22.8639,35.85444,24.08472,19.77438,24.08472,20.39212
AMD,105.5625,283.4119,161.4395,115.8005,55.51056,114.0157,210.8579
AES,50.50892,46.31491,63.03667,73.79905,9.38522,72.64602,28.39347
AFL,5.66312,8.40412,13.29372,5.81581,5.68292,5.81581,8.34592
A,43.07716,32.76206,43.53465,49.86623,20.40732,49.86623,30.55528
APD,27.82669,38.46427,35.47217,35.16431,20.39429,35.42851,37.54524
AKAM,31.87327,35.35993,58.66284,30.08371,29.15338,30.08371,33.1978
ALK,,6.33244,86.59932,,6.67971,,5.92414
ALB,18.6955,18.62911,48.60472,22.6812,11.82773,22.6812,16.98076
ARE,36.68252,50.85773,301.8617,36.52346,30.31873,36.52346,43.49352
ALXN,26.43745,11.72854,1267.873,29.37519,8.46081,29.37519,11.71052
ALGN,14.80419,87.45991,80.34816,21.9894,7.29316,21.9894,91.42777
ALLE,30.32114,24.13357,41.43801,31.68612,18.45823,31.68612,21.64883
LNT,19.25751,23.73701,25.13104,20.6575,18.1419,20.6575,23.73701
ALL,6.50855,6.44543,18.73548,6.34055,6.60214,6.34055,6.2446
GOOGL,28.07086,35.51158,34.08456,33.73474,21.85935,33.73474,34.05319
GOOG,,,,,,,
MO,82.47599,,82.57469,79.73244,7.93118,94.98714,12.53389
AMZN,90.47607,140.9687,545.011,94.91788,75.2765,94.91788,140.9687
AMCR,26.29275,28.65263,33.79474,28.59058,24.07281,28.94352,25.03499
AEE,22.96014,24.61152,24.66401,24.10445,18.17219,24.10445,24.61152
AAL,,3.05665,14.54913,,2.72115,,2.20708
AEP,21.11183,23.38724,71.09325,23.47549,16.20831,23.47549,22.21183
AXP,24.70624,12.28039,24.75205,24.22367,10.69703,24.22367,12.28039
AIG,,8.5722,308.6147,,4.92783,,6.34522
AMT,56.75013,55.94836,70.35808,55.99409,50.94354,55.99409,49.99873
AWK,39.61219,45.29662,39.5966,42.47451,22.5997,42.47451,43.32046
AMP,10.81737,12.09847,15.7349,12.06983,3.79489,12.06983,10.27932
ABC,13.20213,27.17744,72.75904,13.86924,10.73919,13.86924,15.27601
AME,26.10418,28.06919,28.48552,27.87586,17.66638,27.87586,28.06919
AMGN,20.35545,17.88714,20.49373,18.57224,14.25052,18.57224,17.79561
APH,27.65362,31.84564,28.85718,31.4679,19.5831,31.4679,31.01608
ADI,38.09047,34.53448,41.57835,42.1548,21.04562,42.1548,32.44079
ANSS,72.83496,62.76703,74.17473,74.42861,29.19633,74.42861,62.76703
ANTM,13.68029,17.75369,22.15529,16.94687,11.42249,16.94687,17.60951
AON,26.47479,28.79667,50.69185,23.67673,18.79045,23.66363,23.0836
APA,,,814.1668,,10.92809,,
AIV,32.46767,10.36243,37.25317,31.48719,7.47995,31.48719,
AAPL,34.03043,36.34115,34.37013,36.43638,10.90841,36.43638,36.34115
AMAT,17.44064,22.85332,20.56831,18.83871,8.02482,18.83871,22.36752
APTV,13.74239,27.16377,34.85173,15.70141,5.43249,15.70141,24.96034
ADM,15.9556,19.0897,21.00347,16.51164,12.26657,16.98828,15.61792
