symbol,year,period,capex,cashDividendsPaid,cashInterestPaid,cashTaxesPaid,changeinCash,changesinWorkingCapital,deferredTaxesInvestmentTaxCredit,depreciationAmortization,foreignExchangeEffects,issuanceReductionCapitalStock,issuanceReductionDebtNet,netCashFinancingActivities,netIncomeStartingLine,netInvestingCashFlow,netOperatingCashFlow,otherFundsFinancingItems,otherFundsNonCashItems,otherInvestingCashFlowItemsTotal
DPZ,2019,2019-12-29,-85.565,-105.715,142.3,80.3,246.505,37.112,-3.297,59.93,0.201,-685.943,582.915,-222.792,400.709,-27.854,496.95,-14.049,2.496,57.711
DPZ,2018,2018-12-30,-119.888,-92.166,132.8,71.7,-17.427,-23.795,-0.872,53.665,-0.538,-581.38,365.912,-322.803,361.972,-88.257,394.171,-15.169,3.201,31.631
DPZ,2017,2017-12-31,-90.011,-84.298,107.4,122.6,60.444,11.79,6.16,44.369,0.066,-1058.154,971.807,-197.145,277.905,-83.738,341.261,-26.5,1.037,6.273
DPZ,2016,2017-01-01,-58.555,-73.925,104.6,74.3,-139.891,65.209,-3.059,38.14,-1.279,-285.016,-59.334,-375.792,214.678,-55.28,292.46,42.483,-22.508,3.275
DPZ,2015,2016-01-03,-63.282,-80.329,80.8,76.5,102.594,53.377,1.713,32.434,1.036,-733.743,740.597,-80.936,192.789,-109.292,291.786,-7.461,11.473,-46.01
DPZ,2014,2014-12-28,-70.093,-52.843,81.1,76.5,16.472,0.023,-0.132,35.788,0.474,-73.379,-12.332,-118.898,162.587,-57.443,192.339,19.656,-5.927,12.65
DPZ,2013,2013-12-29,-40.4,-34.2,82.9,62.8,-40.4,11.5,6.1,25.8,0.1,-87.7,-24.3,-134.8,143,-99.7,194,11.5,7.7,-59.3
DPZ,2012,2012-12-30,-29.3,-185.5,87.3,46.1,4.5,20.1,4.2,23.2,-1.7,-79.3,109.5,-177.4,112.4,7.3,176.3,-22.2,16.5,36.6
DPZ,2011,2012-01-01,-24.3,,85,41.2,2.3,12,8.2,24,-0.3,-130.9,-0.9,-123.5,105.4,-26.9,153.1,8.3,3.5,-2.6
DPZ,2010,2011-01-02,-25.4,,88.8,49.3,5.6,-3.5,6,24.1,-0.1,8.6,-113.9,-104.3,87.9,-18.4,128.3,1,13.9,7
DPZ,2009,2010-01-03,-22.9,0,99.2,32.8,-3,4,19.5,24.1,-0.6,5.1,-75.7,-70.8,79.7,-32.9,101.3,-0.2,-26,-10
DPZ,2008,2008-12-28,-19.4,0,104.9,30.2,34,-23.3,2,28.4,0.2,-37.5,-15.3,-53.5,54,12.1,75.3,-0.7,14.1,31.5
DPZ,2007,2007-12-30,-42.4,-897,91.6,13.7,-26.9,-27.9,-5.6,31.2,0,-44.2,977.7,-1.6,37.9,-109.5,84.2,-38.2,48.6,-67.1
DPZ,2006,2006-12-31,-20.2,-29.8,43.5,62.8,-28.7,-10.1,-0.6,32.3,0,-135.5,4.7,-155.8,106.2,-5.9,133,4.8,5.2,14.3
DPZ,2005,2006-01-01,-28.7,-26.9,45.1,35.4,26.5,11.1,0.3,32.4,-0.2,-68.4,-40.3,-114.6,108.3,0.1,141.2,21,-10.9,28.8
DPZ,2004,2005-01-02,-39.8,-4.5,59.8,23.2,-6,0.2,8.8,31.7,0.7,119.3,-180.6,-83.9,62.3,-36.3,113.5,-18.1,10.5,3.5
DPZ,2003,2003-12-28,-29.2,-188.3,49.6,21.1,20.3,4.9,7.8,29.8,0.2,-201,347.6,-62.9,39,-19.6,102.5,-21.1,21,9.6
DPZ,2002,2002-12-29,-53.9,0,51.8,24,-32.6,-8.3,12.2,28.3,0.1,-10.3,-52.7,-66.1,60.5,-72,105.4,-3.1,12.7,-18.1
DPZ,2001,2001-12-30,-40.6,-2.7,60.6,11.4,15.3,1.7,4.1,33.1,0,-1.6,-32.3,-36.7,36.8,-34.8,86.7,0,11,5.9
DOV,2019,2019-12-31,-186.804,-282.197,126.753,191.084,1.032,-79.813,-11.966,272.287,-1.977,-143.28,-93.293,-558.042,677.918,-384.255,945.306,-39.272,86.88,-197.451
DOV,2018,2018-12-31,-170.994,-283.57,131.823,135.427,-357.743,-55.874,-35.448,282.58,10.645,-894.977,-360.722,-897.838,570.267,-269.185,798.635,641.431,37.11,-98.191
DOV,2017,2017-12-31,-170.068,-283.959,140.863,337.987,404.818,49.197,-160.395,283.278,1.474,-105.023,-182.596,-594.141,811.665,161.851,835.634,-22.563,-148.111,331.919
DOV,2016,2016-12-31,-139.578,-267.739,131.184,170.394,-13.039,125.945,-43.258,249.672,-4.744,8.431,909.344,633.736,508.892,-1504.973,862.942,-16.3,21.691,-1365.395
DOV,2015,2015-12-31,-154.251,-257.969,128.151,346.382,-319.396,-16.949,-5.916,327.089,-26.061,-596.14,-232.748,-1091.886,869.829,-36.562,835.113,-5.029,-338.94,117.689
DOV,2014,2014-12-31,-166,-258.5,128.4,372.4,-122.3,-148.1,-33.9,307.2,-40.4,-580.7,244.9,-255.5,775.2,-802.3,975.9,338.8,75.4,-636.3
DOV,2013,2013-12-31,-236.8,-247.8,123.9,338.8,3.8,-206.3,-43.1,421.6,-3.3,-450.3,19.5,-678.5,1003.1,-468.9,1154.5,,-20.8,-232
DOV,2012,2012-12-31,-297,-241,125.8,281.3,-406.7,58.1,-19,357.6,16.1,-705.9,603.9,-342.9,811.1,-1353,1273.2,,65.4,-1056
DOV,2011,2011-12-31,-271.8,-219.2,121.8,281.1,17.7,-154.5,6.1,303.1,16,-202.7,371.3,-50.5,895.2,-1025.8,1078,,27.9,-754
DOV,2010,2010-12-31,-183.2,-200.1,116,105.3,473,-127.1,84.8,268.4,10,-43.8,-60.9,-304.8,700.1,-179.1,946.9,,20.6,4.1
DOV,2009,2009-12-31,-120,-189.9,116.8,115,167,175,-23.1,258.2,19.6,26.6,-226.7,-390,356.4,-258.8,796.1,,29.5,-138.7
DOV,2008,2008-12-31,-175.8,-169.1,120.8,212.3,-58.7,43.4,33.5,261.2,-45.8,-386.8,-5,-560.9,590.8,-454.8,1002.8,,73.9,-279
DOV,2007,2007-12-31,-174.3,-154.4,112.2,276.4,227.6,34,-33.3,245,34.4,-508.9,317.6,-345.7,661.1,-336.1,874.9,,-31.8,-161.8
DOV,2006,2006-12-31,-194.7,-144.8,95.7,159.2,187.8,11,-9.5,201.5,19.8,45,228.1,128.3,561.8,-855,894.7,,130,-660.3
DOV,2005,2005-12-31,-152.1,-133.9,76.4,190.4,-137.9,-0.5,36.3,175.7,-18.5,-32.7,439.5,272.8,510.1,-1072,679.7,,-41.9,-919.9
DOV,2004,2004-12-31,-107.4,-126.1,68,107.4,-12.8,-9.6,4.9,160.8,12.2,8.4,16.7,-101,412.8,-524.9,600.9,,32,-417.4
DOV,2003,2003-12-31,-96.4,-115.5,68.5,100.9,76.6,120.4,47.7,151.3,33.7,3.7,13.5,-98.3,292.9,-448.6,589.8,,-22.6,-352.2
DOV,2002,2002-12-31,-102.3,-109.4,67.6,89.3,119.1,-23.3,21.5,161,23.4,-9.1,-21.8,-140.3,-121.3,-184.1,420.1,,382.1,-81.8
DOV,2001,2001-12-31,-166.9,-105.6,83.9,82.8,-4.8,298.6,-2.7,220,-7.5,-28.2,-411.5,-545.3,248.5,-427.5,975.5,,211.1,-260.6
DOV,2000,2000-12-31,-197.9,-97.5,95.4,263.4,43.4,-253.8,17.5,203.4,-4.1,3.1,504.6,410.3,519.6,-602.2,239.4,,-247.4,-404.3
DOV,1999,1999-12-31,-130.3,-91.8,53.6,220,41.3,-123.9,-25.6,183.2,-7,12.3,-147.1,-226.6,929,-1334.3,1609.2,0,646.4,-1203.9
DOV,1998,1998-12-31,-126.1,-89.2,75.9,188.2,-6.3,-5,-0.3,167.7,2,19,338.2,268,378.8,-753.3,477,0,-64.3,-627.1
DOV,1997,1997-12-31,-145.8,-80.3,47.2,213.8,-75.2,-90.1,-15.2,170.7,-6,13,-60.9,-130.9,405.4,-400.5,462.2,-2.7,-8.5,-254.7
DOV,1996,1996-12-31,-125.5,-72.4,42,227.1,78.3,-38.9,1,125.1,2.5,7.4,63.6,-2.8,390.2,-332.8,411.5,-1.5,-66,-207.3
DOV,1995,1995-12-31,-103.8,-63.5,32.7,147.4,31.4,-82.2,-13.7,107.8,-1.2,9.9,137.6,84.8,278.3,-355.8,303.6,0.8,13.3,-251.9
DOV,1994,1994-12-31,-84.9,-56.1,40.1,106.7,26.6,21,-19,95.8,-3.2,5.3,81,32.1,202.4,-310.7,308.4,1.9,8.2,-225.7
DOV,1993,1993-12-31,-48.7,-51.4,0,0,-7.9,-6.3,0.5,77,-0.7,3.1,188.6,133.9,158.3,-367.4,226.3,-6.5,-3.2,-318.6
DOV,1992,1992-12-31,-47.8,-49.8,0,0,-10.1,-18.5,-3.5,77.5,-6.7,3.7,85.2,33.5,129.7,-219.7,182.7,-5.6,-2.4,-171.9
DOV,1991,1991-12-31,-50.4,-61,0,0,-27.1,50.2,-1.8,85.4,0,1.5,-166.6,-236.1,128.2,-16.9,225.9,-10,-36.1,33.5
DOV,1990,1990-12-31,-52.7,-45.6,0,0,-26.5,-26.2,0.6,77.5,0,2.1,24.3,-12.1,155.7,-234.3,219.9,7,12.3,-181.5
DOV,1989,1989-12-31,-70.4,-44,0,0,73.6,-18.1,7,78.8,0,1.3,31.7,43,144,-177.7,208.3,54,-3.4,-107.3
DOV,1988,1988-12-31,-60.5,-29.6,0,0,-79,-62.2,0.1,73.8,0,1.7,44.8,16.9,145.8,-253.3,157.5,0,0.1,-192.8
DOV,1987,1987-12-31,-40.1,-34.4,0,0,-26.4,-31.3,15.8,61.9,,3.2,-37.8,-68.9,111.7,-126.8,169.3,,11.2,-86.6
DOV,1986,1986-12-31,-44.4,-31.1,0,0,-46.3,23.8,-14.7,57,0,1.5,29.6,-0.1,83.8,-201.8,155.6,0,5.6,-157.4
DOV,1985,1985-12-31,-35.2,-30.1,0,0,109.8,42.3,0,53.1,0,0.9,0.8,-28.4,100,-64.1,202.3,0,6.9,-28.9
DOW,2019,2019-12-31,-1970,-2085,,,-384,387,-228,2938,-27,-407,-2967,-4095,-1272,-2192,5930,1364,4105,-222
DOW,2018,2018-12-31,-2117,,,,-3444,-1658,-429,2909,-99,112,-1233,-5404,4775,-2195,4254,-4283,-1343,-78
DOW,2017,2017-12-31,-2994,,,,-416,-11499,1413,2546,320,66,74,-3325,595,7518,-4929,-3465,2016,10512
DTE,2019,2019-12-31,-2997,-692,595,18,17,-54,329,1263,,2288,1904,3100,1172,-5732,2649,-400,-61,-2735
DTE,2018,2018-12-31,-2713,-620,572,-26,-13,410,114,1124,,0,1315,654,1118,-3347,2680,-41,-86,-634
DTE,2017,2017-12-31,-2250,-592,495,4,-26,-187,196,1030,,-51,1135,421,1112,-2564,2117,-71,-34,-314
DTE,2016,2016-12-31,-2045,-531,448,-1,55,32,265,976,,621,1169,1359,834,-3388,2084,100,-23,-1343
DTE,2015,2015-12-31,-2020,-501,428,14,-11,41,237,852,,0,771,277,720,-2204,1916,7,66,-184
DTE,2014,2014-12-31,-2049,-470,415,-35,-4,-596,356,1145,,-52,766,217,911,-2060,1839,-27,23,-11
DTE,2013,2013-12-31,-1876,-445,418,121,-13,213,164,1094,,39,164,-261,668,-1906,2154,-19,15,-30
DTE,2012,2012-12-31,-1820,-407,438,173,-3,442,47,1018,,39,-59,-443,618,-1769,2209,-16,84,51
DTE,2011,2011-12-31,-1484,-389,485,-205,3,94,220,995,,-18,-7,-445,720,-1560,2008,-31,-21,-76
DTE,2010,2010-12-31,-1099,-360,551,93,13,-293,457,1027,,36,-226,-586,639,-1226,1825,-36,-5,-127
DTE,2009,2009-12-31,-1035,-348,550,18,-34,69,205,1020,,35,-476,-789,535,-1064,1819,0,-10,-29
DTE,2008,2008-12-31,-1373,-344,496,-59,-37,-76,348,899,,-16,286,-84,546,-1523,1570,-10,-147,-150
DTE,2007,2007-12-31,-1299,-364,537,326,-13,196,144,926,,-708,-390,-1468,971,330,1125,-6,-1112,1629
DTE,2006,2006-12-31,-1403,-365,526,89,59,8,28,1014,,-44,216,-203,433,-1194,1456,-10,-27,209
DTE,2005,2005-12-31,-1065,-360,516,80,32,-111,147,872,,159,40,-167,537,-802,1001,-6,-444,263
DTE,2004,2004-12-31,-904,-354,517,203,2,9,129,744,0,32,10,-312,431,-681,995,,-318,223
DTE,2003,2003-12-31,-751,-346,552,31,-79,73,-220,691,0,41,-734,-1039,521,10,950,,-115,761
DTE,2002,2002-12-31,-984,-338,551,167,-135,-209,-208,759,0,278,66,6,632,-1115,974,,0,-131
DTE,2001,2001-12-31,-1096,-325,409,45,204,-524,-7,795,0,-438,2442,1679,332,-2286,811,,215,-1190
DTE,2000,2000-12-31,-749,-296,334,104,31,8,,758,0,-70,58,-308,468,-749,1088,,-146,0
DTE,1999,1999-12-31,-739,-299,340,152,-97,-31,,735,0,0,-127,-426,483,-768,1097,,-90,-29
DTE,1998,1998-12-31,-555,-299,309,160,85,-111,,661,0,-150,697,254,443,-1037,868,6,-125,-482
DTE,1997,1997-12-31,-456,-299,290,243,46,-42,,660,0,0,86,-219,417,-741,1006,-6,-29,-285
DTE,1996,1996-12-31,-530.5,-298.9,277.3,206.6,-11.9,25.7,1.9,526.6,0,-185,21.2,-473.7,309.3,-616.8,1078.6,-11,215.1,-86.3
DTE,1995,1995-12-31,-453.8,-326.2,274.4,230.5,56.8,-192.3,62.5,500.6,0,-1,-223.2,-361.5,433.7,-522.4,940.7,189,136.2,-68.6
DTE,1994,1994-12-31,-377.9,-301.8,289.4,183.2,-2.9,-50.1,97.4,476.4,0,-59.9,-156.7,-482.1,390.3,-443.8,923,36.3,9,-65.9
DTE,1993,1993-12-31,-398.8,-299.9,346.5,233.5,1.7,72.8,85.6,432.5,0,35.8,-405.1,-694.6,491.1,-413.7,1109.9,-25.4,28,-14.9
DTE,1992,1992-12-31,-415.9,-318.3,406.6,178.8,2.6,-6.3,132.2,423.4,0,-22,-616.9,-634,588,-426.9,1063.5,323.2,-73.8,-10.9
DTE,1991,1991-12-31,-272.1,-305.9,445.4,141.8,-139.1,-45.8,116.8,412.3,0,-22.5,-620.1,-810.6,568,-280.7,952.1,138,-99.2,-8.5
DTE,1990,1990-12-31,-230.2,-293.4,469.4,110.4,130.3,19,100.5,406.3,0,-19.5,-332.2,-556,514.5,-237.1,923.4,89.1,-116.8,-6.9
DTE,1989,1989-12-31,-243,-284,453.7,59.5,12,25.3,86.5,371.7,0,-16.3,-562.8,-645.4,426,-258.7,916.1,217.7,6.7,-15.7
DTE,1988,1988-12-31,-235.1,-304.1,466.7,10.8,-135.8,-54.4,-137.5,332.6,0,-283.3,183.3,-420.8,-378.8,-263,548,-16.7,786.1,-27.9
