symbol,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraHighTTM,peExclExtraTTM,peExclLowTTM,peInclExtraTTM,peNormalizedAnnual
DPZ,32.01952,41.06631,41.93251,33.5984,26.15136,33.5984,40.85201
DOV,23.35382,25.44916,24.99404,25.55138,13.17828,25.55138,22.8155
DOW,,,,,,,34.53971
DTE,16.27758,19.83637,23.96628,17.72402,16.14881,17.72402,19.61322
DUK,32.25607,18.49391,32.29524,34.35927,15.92333,34.47948,18.55937
DRE,62.96284,34.49829,63.08016,69.38817,24.54232,69.32773,74.97922
DD,,,,,,,43.27091
DXC,,,442.3091,,10.27293,,
ETFC,14.40535,12.80928,35.66398,14.29575,9.91569,14.29575,12.58032
EMN,22.46189,15.12918,22.58404,23.9688,7.94258,23.9688,11.64314
ETN,29.97858,20.89915,30.11094,32.40696,10.7844,32.40696,19.41423
EBAY,16.2951,22.84257,28.93008,15.16319,4.57877,6.44118,20.75485
ECL,52.42159,36.07653,52.8353,50.73341,28.21019,,31.8832
EIX,51.54357,15.25203,51.79194,58.50533,15.89899,58.50533,11.73972
EW,62.60048,47.03135,63.76316,61.9498,27.51391,62.16782,43.31797
EA,19.45176,12.45718,47.384,19.03012,9.77647,19.03012,12.44387
EMR,20.13301,21.03804,27.48841,21.00284,12.965,21.00284,18.73086
ETR,14.21525,16.78396,84.06183,15.33462,10.71621,15.33462,14.57091
EOG,82.91326,7.65335,6984.837,59.85717,9.88268,59.85717,5.90422
EFX,43.11138,,70.47035,42.22382,23.96131,42.22382,
EQIX,148.1235,129.7077,734.352,152.6163,78.84409,152.6163,121.1266
EQR,20.12886,19.54533,50.94421,19.96232,5.11995,19.96232,26.87791
ESS,21.97019,33.94346,68.68703,24.78142,22.00443,24.78142,35.97571
EL,128.9246,127.0524,132.6441,143.9546,26.44645,143.9546,51.54195
RE,,8.57007,103.9576,,8.20929,,8.40836
EVRG,21.66138,19.972,25.59892,20.41332,17.97412,20.41332,19.17351
ES,23.7073,32.75416,30.64715,26.39474,17.55116,26.39474,27.3224
EXC,14.68565,14.28823,29.34659,17.70184,9.96523,17.70184,13.82163
EXPE,,26.13023,96.65132,,18.55645,,24.28986
EXPD,24.00794,25.65063,26.10605,23.41902,18.75509,23.41902,25.65063
EXR,27.67839,35.20528,56.07257,34.35182,21.97819,34.35182,35.29922
XOM,56.80859,10.41441,56.80859,54.88905,14.16832,42.65634,12.82651
FFIV,24.31648,26.75195,26.19431,26.67904,18.50726,26.67904,17.0457
FB,29.53678,45.65037,81.24704,34.79481,17.29342,34.79481,37.99398
FAST,30.71672,33.84611,30.81876,31.85083,20.24955,31.85083,33.88524
FRT,23.82543,15.6333,58.51187,20.15977,16.50686,20.15977,23.59919
FDX,32.26659,56.94423,246.0529,41.14596,15.07608,41.14596,37.02092
FIS,,200.6659,1460.675,,27.24453,,66.62915
FITB,10.53079,6.93577,14.1525,11.52741,6.51464,11.52741,7.72702
FRC,19.37677,24.57288,24.63191,22.83414,16.03589,22.83414,24.57288
FE,38.59436,17.50054,38.84721,29.11036,7.03834,23.68166,10.89642
FISV,77.0001,59.21838,78.44675,77.03082,24.94358,77.03082,51.28686
FLT,28.11626,24.15087,40.31672,27.91003,19.28796,27.91003,23.91098
FLIR,33.85813,28.34711,41.48905,33.82326,16.32461,33.82326,22.39473
FLS,25.53336,16.41889,108.7212,28.48212,15.92555,28.48212,14.5811
FMC,24.17319,25.67329,61.18595,24.09198,16.49921,27.49765,21.12258
F,,225.3243,295.8956,,5.36233,,3.8438
FTNT,43.23604,63.22996,1496.353,43.89986,31.55069,43.70376,62.60248
FTV,41.13965,33.47163,41.55868,43.30199,16.6593,42.19889,32.81636
FBHS,24.35818,28.83577,29.5776,25.08952,13.36634,25.08952,25.66402
