symbol,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraHighTTM,peExclExtraTTM,peExclLowTTM,peInclExtraTTM,peNormalizedAnnual
IP,32.18405,14.66714,33.66797,35.97759,10.25344,36.05008,12.5217
IPG,11.39588,11.64656,21.19813,13.56288,9.5072,13.56288,10.68141
INTU,43.7911,50.74118,53.30286,50.74118,29.11991,50.74118,50.74118
ISRG,78.4616,61.48276,80.87235,80.88488,33.77465,80.88488,61.44996
IVZ,10.58069,11.25629,15.93548,13.47276,7.725,13.47276,5.91255
IPGP,85.27536,57.91227,86.19868,98.31934,14.87892,98.31934,49.15393
IQV,171.6186,179.16,261.8071,190.9131,19.62127,190.9131,132.9559
IRM,37.08071,28.65323,134.8787,37.89863,22.70754,37.89863,28.82356
JBHT,26.95204,27.00123,29.59024,27.65591,12.16857,27.65591,27.00123
JKHY,47.64272,40.45337,47.73045,40.49943,25.9958,40.49943,39.99703
J,31.55407,41.61558,49.54839,37.71736,15.65679,23.51159,20.66157
SJM,14.47959,16.76347,38.48288,15.17212,14.47959,15.17212,15.70366
JNJ,22.98328,24.81367,26.72517,22.36271,18.74819,21.96793,17.75858
JCI,47.98205,51.9282,83.70121,51.78471,18.95948,51.78471,24.8165
JPM,12.53917,9.73074,15.55527,13.61715,10.02337,13.61715,9.67614
JNPR,18.11732,20.78098,24.63961,17.58371,13.99337,17.58371,17.45374
KSU,29.77606,33.9977,29.92913,30.38925,16.09631,30.38925,27.95081
K,17.66437,22.97389,49.37316,18.11472,13.21484,18.59935,18.68784
KEY,10.39651,8.18724,22.54554,11.56832,7.68211,11.46521,8.18724
KEYS,30.97259,34.18007,206.7442,34.98703,7.90447,34.98703,33.38631
KMB,21.35673,21.52109,46.11918,19.53166,18.67282,19.53166,19.49642
KIM,5.57059,13.23833,37.83271,5.2505,5.58269,5.2505,14.06393
KMI,257.1965,11.93335,484.2214,239.466,20.92101,239.466,17.19412
KLAC,23.39361,28.6368,25.27638,26.83349,10.3163,26.83349,23.51971
KSS,,4.74914,35.57527,,9.73458,,4.25769
KHC,,20.10273,182.338,,15.54185,,11.41822
KR,10.70552,15.75147,27.5343,9.8083,7.58841,9.8083,15.78091
LB,,,23.59813,,11.3792,,12.56919
LHX,28.41629,,31.36007,30.38204,16.84778,30.45098,
LH,21.70837,25.66377,45.26565,24.94785,13.96982,24.94785,22.39954
LRCX,18.35592,25.18256,21.76957,21.57915,7.81598,21.57915,25.18256
LW,27.64725,26.40085,30.06045,28.46098,15.26714,28.46098,26.40085
LVS,,14.26265,104.0891,,15.46298,,16.65221
LEG,24.12145,17.16228,24.21295,24.8834,11.36078,24.8834,16.73801
LDOS,20.7817,19.86957,39.43905,21.31122,9.73492,21.31122,19.75499
LEN,10.40331,13.80765,18.73146,11.05129,7.88681,11.05129,13.53441
LLY,24.12144,29.97767,52.09914,24.33014,22.99796,24.33014,26.06554
LNC,34.28353,8.147,34.89883,33.2293,6.93482,30.73859,8.01617
LIN,50.02583,58.75992,53.13308,55.89978,13.34469,55.58272,49.01058
LYV,,,27389.94,,27389.94,,1106.037
LKQ,14.14168,19.18907,27.0159,17.03675,10.75427,17.05678,17.24058
LMT,16.44491,16.95329,24.62686,15.90209,15.01026,16.0364,17.15467
L,,12.26744,1256.959,,13.82604,,10.34144
LOW,19.75688,30.66429,38.41617,22.34837,17.62818,22.34837,30.28612
LYB,19.85623,7.71155,19.85623,20.90411,6.3232,20.90411,7.71155
MTB,9.17056,7.52895,19.99369,10.31739,8.38028,10.31739,7.52895
MRO,,7.20566,30.82709,,10.26938,,7.43721
MPC,,8.01483,30.89995,,9.82322,,5.05635
MKTX,64.93407,107.4242,72.55388,79.89067,39.26784,79.89067,107.4242
MAR,61.1776,26.59488,61.92753,72.89289,19.77188,72.89289,24.48202
