symbol,year,period,accountsPayable,accountsReceivables,accruedLiability,accumulatedDepreciation,cashEquivalents,cashShortTermInvestments,commonStock,currentAssets,currentLiabilities,currentPortionLongTermDebt,deferredIncomeTax,goodwill,intangiblesAssets,inventory,liabilitiesShareholdersEquity,longTermDebt,longTermInvestments,otherCurrentAssets,otherCurrentliabilities,otherEquity,otherLiabilities,otherLongTermAssets,otherReceivables,period,propertyPlantEquipment,retainedEarnings,sharesOutstanding,shortTermDebt,shortTermInvestments,tangibleBookValueperShare,totalAssets,totalDebt,totalEquity,totalLiabilities,totalLongTermDebt,totalReceivables,treasuryStock
IP,2019,2019-12-31,2423,3673,600,-20512,511,511,449,6639,8646,168,2633,3347,,2208,33471,9509,8809,247,5455,-4739,4877,847,0,2019-12-31,13829,8408,392.1,0,,11.13491,33471,9765,7713,25758,9597,3673,-2702
IP,2018,2018-12-31,2413,3916,535,-20494,589,589,449,6996,4694,639,2600,3374,,2241,33576,10015,8718,250,1107,-4500,8884,1019,0,2018-12-31,13469,7465,400.59,0,,9.95532,33576,10654,7362,26214,10015,3916,-2332
IP,2017,2017-12-31,2458,3287,485,-20549,1018,1018,449,8277,5102,311,2291,3411,,2313,33903,10846,7441,1659,1848,-4633,9123,1061,0,2017-12-31,13713,6180,412.925,0,,7.53406,33903,11157,6522,27381,10846,3287,-1680
IP,2016,2016-12-31,2199,2852,401,-19248,1033,1033,449,6670,4069,239,3127,3364,,2233,33093,11075,7393,552,1230,-5362,10463,2207,0,2016-12-31,13459,4818,411.229,0,,2.37581,33093,11314,4341,28752,11075,2852,-1753
IP,2015,2015-12-31,2078,2675,434,-20728,1050,1050,449,6477,3924,426,3231,3335,,2228,30531,8844,7242,524,986,-5708,10623,1131,0,2015-12-31,12346,4649,412.124,0,,1.33212,30531,9270,3884,26647,8844,2675,-1749
IP,2014,2014-12-31,2664,3083,477,-20340,1881,1881,449,7959,4909,742,3063,3773,,2424,28684,8631,2393,571,1026,-4646,6818,1324,0,2014-12-31,13235,4409,420,0,,3.1952,28684,9373,5115,23569,8631,3083,-1342
IP,2013,2013-12-31,2900,3756,511,-20074,1802,1802,447,9025,5127,661,3765,3987,,2825,31528,8827,2860,642,1055,-2759,5362,1427,0,2013-12-31,14229,4446,436,0,,9.445,31528,9488,8105,23423,8827,3756,-492
IP,2012,2012-12-31,2775,3562,508,-18934,1302,1302,440,8905,4998,444,3026,4315,,2730,32153,9696,2995,1311,1271,-3840,7797,1367,0,2012-12-31,14571,3662,440,0,,4.5205,32153,10140,6304,25849,9696,3562,0
IP,2011,2011-12-31,2500,3486,467,-18591,3994,3994,439,10456,4738,719,2497,2025,321,2320,26993,9189,632,656,1052,-3005,3609,1082,0,2011-12-31,12477,3330,437,0,,9.7803,26993,9908,6620,20373,9189,3486,-52
IP,2010,2010-12-31,2556,3039,471,-18991,2073,2073,439,8028,4503,313,2793,2047,261,2347,25368,8358,1092,569,1163,-1822,2630,1191,0,2010-12-31,12749,2416,438,0,,10.3333,25368,8671,6834,18534,8358,3039,-28
IP,2009,2009-12-31,2058,2695,473,-17817,1892,1892,437,7551,4012,304,2425,2042,248,2179,25548,8729,1077,785,1177,-2077,4127,1185,0,2009-12-31,13445,1949,433,0,,8.6212,25548,9033,6023,19525,8729,2695,-89
IP,2008,2008-12-31,2119,3288,445,-15613,1144,1144,434,7360,4755,828,1957,1781,246,2495,26913,11246,1274,433,1363,-3322,4554,1456,0,2008-12-31,14796,1430,428,0,,5.0047,26913,12074,4169,22744,11246,3288,-218
IP,2007,2007-12-31,2145,3152,400,-14905,905,905,494,6735,3842,267,2919,3409,241,2071,24159,6353,1276,607,1030,-471,2145,1587,0,2007-12-31,10911,4375,425,0,,11.8165,24159,6620,8672,15487,6353,3152,-2481
