symbol,year,period,capex,cashDividendsPaid,cashInterestPaid,cashTaxesPaid,changeinCash,changesinWorkingCapital,deferredTaxesInvestmentTaxCredit,depreciationAmortization,foreignExchangeEffects,issuanceReductionCapitalStock,issuanceReductionDebtNet,netCashFinancingActivities,netIncomeStartingLine,netInvestingCashFlow,netOperatingCashFlow,otherFundsFinancingItems,otherFundsNonCashItems,otherInvestingCashFlowItemsTotal
IP,2019,2019-12-31,-1276,-796,754,349,-78,342,212,1306,1,-535,-973,-2389,1220,-1300,3610,-85,530,-24
IP,2018,2018-12-31,-1572,-789,772,388,-429,-439,133,1328,-40,-732,-519,-2046,2017,-1569,3226,-6,187,3
IP,2017,2017-12-31,-1391,-769,782,7,-15,-402,-1113,1423,18,-47,509,-399,2144,-1391,1757,-92,-295,0
IP,2016,2016-12-31,-1348,-733,682,90,-17,71,136,1227,21,-132,1892,982,902,-3498,2478,-45,142,-2150
IP,2015,2015-12-31,-1685,-685,680,149,-831,-222,281,1294,-71,-603,-88,-1601,917,-1739,2580,-225,310,-54
IP,2014,2014-12-31,-1366,-620,718,172,79,-158,-135,1414,-52,-996,-83,-2086,536,-860,3077,-387,1420,506
IP,2013,2013-12-31,-1198,-554,751,291,500,-486,146,1547,-13,-364,-727,-1688,1378,-827,3028,-43,443,371
IP,2012,2012-12-31,-1383,-476,740,95,-2692,84,204,1486,-6,73,-345,-795,799,-4858,2967,-47,394,-3475
IP,2011,2011-12-31,-1159,-427,629,44,1921,-505,317,1332,-9,-30,1220,742,1341,-1487,2675,-21,190,-328
IP,2010,2010-12-31,-775,-175,657,-135,181,-458,422,1456,-28,-26,-345,-588,665,-834,1631,-42,-454,-59
IP,2009,2009-12-31,-534,-140,656,97,748,479,160,1472,62,-10,-3069,-3376,663,-593,4655,-157,1881,-59
IP,2008,2008-12-31,-1002,-428,597,131,239,317,-81,1347,-92,-46,5292,4859,-1282,-7197,2669,41,2368,-6195
IP,2007,2007-12-31,-1288,-436,452,328,-719,-539,232,1086,92,-1096,-720,-2252,1168,-446,1887,0,-60,842
IP,2006,2006-12-31,-1009,-485,734,249,-17,-354,1619,1158,30,-1401,-308,-2304,1050,1034,1223,-110,-2250,2043
IP,2005,2005-12-31,-1172,-490,822,457,-955,-591,-38,1376,-95,23,-1698,-2377,1100,7,1510,-212,-337,1179
IP,2004,2004-12-31,-1328,-485,807,254,233,-305,-114,1565,225,164,-1716,-2435,-35,55,2388,-398,1277,1383
IP,2003,2003-12-31,-1166,-480,855,277,1289,-12,-401,1644,143,-346,1519,591,302,-1267,1822,-102,289,-101
IP,2002,2002-12-31,-1009,-482,904,295,-150,368,-399,1587,-32,-116,-1039,-1732,-880,-480,2094,-95,1418,529
IP,2001,2001-12-31,-1049,-482,986,333,26,280,-584,1870,-49,-39,-1550,-2098,-1204,459,1714,-27,1352,1508
IP,2000,2000-12-31,-1352,-447,816,298,745,-146,-323,1916,-165,-41,3676,3394,142,-4914,2430,206,841,-3562
