symbol,year,period,costOfGoodsSold,dilutedAverageSharesOutstanding,dilutedEPS,ebit,grossIncome,interestIncomeExpense,netIncome,netIncomeAfterTaxes,period,pretaxIncome,provisionforIncomeTaxes,researchDevelopment,revenue,sgaExpense,totalOperatingExpense,totalOtherIncomeExpenseNet
IP,2019,2019-12-31,15269,398.8,3.60095,2130,7107,-490,1225,971,2019-12-31,1604,633,,22376,3377,4977,-36
IP,2018,2018-12-31,15558,414.2,4.19857,2808,7748,-533,2012,1298,2018-12-31,1781,483,,23306,3461,4940,-494
IP,2017,2017-12-31,14792,417.7,2.9842,1960,6951,-581,2144,713,2017-12-31,848,135,,21743,3224,4991,-531
IP,2016,2016-12-31,14057,415.6,2.27141,1315,5438,-515,904,602,2016-12-31,795,193,,19495,2847,4123,-5
IP,2015,2015-12-31,14302,420.6,2.87353,1698,6373,-553,938,715,2015-12-31,1132,417,,20675,2945,4675,-13
IP,2014,2014-12-31,16257,432,3.28,1476,7360,-616,555,749,2014-12-31,872,123,,23617,3494,5884,12
IP,2013,2013-12-31,21224,448,4.16,1460,7856,-631,1395,1372,2013-12-31,849,-523,,29080,4060,6396,20
IP,2012,2012-12-31,20587,440,2,1696,7246,-672,794,693,2012-12-31,1024,331,,27833,3869,5550,
IP,2011,2011-12-31,18960,437,3.53,1999,7074,-541,1341,1147,2011-12-31,1458,311,,26034,3423,5075,
IP,2010,2010-12-31,18482,434,2.11,1430,6697,-608,644,601,2010-12-31,822,221,,25179,3440,5267,
IP,2009,2009-12-31,15220,428,1.63,1868,8146,-669,663,730,2009-12-31,1199,469,,23366,3394,6278,
IP,2008,2008-12-31,18742,421,2.84,-661,6087,-492,-1282,-1315,2008-12-31,-1153,162,,24829,3415,6748,
IP,2007,2007-12-31,16060,433,2.39,1951,5830,-297,1168,1239,2007-12-31,1654,415,,21890,3034,3879,
IP,2006,2006-12-31,16248,489,0.74,3709,5747,-521,1050,1299,2006-12-31,3188,1889,,21995,3138,2038,
IP,2005,2005-12-31,18139,510,1.95,1179,5958,-593,1100,871,2005-12-31,586,-285,,24097,3196,4779,
IP,2004,2004-12-31,18996,488,1.27,1489,6552,-743,-35,540,2004-12-31,746,206,,25548,3301,5063,
IP,2003,2003-12-31,18803,481,1.05,1112,6376,-766,302,438,2003-12-31,346,-92,,25179,3330,5264,
IP,2002,2002-12-31,18256,483,1.4,1154,6720,-783,-880,425,2002-12-31,371,-54,,24976,3393,5566,
IP,2001,2001-12-31,19409,483,0.74,-336,6954,-1002,-1204,-1041,2001-12-31,-1338,-297,,26363,3649,7290,
IP,2000,2000-12-31,20082,450,2.99,706,8098,-68,142,536,2000-12-31,638,102,,28180,3674,7392,
IP,1999,1999-12-31,18105,416,1.56,989,6468,-541,183,362,1999-12-31,448,86,,24573,3407,5479,
IP,1998,1998-12-31,14761,306,1.06,868,4780,-496,236,312,1998-12-31,392,80,,19541,2578,3912,
IP,1997,1997-12-31,14974,302,0.88,336,5122,-490,-151,-22,1997-12-31,16,38,,20096,2719,4786,
IP,1996,1996-12-31,14901,293,1.21,740,5242,-530,303,472,1996-12-31,802,330,,20143,2628,4502,
IP,1995,1995-12-31,13896,264,4.41,2521,5901,-493,1153,1309,1995-12-31,2028,719,,19797,2349,3380,0
IP,1994,1994-12-31,11092,256,1.71,1064,3874,-349,357,479,1994-12-31,715,236,,14966,1925,2810,0
IP,1993,1993-12-31,10153,247,1.17,848,3532,-310,289,289,1993-12-31,502,213,,13685,1786,2684,-36
IP,1992,1992-12-31,10137,243,1.71,453,3461,-247,86,142,1992-12-31,206,64,,13598,1760,3008,0
IP,1991,1991-12-31,9316,222,1.97,953,3387,-315,184,399,1991-12-31,638,239,,12703,1649,2434,0
IP,1990,1990-12-31,9263,227,3.12,1223,3697,-277,569,569,1990-12-31,946,377,,12960,1595,2474,0
IP,1989,1989-12-31,7918,227,3.77,1610,3460,-205,864,864,1989-12-31,1405,541,,11378,1291,1850,0
IP,1988,1988-12-31,6717,232,3.2,1363,2870,-165,754,754,1988-12-31,1198,444,,9587,1033,1507,0
IP,1987,1987-12-31,5650,213,1.82,848,2150,-167,407,407,1987-12-31,681,274,,7800,878,1302,0
IP,1986,1986-12-31,3991,196,1.45,457,1509,-89,305,305,1986-12-31,454,149,,5500,726,1052,86
IP,1985,1985-12-31,3477,198,0.65,107,1025,-91,133,131,1985-12-31,159,28,,4502,622,918,143
IP,1984,1984-12-31,3582,199,1.12,100,1134,-81,120,120,1984-12-31,144,24,,4716,617,1034,125
IP,1983,1983-12-31,3442,198,1.16,105,915,-65,255,255,1983-12-31,253,-2,,4357,547,810,213
IPG,2019,2019-12-31,8729.1,391.2,1.82841,1042.6,1492.2,-164.8,656,673.5,2019-12-31,878.3,204.8,,10221.3,93.8,449.60000000000036,0.5
IPG,2018,2018-12-31,8336.2,389,1.73601,946.9,1378.2,-101.2,618.9,638.8,2018-12-31,838,199.2,,9714.4,166.5,431.2999999999993,-7.7
IPG,2017,2017-12-31,7833.6,397.3,1.43651,914.3,1214,-71.4,554.4,569.5,2017-12-31,840.8,271.3,,9047.6,118.5,299.6999999999998,-2.1
IPG,2016,2016-12-31,7821,408,1.56011,895,1235.2,-70.5,605,628.7,2016-12-31,825.6,196.9,,9056.2,138.6,340.1999999999998,1.1
IPG,2015,2015-12-31,4857.7,415.7,1.16741,822.3,2756.1,-63,454.6,479.4,2015-12-31,762.2,282.8,,7613.8,1885,1933.8000000000002,2.9
IPG,2014,2014-12-31,4820.4,425.4,1.14,778.8,2716.7,-57.5,477.1,504.2,2014-12-31,720.7,216.5,,7537.1,1928.1,1937.9000000000005,-0.6
IPG,2013,2013-12-31,4545.5,429.6,0.75,554.6,2576.8,-98,267.9,286.8,2013-12-31,468,181.2,,7122.3,1917.9,2022.1999999999998,11.4
IPG,2012,2012-12-31,4391.9,481.4,0.81,766.5,2564.3,-104,446.7,461.5,2012-12-31,674.8,213.3,,6956.2,1886,1797.8000000000002,12.3
IPG,2011,2011-12-31,4402.1,540.6,0.82,687.2,2612.5,-99,532.3,548.2,2011-12-31,738.4,190.2,,7014.6,1924.3,1925.2999999999993,24.3
IPG,2010,2010-12-31,4117,542.1,0.47,548.6,2414.9,-111,261.1,279.3,2010-12-31,450.6,171.3,,6531.9,1862.3,1866.3000000000002,8.7
IPG,2009,2009-12-31,3961.2,508.1,0.21,313.5,2066.4,-120.6,121.3,142.3,2009-12-31,232.4,90.1,,6027.6,1720.5,1752.9000000000005,29.3
IPG,2008,2008-12-31,4342.6,518.3,0.57,574.8,2620.1,-121.3,295,314.9,2008-12-31,471.5,156.6,,6962.7,2013.3,2045.2999999999993,21.1
IPG,2007,2007-12-31,4139.2,503.1,0.35,328.4,2415,-109.8,167.6,176.8,2007-12-31,235.7,58.9,,6554.2,2044.8,2086.6000000000004,33.8
IPG,2006,2006-12-31,3944.1,428.1,0.01,24.9,2246.7,-69.3,-31.7,-23.7,2006-12-31,-5,18.7,,6190.8,2079,2221.7999999999997,31.3
IPG,2005,2005-12-31,3999.1,424.8,-0.56,-117.8,2275.2,-85.6,-262.9,-268.5,2005-12-31,-186.6,81.9,,6274.3,2288.1,2393.0000000000005,6.7
IPG,2004,2004-12-31,3733.5,415.3,-0.52,-135,2653.5,-121.3,-538.4,-529.2,2004-12-31,-267,262.2,,6387,2249.8,2788.5,-10.7
IPG,2003,2003-12-31,3451.8,385.5,-0.25,-185.1,2411.6,-133.9,-451.7,-523,2003-12-31,-269,254,,5863.4,1885.6,2596.7,50
IPG,2002,2002-12-31,3549,381.3,0.42,405.8,2654.6,-110.5,99.5,125.1,2002-12-31,265.4,140.3,,6203.6,2096.6,2248.8,-36.9
IPG,2001,2001-12-31,3809.2,369,0.2,-243.6,2914,-125.3,-534.5,-508.2,2001-12-31,-563.5,-55.3,,6723.2,2035.8,3157.6000000000004,-206.9
IPG,2000,2000-12-31,3120.3,312.7,1.45,672.7,2505.6,-109.1,358.7,384.9,2000-12-31,657.9,273,,5625.8,1559.6,1832.8999999999996,94.3
IPG,1999,1999-12-31,2503.3,289.5,1.29,585.1,2058.2,,321.9,348.7,1999-12-31,585.1,236.3,,4561.5,1322.6,1473.1999999999998,
IPG,1998,1998-12-31,2167.9,281.1,1.1,562.9,1676.4,,309.9,330.9,1998-12-31,562.9,232,,3844.3,1179.2,1238,
IPG,1997,1997-12-31,1684.8,259.1,0.92,441.3,1312.4,,239.1,256.4,1997-12-31,441.3,184.9,,2997.2,950.3,999.8,
IPG,1996,1996-12-31,1344.2,240.9,0.85,357.1,1086.3,,205.2,207.1,1996-12-31,357.1,150,,2430.5,795.4,836.2,
IPG,1995,1995-12-31,1150,234.5,0.64,254.2,943.9,,129.8,131.4,1995-12-31,254.2,122.7,,2093.8,699.4,775.5999999999999,
IPG,1994,1994-12-31,1040.6,226.7,0.63,200.8,875.8,,93.5,114.5,1994-12-31,200.8,86.3,,1916.4,661.2,742.9000000000001,
IPG,1993,1993-12-31,917.2,255.6,0.49,231.8,822.6,,124.8,131.9,1993-12-31,231.8,99.8,,1739.8,618.5,644.8999999999999,
IPG,1992,1992-12-31,993.1,224.9,0.5,207.2,811.3,,87.3,115.8,1992-12-31,207.2,91.3,,1804.4,622.5,655.6999999999999,
IPG,1991,1991-12-31,880.2,218.6,0.43,185.3,754.5,,94.6,97.6,1991-12-31,185.3,87.7,,1634.7,578.5,612,
IPG,1990,1990-12-31,762.9,202,0.4,149.5,566.5,,80.1,77.1,1990-12-31,149.5,72.5,,1329.5,436.8,455.69999999999993,
IPG,1989,1989-12-31,691.3,202,0.35,137.6,526.8,,70.6,69.6,1989-12-31,137.6,68.1,,1218.1,412.9,427.9000000000001,
IPG,1988,1988-12-31,656.2,198.6,0.3,128.3,496.7,,60.1,60.5,1988-12-31,128.3,67.8,,1152.9,397.2,407.39999999999986,
IPG,1987,1987-12-31,540.8,197.4,0.25,101,402.4,,49.3,49.5,1987-12-31,101,51.4,,943.2,320.2,329,
IPG,1986,1986-12-31,466.1,197.6,0.21,86.8,308,,41.1,41.7,1986-12-31,86.8,45.1,,774.1,254.7,261.6,
IPG,1985,1985-12-31,390.4,196.5,0.19,79.3,261.5,,36.6,36.5,1985-12-31,79.3,42.8,,651.9,215.2,221.80000000000007,
IPG,1984,1984-12-31,360.7,195.1,0.17,72.9,251,,32.8,32.8,1984-12-31,72.9,40.1,,611.8,205.4,210.8,
IPG,1983,1983-12-31,343.5,188.4,0.13,66,233.6,,25.4,25.8,1983-12-31,66,40.2,,577.1,189.2,193.5,
INTU,2020,2020-07-31,1378,264,6.91667,2176,6301,25,1826,1826,2020-07-31,2198,372,1392,7679,2727,4125,-3
INTU,2019,2019-07-31,1167,264,5.89773,1854,5617,31,1557,1557,2019-07-31,1881,324,1233,6784,2524,3763,-4
INTU,2018,2018-07-31,978,261,5.23211,1560,5047,-2,1329,1300,2018-07-31,1566,266,1186,6025,2216,3487,8
INTU,2017,2017-07-31,810,261,3.77395,1418,4386,-23,985,985,2017-07-31,1390,405,998,5196,1968,2968,-5
