symbol,year,period,capex,cashDividendsPaid,cashInterestPaid,cashTaxesPaid,changeinCash,changesinWorkingCapital,deferredTaxesInvestmentTaxCredit,depreciationAmortization,foreignExchangeEffects,issuanceReductionCapitalStock,issuanceReductionDebtNet,netCashFinancingActivities,netIncomeStartingLine,netInvestingCashFlow,netOperatingCashFlow,otherFundsFinancingItems,otherFundsNonCashItems,otherInvestingCashFlowItemsTotal
FOXA,2020,2020-06-30,-359,-335,355,88,1411,220,283,258,,-600,1191,146,1062,-1100,2365,-110,542,-741
FOXA,2019,2019-06-30,-235,-188,,,734,164,386,212,,,6750,-1153,1643,-637,2524,-7715,119,-402
FOXA,2018,2018-06-30,-215,,,,2481,-587,-603,171,,,,1036,2228,128,1317,1036,108,343
FOXA,2017,2017-06-30,-191,,,,-18,-368,92,169,,,,-1431,1409,-242,1655,-1431,353,-51
FOXA,2016,2016-06-30,-107,,,,16,-536,139,170,,,,-913,1107,-168,1097,-913,217,-61
BEN,2019,2019-09-30,-233.7,-518.6,27.4,520.8,-953,-1355.1,-1.3,93.4,-37,-731.2,18.1,-40.5,1205.5,-1077.1,201.6,1191.2,259.1,-843.4
BEN,2018,2018-09-30,-106.5,-2116.9,38.6,523.5,-1839.1,1265.4,-50.6,76.4,-16.7,-1400,-382.9,-3761.7,742.7,-290.4,2229.7,138.1,195.8,-183.9
BEN,2017,2017-09-30,-124.1,-441.2,42.3,712.2,266.4,-760.6,,80.3,35,-740.4,-641.6,-956,1789.7,52,1135.4,867.2,26,176.1
BEN,2016,2016-09-30,-97.6,-408.7,47.4,758.6,115.2,-299.6,,87.1,-4,-1283.9,-93.8,-1800.7,1757.7,192.2,1727.7,-14.3,182.5,289.8
BEN,2015,2015-09-30,-68.8,-666.4,44.6,925,772.1,-205.9,,97.4,-116.6,-1034.3,-14.7,-1612.2,2104.7,248.9,2252,103.2,255.8,317.7
BEN,2014,2014-09-30,-53.1,-290.4,40.2,979.3,1272.9,-466.9,,94.6,-60.4,-589.6,-180,-1195.3,2411.7,390.6,2138,-135.3,98.6,443.7
BEN,2013,2013-09-30,-62.2,-882.7,47.9,825.9,271.7,-326.2,,93.5,21.2,-449.7,-743.9,-2018.1,2170.7,232.9,2035.7,58.2,97.7,295.1
BEN,2012,2012-09-30,-78.4,-663,42.8,819.8,852.8,-1064.2,16.3,212,-1.9,-748.3,313.1,-1084.9,1915.5,873.4,1066.2,13.3,-13.4,951.8
BEN,2011,2011-09-30,-131.7,-216.3,41.1,761.9,1074.9,-551.6,-3.3,243.6,-14.6,-904.6,-340.2,-968.2,1820.8,435.9,1621.8,492.9,112.3,567.6
