symbol,year,period,accountsPayable,accountsReceivables,accruedLiability,accumulatedDepreciation,cashEquivalents,cashShortTermInvestments,commonStock,currentAssets,currentLiabilities,currentPortionLongTermDebt,deferredIncomeTax,goodwill,intangiblesAssets,inventory,liabilitiesShareholdersEquity,longTermDebt,longTermInvestments,otherCurrentAssets,otherCurrentliabilities,otherEquity,otherLiabilities,otherLongTermAssets,otherReceivables,period,propertyPlantEquipment,retainedEarnings,sharesOutstanding,shortTermDebt,shortTermInvestments,tangibleBookValueperShare,totalAssets,totalDebt,totalEquity,totalLiabilities,totalLongTermDebt,totalReceivables,treasuryStock
CVX,2019,2019-12-31,14029,13314,6589,-176228,5686,5749,1832,28329,26530,3054,13688,4463,,5848,237428,23409,38688,11,2630,-4982,28311,9869,0,2019-12-31,154568,174945,1882.1681,228,63,74.24948,237428,26973,144213,93215,23691,13314,-44599
CVX,2018,2018-12-31,13941,14771,4927,-171037,9342,10345,1832,34021,27171,5698,15921,4518,,5704,253863,28733,35546,279,2577,-3534,26396,8633,0,2018-12-31,169207,180987,1902.83769,28,1003,78.84855,253863,34459,154554,99309,28733,14771,-41593
CVX,2017,2017-12-31,14443,15331,5267,-166773,4813,4822,1832,28560,27737,5192,14652,4531,,5585,253806,33477,32497,22,2835,-3584,28527,7657,0,2017-12-31,177712,174106,1904.70189,0,9,75.3887,253806,38763,148124,105682,33571,15331,-40833
CVX,2016,2016-12-31,13887,14062,4882,-153891,6988,7001,1832,29619,31785,10790,17516,4581,,5419,260078,35193,30250,30,2176,-3841,28769,10959,0,2016-12-31,182186,173046,1891.50642,50,13,74.53054,260078,46126,145556,114522,35286,14062,-41834
CVX,2015,2015-12-31,13465,12660,4833,-151881,11022,11332,1832,34430,25467,4907,20165,4588,,6334,264540,33542,27110,200,2242,-4262,31400,7609,0,2015-12-31,188396,181578,1882.814,20,310,78.67373,264540,38549,152716,111824,33622,12660,-42493
CVX,2014,2014-12-31,18943,16335,5328,-144116,12785,13215,1832,42232,31926,3686,21920,4593,,6505,266026,23960,26912,1472,3865,-4851,31961,6311,0,2014-12-31,183173,184987,1879.64881,104,430,80.03357,266026,27818,155028,110998,24028,16335,-42733
CVX,2013,2013-12-31,22750,21600,5402,-131604,16245,16516,1832,50250,33018,374,21301,4639,,6380,253753,19960,25502,1363,4492,-3573,28950,5706,0,2013-12-31,164829,173677,1914,0,271,75.4828,253753,20431,149113,104640,20057,21600,-38290
CVX,2012,2012-12-31,22776,20997,5738,-122133,20939,21913,1832,55720,34212,127,17672,4640,,6144,232982,11966,23718,,5571,-6369,31201,4503,0,2012-12-31,141348,159730,1947,0,974,67.737,232982,12192,136524,96458,12065,20997,-33884
CVX,2011,2011-12-31,22147,21793,5287,-110824,15864,20071,1832,53234,33600,340,15544,4642,,5543,209474,9684,22868,,5826,-6022,28337,3889,0,2011-12-31,122608,140399,1981,0,4207,58.9298,209474,10152,121382,88092,9812,21793,-29685
CVX,2010,2010-12-31,19259,20759,5324,-102863,14060,17070,1832,48841,29012,187,12697,4617,,5493,184769,11003,21520,,4242,-4466,25960,3210,0,2010-12-31,104504,119641,2007,0,3010,50.0568,184769,11476,105081,79688,11289,20759,-26411
