symbol,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraHighTTM,peExclExtraTTM,peExclLowTTM,peInclExtraTTM,peNormalizedAnnual
ODFL,34.11654,40.56495,34.39694,39.24981,16.55026,39.24981,40.56495
OMC,11.16238,7.97754,18.37481,10.94123,9.02721,10.94123,7.97754
OKE,17.9123,8.7448,37.48222,18.60037,11.35695,18.60037,8.73117
ORCL,17.51754,18.46068,22.08948,17.81234,15.5702,17.81234,18.00397
OTIS,30.97014,24.67497,,31.60652,,31.60652,23.93041
PCAR,20.77173,13.11039,39.82454,21.97317,8.9012,21.97317,13.11039
PKG,21.80333,16.77381,21.88256,24.72398,10.72919,24.72398,16.30795
PH,21.86689,25.56201,23.37326,25.97579,12.72754,25.97579,24.36428
PAYX,26.22311,28.93653,30.10933,30.38378,23.75975,30.38378,28.93653
PAYC,109.0769,131.0447,110.2978,143.5146,38.45473,143.5146,131.0447
PYPL,73.54665,89.24232,79.96677,69.76173,33.00249,69.76173,85.01708
PNR,21.22804,25.51056,78.09813,25.29972,13.22467,25.78277,22.98377
PBCT,8.90121,8.23281,21.08887,9.11191,8.68847,9.11191,7.64148
PEP,27.27464,26.64941,29.09477,27.32736,12.57346,27.40849,25.58149
PKI,33.89972,68.75812,47.19298,38.24066,26.61108,38.25805,52.90886
PRGO,,41.76282,456.6109,,30.43084,,17.9614
PFE,23.91059,12.95272,33.41654,24.46565,11.28957,23.5553,15.21472
PM,15.20408,15.29301,26.03278,14.29351,13.09597,14.29351,14.01003
PSX,,8.3072,68.7239,,7.19443,,6.39615
PNW,16.47514,22.80813,24.46742,18.56398,16.46923,14.92665,22.80813
PXD,82.32017,17.15244,201.063,74.03933,16.71153,74.03933,9.54243
PNC,18.01954,10.05807,20.36719,18.82249,10.0171,6.83732,10.05807
PPG,26.78538,26.59104,50.30929,30.59521,16.96298,30.59508,23.75808
PPL,13.45884,11.65717,17.19576,13.69333,10.04984,13.69333,11.63016
PFG,9.0597,8.33809,14.57518,9.37186,7.00343,9.37186,8.12197
PG,25.54165,28.87032,77.0274,27.38382,19.68027,27.38382,27.50403
PGR,10.93118,14.57949,22.05462,11.3549,10.75005,11.3549,14.57949
PLD,43.83893,42.05458,44.21264,46.08888,18.80321,46.69914,83.99667
PRU,,6.28918,12.10855,,6.6514,,5.92348
PEG,14.24766,17.49495,48.35409,17.03217,11.61257,17.03217,14.50474
PSA,34.27996,31.72146,44.27199,35.63605,23.69849,35.63605,31.53929
PHM,9.63688,12.06668,16.17454,9.20546,5.8212,9.20546,11.90467
PVH,,10.56521,32.75237,,9.39233,,6.59321
QRVO,33.75358,52.54857,8671.21,38.77822,28.70703,38.77822,33.46551
QCOM,24.93994,32.05399,39.01679,32.01471,15.27818,32.01471,42.67146
PWR,19.11339,23.89646,52.01467,24.11271,14.65244,24.11271,23.32353
DGX,13.91436,20.67036,22.31523,15.72498,13.84768,15.72498,19.08547
RL,,20.3373,91.54535,,13.11584,,16.03017
RJF,10.90634,10.81534,19.94935,12.53613,9.36889,12.53613,10.69841
RTX,,9.13671,327.8008,,8.44757,,8.65723
O,50.22571,42.00409,63.80395,47.98709,34.38716,47.98709,41.05894
REG,137.4399,23.85924,137.624,123.2535,38.75321,123.2535,20.30472
REGN,19.22962,31.30836,98.53487,21.12703,15.23728,21.12703,31.30836
RF,14.42115,8.67398,16.71828,16.36507,6.99912,16.36507,8.4982
RSG,29.20436,29.1249,33.47332,30.41792,20.60846,30.41792,28.78269
RMD,36.48588,50.18263,49.41472,45.95839,21.37451,45.95839,49.10936
RHI,18.47896,13.25413,20.96909,18.16127,10.03106,18.16127,13.25413
ROK,32.096,42.81137,32.30871,37.83608,16.59764,37.83608,42.81137
ROL,71.56441,102.1395,71.56441,83.41037,36.8752,83.12714,85.91444
ROP,26.34032,23.09121,35.99323,26.17756,19.99954,26.17756,39.36125
