symbol,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraHighTTM,peExclExtraTTM,peExclLowTTM,peInclExtraTTM,peNormalizedAnnual
ANET,22.12237,24.74924,74.0582,29.45251,19.12594,29.45251,24.74924
AJG,26.9951,31.76385,27.60059,29.21355,17.50958,27.95127,34.54821
AIZ,22.17514,21.55713,39.41914,23.9493,9.833,19.3592,18.86643
T,18.72701,14.52075,26.15945,18.11131,10.29827,18.11131,12.33267
ATO,20.5199,21.84222,26.28767,19.59486,15.51241,19.59486,21.84222
ADSK,139.2649,244.1347,848.0126,146.7886,132.3456,150.6485,222.5813
ADP,24.18041,28.61746,36.56641,28.31192,22.52848,28.23998,26.75658
AZO,16.11879,16.044,21.06156,16.01173,11.95054,16.01173,15.45885
AVB,32.06696,26.40945,37.34446,31.93986,23.61597,31.93986,33.13889
AVY,18.88399,40.14267,51.60124,22.91514,14.52814,22.91514,19.44228
BKR,,68.45083,279.6046,,105.9113,,18.64561
BLL,52.35873,58.38556,75.50147,62.51729,23.61561,62.51729,42.28521
BAC,11.84075,8.93875,17.14365,12.16185,8.66361,12.16185,8.19803
BAX,55.94162,50.00933,61.46268,55.17789,4.92886,44.15573,27.37951
BDX,84.27656,86.39575,292.2967,85.96907,27.50704,85.96907,31.73639
BRK.B,,,,,,,
BBY,15.95641,21.40971,17.50321,19.93223,10.9573,19.93223,20.97816
BIO,4.35749,10.72322,520.0377,5.35004,4.41386,5.35004,10.58004
BIIB,9.37257,11.31783,19.1988,11.77255,7.8372,11.77255,10.89526
BLK,18.97211,23.50601,22.36525,23.52519,14.77839,23.52519,23.50601
BA,,,58.37005,,16.72911,,18.23298
BKNG,26.53685,15.86993,40.19355,29.86957,17.11887,29.84709,15.86993
BWA,21.9754,9.96841,22.14765,21.16432,7.04022,21.16432,10.75737
BXP,12.536,22.65205,48.85401,11.67517,12.5437,11.67517,20.45631
BSX,,83.05616,417.4706,,30.87541,13.49735,32.9441
BMY,,31.736,73.77418,,11.91396,,26.92282
AVGO,56.61092,54.36785,205.7018,65.84472,19.3809,65.87498,45.48786
BR,32.10398,36.64062,34.55026,35.84625,22.45777,35.84625,33.33916
BF.B,34.34731,43.63182,39.38257,37.40016,16.95879,37.40016,43.0768
CHRW,30.25145,21.03381,30.40907,26.21923,16.86315,26.21923,21.03381
COG,32.3091,9.81306,10008.89,29.95659,9.39045,29.95659,9.76982
CDNS,26.36737,34.31776,111.6361,31.44795,17.57872,31.41871,34.12437
CPB,25.26336,24.48944,39.07538,24.46645,13.76612,8.90229,20.12763
COF,34.79802,7.1406,35.1459,38.49126,6.38983,38.61421,7.10965
CAH,14.10978,,2498.703,16.00985,10.43832,16.00985,80.5734
KMX,25.36531,17.52258,25.71799,22.44462,12.95453,22.44462,17.52258
CCL,,3.08738,22.42529,,9.98525,,3.08335
CARR,,15.63786,,,,,14.35734
CAT,24.57928,15.64726,708.5119,27.1169,12.25805,27.1169,15.13429
CBOE,20.68286,24.91278,67.11052,19.61076,20.71822,19.61076,22.72572
CBRE,14.62115,14.0526,21.26992,16.70191,9.95052,16.70191,12.61845
CDW,23.19345,27.69241,28.64385,27.23164,15.58127,27.23164,27.46684
CE,21.76798,17.38586,35.15578,24.18519,10.13501,24.64628,14.38108
CNC,15.97369,21.60284,35.31599,18.87259,13.42311,18.87259,14.72515
CNP,,16.15901,52.7111,,18.12998,,15.23524
CTL,8.87132,,42.38359,9.64217,8.40956,9.64217,
CERN,28.03655,43.95758,44.51167,28.32911,25.57872,28.32911,42.03094
CF,23.21398,12.28913,106.9545,20.7173,12.75337,20.7173,13.5799
SCHW,16.68609,15.28895,32.03681,18.91021,13.10241,18.91021,15.28895
CHTR,48.02619,86.46764,113.1399,50.94388,17.68196,50.94388,81.3522
