symbol,year,period,accountsPayable,accountsReceivables,accruedLiability,accumulatedDepreciation,cashEquivalents,cashShortTermInvestments,commonStock,currentAssets,currentLiabilities,currentPortionLongTermDebt,deferredIncomeTax,goodwill,intangiblesAssets,inventory,liabilitiesShareholdersEquity,longTermDebt,longTermInvestments,otherCurrentAssets,otherCurrentliabilities,otherEquity,otherLiabilities,otherLongTermAssets,otherReceivables,period,propertyPlantEquipment,retainedEarnings,sharesOutstanding,shortTermDebt,shortTermInvestments,tangibleBookValueperShare,totalAssets,totalDebt,totalEquity,totalLiabilities,totalLongTermDebt,totalReceivables,treasuryStock
ODFL,2019,2019-12-31,70.254,397.579,292.984,-1464.235,403.571,403.571,7.969,866.834,366.085,,261.964,19.463,,,3995.568,45,,,2.847,,241.802,75.136,10.586000000000013,2019-12-31,3034.135,2850.318,119.53174,0,,25.61039,3995.568,45,3080.717,914.851,45,408.165,
ODFL,2018,2018-12-31,78.518,427.569,278.214,-1318.209,190.282,190.282,8.123,706.229,356.732,0,247.669,19.463,,,3545.283,45,,,,,215.399,64.648,40.690999999999974,2018-12-31,2754.943,2530.184,121.84588,0,,21.83923,3545.283,45,2680.483,864.8,45,468.26,
ODFL,2017,2017-12-31,73.729,394.169,227.32,-1175.47,127.462,127.462,8.238,584.653,351.049,50,189.96,19.463,,,3068.424,45,,,,,205.561,59.849,21.612000000000023,2017-12-31,2404.459,2130.257,123.56309,0,,18.26914,3068.424,95,2276.854,791.57,45,415.781,
ODFL,2016,2016-12-31,89.216,320.087,199.42,-1043.582,10.171,10.171,8.242,382.622,288.636,0,272.599,19.463,,,2696.247,104.975,,,,,178.879,52.76,14.401999999999987,2016-12-31,2241.402,1707.45,123.62416,0,,14.81664,2696.247,104.975,1851.158,845.089,104.975,334.489,
ODFL,2015,2015-12-31,66.774,310.501,192.14,-929.377,11.472,11.472,8.441,381.73,285.402,26.488,235.054,19.463,,,2466.504,105.829,,,,,154.094,41.863,34.547000000000025,2015-12-31,2023.448,1541.795,126.61697,0,,13.15127,2466.504,133.805,1684.637,781.867,107.317,345.048,
ODFL,2014,2014-12-31,45.3,303.2,174.6,-831.5,34.8,34.8,8.6,433.1,255.6,35.7,220.8,19.5,,,2236.2,120,,29.4,0,,145.8,40.4,44.69999999999999,2014-12-31,1743.2,1351.1,86.1,0,,17.1266,2236.2,155.7,1494.1,742.2,120,347.9,
ODFL,2013,2013-12-31,36.8,248.1,157.5,-730.1,30.2,30.2,8.6,333,232.1,35.7,189.1,19.5,1.7,,1932.1,155.7,,23.2,2.2,,123.1,34.9,10.200000000000017,2013-12-31,1543.1,1089.1,86.2,0,,14.0476,1932.1,191.4,1232.1,700,155.7,258.3,
ODFL,2012,2012-12-31,44.9,219,134.9,-648.9,12.9,12.9,8.6,275,225.1,39,153.2,19.5,2.4,,1712.5,201.4,6.8,20.1,6.3,,106.8,29.5,1.4000000000000057,2012-12-31,1379.3,883,86.2,0,,11.6485,1712.5,240.4,1026,686.5,201.4,220.4,
ODFL,2011,2011-12-31,42.1,213.5,123.3,-622,75.9,75.9,8.6,331.9,204.8,39.4,134.9,19.5,3.4,,1513.1,229.8,6.6,19.5,0,,87,24.8,4.400000000000006,2011-12-31,1127,713.5,86.2,0,,9.6717,1513.1,269.2,856.5,656.6,229.8,217.9,
ODFL,2010,2010-12-31,29.2,173,103.7,-580.3,5.5,5.5,5.6,222.6,170,37.1,90.8,15.2,4.3,,1239.9,234.1,,18.7,,,76.3,33.6,7.699999999999989,2010-12-31,964.2,574,83.9,0,,7.7378,1239.9,271.2,668.6,571.2,234.1,180.7,
ODFL,2009,2009-12-31,28.1,136.8,83.3,-509.2,4.2,4.2,5.6,174.2,148.1,36.7,80.7,14.3,5.2,,1159.3,268.9,,16.2,,,68.6,26.1,4.099999999999994,2009-12-31,939.5,498.4,83.9,0,,6.8355,1159.3,305.5,593,566.3,268.9,140.9,
ODFL,2008,2008-12-31,41,139.2,89.2,-428.9,24.1,29,3.7,209.2,142.2,12,74,,25.6,,1074.9,240,,20.3,,,60.6,15.6,7.300000000000011,2008-12-31,824.5,463.5,83.9,0,4.9,6.348,1074.9,252,558.1,516.8,240,146.5,
ODFL,2007,2007-12-31,33.3,151.6,82.2,-365.2,6.3,30.7,3.7,216.3,127.7,12.2,62.3,,23.5,,981,251.6,,14,,,50,19.8,6.599999999999994,2007-12-31,721.5,394.8,83.9,0,24.4,5.553,981,263.8,489.5,491.6,251.6,158.2,
ODFL,2006,2006-12-31,37.7,141.1,71.2,-308.9,2.6,87.7,3.7,256.4,121.5,12.7,52.1,,16.8,,892.2,261.9,,12.3,,,39,11.5,3.9000000000000057,2006-12-31,607.6,323,83.9,0,85.2,4.7771,892.2,274.6,417.6,474.6,261.9,145,
ODFL,2005,2005-12-31,31,124.7,58.1,-263.1,1,1,3.7,150.2,111,17.9,42.8,,,0,641.6,111,,10.7,4.1,,31.8,25.4,2.5,2005-12-31,466.1,250.4,83.9,0,0,4.1132,641.6,129,345.1,296.6,111,127.2,
ODFL,2004,2004-12-31,25.3,94.5,45.1,-232.4,0.7,0.7,3.7,122.5,93.8,22,39.3,,,10.6,504.7,57.4,,4.6,1.4,,22.6,18.9,2.799999999999997,2004-12-31,363.3,197,83.9,0,,3.4744,504.7,79.5,291.5,213.2,57.4,97.3,
ODFL,2003,2003-12-31,12.2,73,42,-197.3,1.1,1.1,2.4,101.4,78.3,22.4,31.3,,,8.8,434.6,75,,4.5,1.7,,17.4,17.4,2.5999999999999943,2003-12-31,315.8,158,81.3,0,,2.8598,434.6,97.4,232.5,202,75,75.6,
ODFL,2002,2002-12-31,16.8,63.8,35.2,-175.1,19.3,19.3,1.1,114.5,63.1,11.1,25.9,,,8,389.5,82.1,,3.7,0,,14.8,19.1,4.200000000000003,2002-12-31,255.8,130.4,80.9,0,,2.5167,389.5,93.2,203.6,185.9,82.1,68,
ODFL,2001,2001-12-31,13.8,51.1,27.9,-151.3,0.8,0.8,0.8,73.9,50.6,8.4,20.8,,,7.3,310.8,90,,0.9,0.4,,12.8,18.8,1.1000000000000014,2001-12-31,218.2,111.9,63.1,0,,2.1648,310.8,98.4,136.6,174.2,90,52.2,
ODFL,2000,2000-12-31,26.5,54.3,27.9,-130,0.6,0.6,0.8,80.2,63.4,9,21.6,,,6.9,296.6,74.5,,1.5,0,,12.3,15,4.400000000000006,2000-12-31,201.4,100,63.1,0,,1.9762,296.6,83.5,124.7,171.9,74.5,58.7,
ODFL,1999,1999-12-31,22.9,55.1,26.8,-116.2,0.8,0.8,0.8,76.3,71.6,21.8,20.8,,,6.4,257.6,43.1,,2.3,0,,11.1,14.4,1,1999-12-31,167,86.3,63.1,0,,1.7591,257.6,64.9,111,146.5,43.1,56.1,
ODFL,1998,1998-12-31,21.4,48.6,23.5,-97.5,0.7,0.7,0.8,69.8,54.5,9.1,19.5,,,6.3,241.8,61.5,,2.2,0.5,,9.6,13,2.6000000000000014,1998-12-31,159,71.9,63.1,0,,1.5309,241.8,70.6,96.6,145.2,61.5,51.2,
