symbol,period,numberAnalysts,revenueAvg,revenueHigh,revenueLow
CVX,2024-12-31,5,191715829767,199384462957,185964354874
CVX,2023-12-31,5,163506334978,170046588377,158601144928
CVX,2022-12-31,8,141539362892,162192068640,119687858650
CVX,2021-12-31,15,125821468397,158434996560,99769350000
CVX,2020-12-31,15,103120965221,112921578600,92678390040
CVX,2019-12-31,14,152196638039,162180000000,141595750000
CVX,2018-12-31,15,176791634716,194622120000,156935330000
CVX,2017-12-31,13,141293906670,149532000000,120547720000
CVX,2016-12-31,16,115439961787,129240336240,89713360000
CVX,2015-12-31,15,134576617294,143300820000,110791479400
CVX,2014-12-31,12,215251947371,242761958400,185615029000
CVX,2013-12-31,11,237310035489,261656662800,202261490000
CVX,2012-12-31,13,249577777448,288755145600,222016316000
CVX,2011-12-31,12,252372832917,287642825400,206731250000
CVX,2010-12-31,9,207970300039,221734740000,188231765020
CVX,2009-12-31,6,164763352389,168912510000,154754360660
CVX,2008-12-31,5,268369576352,270820247940,255398090000
CVX,2007-12-31,4,228009084379,234287135400,212998142580
CVX,2006-12-31,3,213242706039,236121676800,183030107040
CVX,2005-12-31,3,199157463749,200233548000,190237467000
CVX,2004-12-31,2,153412175000,154167900000,146610650000
CVX,2003-12-31,3,104567750209,114897724560,90598000000
CVX,2000-12-31,2,52774924999,53034900000,50435150000
CVX,1999-12-31,3,36217737500,37092300000,33950000000
CVX,1998-12-31,2,31087419999,31240560000,29709160000
CVX,1997-12-31,2,45435459999,45659280000,43421080000
CVX,1996-12-31,2,39736234999,39931980000,37974530000
CMG,2024-12-31,18,9929691616,10326879281,9631800868
CMG,2023-12-31,18,8745407813,9095224126,8483045579
CMG,2022-12-31,21,7817905448,8548613880,6677480000
CMG,2021-12-31,34,7032999838,7424392320,6262320000
CMG,2020-12-31,35,6066945878,6208128000,5711360000
CMG,2019-12-31,33,5630628417,5691600000,5340820000
CMG,2018-12-31,32,4905953424,4955976000,4659492000
CMG,2017-12-31,34,4547481520,4593876000,4316112000
CMG,2016-12-31,35,3969637534,4184652000,3762309900
CMG,2015-12-31,31,5977451856,46721916795,4356270000
CMG,2014-12-31,28,4175305542,4225962000,3965418200
CMG,2013-12-31,29,3245137273,3270922740,3091778000
CMG,2012-12-31,28,2771653841,2785932120,2642280000
CMG,2011-12-31,28,2298336250,2322270720,2183489400
CMG,2010-12-31,26,1848021949,1870057800,1733390000
CMG,2009-12-31,21,1542847197,1564986000,1460917000
CMG,2008-12-31,17,1346556408,1365780000,1273901000
CMG,2007-12-31,12,1102099383,1111800000,1048279000
CMG,2006-12-31,14,832438902,854046000,786117100
CMG,2005-12-31,10,632299771,643153860,598528800
CB,2024-12-31,6,37003569875,38483712670,35893462779
CB,2023-12-31,6,35353102084,36767226168,34292509022
CB,2022-12-31,11,34282893749,36468060000,31428000000
CB,2021-12-31,15,32879620004,34488240000,30206770000
CB,2020-12-31,15,31293319997,31887240000,28932190000
CB,2019-12-31,18,30178994999,30464340000,28706180000
CB,2018-12-31,18,28789121670,29086320000,27393770000
CB,2017-12-31,18,27632552849,28102020000,26153140000
CB,2016-12-31,20,26686253124,27030000000,25322820000
CB,2015-12-31,23,16387174999,17115600000,15413300000
CB,2014-12-31,22,15998193170,16220040000,15118420000
CB,2013-12-31,23,14951085329,15175560000,14107680000
CB,2012-12-31,21,14616941179,16450560000,13691550000
CB,2011-12-31,17,15709926399,15959940000,14862340000
CB,2010-12-31,17,14084156676,15808791300,13116340000
CB,2009-12-31,13,13290555002,13480320000,12560530000
CB,2008-12-31,9,13484274999,13639440000,12805940000
CB,2007-12-31,13,12611095499,14434424940,11243658000
CB,2006-12-31,11,12488522110,13437654420,11418350150
CB,2005-12-31,8,12250902621,13260000000,11446000000
CB,2004-12-31,10,11711695920,12135960000,10747600000
CB,2003-12-31,10,10233208248,10506000000,9502120000
CB,2002-12-31,9,7479737999,8397660000,6605700000
CB,2001-12-31,5,6305687499,6359700000,6004300000
CB,2000-12-31,4,5424159999,5450880000,5183680000
CHD,2024-12-31,6,5476597427,5695661324,5312299504
CHD,2023-12-31,6,5293811653,5505564119,5134997303
CHD,2022-12-31,9,5193883397,5397379980,4828660000
CHD,2021-12-31,17,4990094113,5169550740,4650180000
CHD,2020-12-31,17,4853149734,4914325320,4607500000
CHD,2019-12-31,18,4421441439,4465560000,4219985000
CHD,2018-12-31,21,4200063453,4233990420,3981850000
CHD,2017-12-31,21,3802844522,3839280000,3590940000
CHD,2016-12-31,21,3537966874,3563880000,3367840000
CHD,2015-12-31,21,3433813461,3464440200,3268900000
CHD,2014-12-31,23,3330686426,3360594000,3132130000
CHD,2013-12-31,22,3248118805,3364980000,3091099000
CHD,2012-12-31,20,2962795718,2997780000,2812127000
CHD,2011-12-31,17,2753801503,2778276000,2622880000
CHD,2010-12-31,15,2628820879,2662291800,2502600000
CHD,2009-12-31,12,2547933367,2578772160,2420302290
CHD,2008-12-31,10,2437155750,2478528600,2306466000
CHD,2007-12-31,7,2233268975,2253282000,2127792000
CHD,2006-12-31,6,1957580358,1995120000,1816376410
CHD,2005-12-31,6,1756664559,1771740000,1674414000
CHD,2004-12-31,5,1473889366,1490322000,1400419070
CHD,2003-12-31,4,1091125000,1106394000,1033341000
CHD,2002-12-31,6,1056386624,1070286000,1004532000
CHD,2001-12-31,3,1059812249,1065288000,1012583000
CI,2024-12-31,14,188888628315,196444173448,183221969466
CI,2023-12-31,14,180025152876,187226158991,174624398290
CI,2022-12-31,19,174151254083,179561310000,157360980550
CI,2021-12-31,23,165618334594,170537880000,151753298030
CI,2020-12-31,24,158191600696,161953855800,149277860940
CI,2019-12-31,26,140831585487,142729620000,133618470000
CI,2018-12-31,22,46823942647,49007940000,43981740000
CI,2017-12-31,20,41845972070,42501138660,39600250000
CI,2016-12-31,19,40177723328,40718695800,38240310000
CI,2015-12-31,20,38246616686,38646780000,35364260000
CI,2014-12-31,21,35279841142,35586912600,33501860000
CI,2013-12-31,20,29395020459,29652420000,28023300000
CI,2012-12-31,18,26799157411,28493700000,25329610000
CI,2011-12-31,21,22172658181,22837283880,20098400000
CI,2010-12-31,20,21432988137,21763752240,19509774900
CI,2009-12-31,16,18673997323,18949560000,17647210000
CI,2008-12-31,16,19341354210,19682238240,18246670000
CI,2007-12-31,16,17858121323,18029583240,17015740000
CI,2006-12-31,15,16428561990,17012814600,13226822030
CI,2005-12-31,17,16584474079,16899972000,15415240000
CI,2004-12-31,17,17889096149,18614082000,15456950000
CI,2003-12-31,16,19029260600,19849200000,15364800000
CI,2002-12-31,13,20286969937,20593800000,18915000000
CI,2001-12-31,8,18374951000,19377960000,15520000000
CI,2000-12-31,7,20387797499,20604000000,19432980000
CI,1999-12-31,6,19906179999,22644000000,16634530000
CINF,2024-12-31,2,9127706144,9492814390,8853874960
CINF,2023-12-31,2,8187979093,8515498257,7942339720
CINF,2022-12-31,4,7455174999,7491900000,7124650000
CINF,2021-12-31,7,6932754499,7099200000,6376683000
CINF,2020-12-31,7,6006634670,6114900000,5612032000
CINF,2019-12-31,8,7168259874,7514340000,6052121000
CINF,2018-12-31,8,6254328499,6297480000,5954830000
CINF,2017-12-31,6,5813919999,5853576000,5537924000
CINF,2016-12-31,7,5559933170,5613060000,5286985000
CINF,2015-12-31,5,5237044749,5263200000,5004521000
CINF,2014-12-31,5,4986221329,5036454000,4749993000
CINF,2013-12-31,6,4586864931,4640097300,4364030000
CINF,2012-12-31,8,4140628220,4217700000,3920546000
CINF,2011-12-31,8,3824094308,3885180000,3592298000
CINF,2010-12-31,5,3738212185,3822960000,3446315910
CINF,2009-12-31,5,3743573749,3780120000,3560385000
CINF,2008-12-31,5,3784301132,3806284020,3613347000
CINF,2007-12-31,7,4355295472,4407930000,4132552110
CINF,2006-12-31,7,3739716749,3926898000,3413430000
