symbol,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraHighTTM,peExclExtraTTM,peExclLowTTM,peInclExtraTTM,peNormalizedAnnual
MMC,28.53589,32.13846,34.67961,27.52653,18.60495,27.52653,27.87013
MLM,21.92448,26.28884,34.21893,23.90472,19.95823,23.90472,26.27126
MAS,20.79546,26.42043,34.50117,21.95355,14.19576,10.72804,25.75075
MA,50.72327,39.61687,50.95347,47.25743,25.86615,47.06843,39.61687
MXIM,25.67579,33.68485,63.74992,32.0583,16.01293,32.0583,33.42059
MKC,36.10159,36.08004,36.47724,33.37437,24.69537,33.37437,35.23747
MCD,29.00212,27.27861,29.24762,34.33547,20.23415,34.33547,27.38108
MCK,11.3034,34.33494,50.782,13.14624,6.20656,13.14663,27.88282
MDT,29.54063,29.60642,44.55294,31.95103,20.61419,31.71181,25.06759
MRK,18.16108,20.85238,62.07405,17.70558,18.24444,17.782,14.99097
MET,6.06609,6.68228,29.47886,6.64452,3.25546,6.64452,6.55279
MTD,40.0983,52.57013,40.63057,49.69109,27.07971,49.69109,51.38174
MGM,7.67819,5.67756,85.49541,7.86344,2.12318,7.86344,46.56572
MCHP,41.05211,56.25076,267.0735,53.38128,24.19097,53.38128,52.97408
MU,19.13719,23.21774,43.75321,23.20406,3.15258,23.20406,23.08539
MSFT,33.61843,37.54489,42.36112,34.91034,19.94465,34.91034,37.3204
MAA,44.32797,41.41389,56.87021,46.94496,20.59464,46.94496,56.19692
MHK,12.61002,11.7085,22.83282,16.19321,7.66284,16.19321,9.63659
TAP,12.45117,34.38807,81.22387,14.22869,9.38628,14.22869,13.73068
MDLZ,26.33787,21.01025,82.44906,25.78012,8.71808,25.80466,19.4749
MNST,35.73274,41.08075,53.19501,37.42006,27.23848,37.42006,40.75539
MCO,29.85445,39.15944,72.21099,30.22478,20.9673,30.22478,37.22241
MS,8.0445,9.961,14.45645,8.72065,7.07384,8.72065,9.961
MSI,33.60904,33.275,34.4877,36.83466,20.84545,36.83466,28.38142
MSCI,53.44851,63.91131,54.51484,63.6584,26.47695,62.94991,63.91131
MYL,28.76986,450.3535,633.2703,28.47037,19.37006,28.47037,12.42052
NDAQ,22.14051,28.73439,108.9451,24.38828,17.90604,24.38828,28.36789
NOV,,,,,,,
NTAP,12.67525,13.37403,34.24819,13.58231,12.17024,13.58231,13.43093
NFLX,82.16893,133.6895,407.3507,87.13456,80.61424,83.15724,133.6895
NWL,,42.99349,97.90652,,19.43702,,7.86691
NEM,21.3691,17.45541,430.3236,23.02159,10.29552,21.47095,42.10253
NWSA,,,469.6003,,29.49227,,
NWS,,,,,,,
NEE,34.64304,38.11518,34.80743,37.98268,13.12624,38.19709,40.99488
NLSN,,,32.85656,,21.29028,,17.06641
NKE,64.94321,80.80238,66.74222,76.88866,21.15183,76.88866,70.86155
NI,,26.61806,98.34254,,21.12778,,13.61087
NBL,,,362.8712,,34.33661,,
NSC,27.42632,21.77492,27.59442,28.7769,15.44759,28.7769,21.77492
NTRS,12.85883,12.32135,22.08485,13.52076,11.26159,13.52076,12.32135
NOC,21.49113,22.78968,26.10944,20.60381,13.2664,20.60381,22.78968
NLOK,17.7017,22.68303,92.80238,18.8861,18.53413,3.30672,21.75328
NCLH,,3.94912,36.59424,,9.92661,,3.90364
NRG,1.90611,2.0026,52.83779,1.84211,1.6637,1.87725,1.94726
NUE,,11.70187,163.5287,,6.9329,,11.24417
NVDA,73.62537,128.7456,74.76742,106.7991,26.55786,106.7991,126.824
NVR,17.63734,18.75087,24.83293,19.10022,11.74775,19.10022,18.75087
ORLY,20.40622,25.08097,28.18892,20.02888,16.9008,20.02888,25.08097
OXY,,,399.1333,,10.27809,,8.22481
