symbol,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraHighTTM,peExclExtraTTM,peExclLowTTM,peInclExtraTTM,peNormalizedAnnual
TSN,10.05368,11.05438,18.35552,11.01651,9.85188,11.01651,9.21873
HSY,24.35903,27.1512,41.08448,25.99114,19.34256,25.99114,24.16471
GIS,16.82557,16.87052,25.78798,16.06576,15.21742,16.06576,17.2648
KO,25.08651,25.59861,46.92306,27.45104,18.45545,27.45104,24.2619
JNJ,22.98328,25.50964,26.72517,22.98994,18.74819,22.58409,18.25667
MRK,18.16108,20.73841,62.07405,17.6088,18.24444,17.68481,14.90903
UNH,17.68245,23.25757,23.21106,19.14502,15.80755,19.14502,23.25757
AMN,31.05775,27.74043,31.32955,35.60615,15.755,35.60615,27.74043
VZ,13.44911,12.98196,16.61386,13.66201,10.57964,13.66201,10.83683
AWK,39.61219,44.63208,39.69913,41.95975,22.5997,41.95975,42.68492
D,40.36968,47.90054,100.9354,40.6183,18.78658,38.33972,21.88345
GOOGL,28.07086,35.8834,34.08456,34.08796,21.85935,34.08796,34.40975
ADBE,64.3543,76.98669,74.15602,58.25468,42.97799,58.29901,73.08898
