symbol,period,numberAnalysts,revenueAvg,revenueHigh,revenueLow
ODFL,2024-12-31,3,5999902145,6239898231,5819905081
ODFL,2023-12-31,3,5401029072,5617070235,5238998200
ODFL,2022-12-31,7,4934860777,5358309900,4531923420
ODFL,2021-12-31,14,4466443808,4721660580,4047034000
ODFL,2020-12-31,14,3999008223,4109784000,3717040000
ODFL,2019-12-31,14,4170498147,4229940000,3966330000
ODFL,2018-12-31,15,4096713717,4147284300,3880000000
ODFL,2017-12-31,15,3392511792,3427404000,3221370000
ODFL,2016-12-31,15,3031373076,3074280000,2882840000
ODFL,2015-12-31,18,3030588461,3081420000,2878960000
ODFL,2014-12-31,16,2824047766,2869260000,2675745000
ODFL,2013-12-31,20,2363144518,2385372000,2246320180
ODFL,2012-12-31,19,2150349686,2172600000,2039716000
ODFL,2011-12-31,17,1905028256,1925760000,1802551000
ODFL,2010-12-31,15,1489040058,1508580000,1413453930
ODFL,2009-12-31,12,1264430159,1288464000,1192906000
ODFL,2008-12-31,12,1555786823,1586610000,1472460000
ODFL,2007-12-31,13,1411781668,1437792000,1340466280
ODFL,2006-12-31,9,1294908001,1310394000,1229184000
ODFL,2005-12-31,8,1066917249,1081200000,1013650000
ODFL,2004-12-31,9,825484995,836196000,784536000
ODFL,2003-12-31,5,672369829,677484000,640394000
ODFL,2002-12-31,6,568567475,579156000,530493000
ODFL,2000-12-31,3,487199999,489600000,465600000
OMC,2024-12-31,8,15045923994,15647760954,14594546274
OMC,2023-12-31,8,14474005968,15052966207,14039785789
OMC,2022-12-31,11,14132684810,14807340000,12906820000
OMC,2021-12-31,15,13831964731,14260620000,12715730000
OMC,2020-12-31,15,13082519963,13378320000,12204540000
OMC,2019-12-31,13,15100065091,15215136000,14361820000
OMC,2018-12-31,14,15505111752,15624360000,14771664400
OMC,2017-12-31,15,15530066156,15675360000,14697440000
OMC,2016-12-31,17,15671822284,15865080000,14910107650
OMC,2015-12-31,18,15386898945,15530520000,14643120000
OMC,2014-12-31,19,15504035456,15671076000,14753700000
OMC,2013-12-31,17,14782094782,14885880000,14099920000
OMC,2012-12-31,21,14433108164,14670150000,13736250510
OMC,2011-12-31,20,14021773588,14173206000,13308041100
OMC,2010-12-31,15,12587397441,12686760000,12000384100
OMC,2009-12-31,16,11803933364,11890038000,11218050000
OMC,2008-12-31,14,13578384551,13841261280,12890330000
OMC,2007-12-31,8,12834544501,12963180000,12216180000
OMC,2006-12-31,14,11536361957,11620656000,10990100000
OMC,2005-12-31,10,10637025754,10740467400,10147752000
OMC,2004-12-31,8,9876472004,9945204000,9407060000
OMC,2003-12-31,10,8652050596,8761800000,8211050000
OMC,2002-12-31,8,7700432829,7757100000,7325440000
OMC,2001-12-31,6,6951531999,7054932000,6567579000
OMC,2000-12-31,4,6175192329,6215268000,5889355000
OMC,1999-12-31,2,4283604499,4304706000,4093691000
OMC,1998-12-31,2,3696122499,3714330000,3532255000
OKE,2024-12-31,7,10970610151,11409434557,10641491846
