symbol,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraHighTTM,peExclExtraTTM,peExclLowTTM,peInclExtraTTM,peNormalizedAnnual
CPB,25.26336,24.93106,39.07538,24.90765,13.76612,9.06282,20.49059
CASY,19.7141,25.43641,28.90005,22.50046,18.87118,22.50046,25.09368
KO,25.08651,24.13321,46.92306,25.8796,18.45545,25.8796,22.87302
CL,24.42651,28.68514,48.52888,26.33996,20.95044,26.33996,27.15688
CTVA,42.70548,,,52.51834,,47.7156,79.92279
CVS,10.26931,11.43892,50.13725,9.22858,10.31093,9.22858,10.54395
GIS,16.82557,17.14607,25.78798,16.32817,15.21742,16.32817,17.54679
JJSF,58.26004,27.45939,59.94035,69.00977,26.82634,69.03743,27.45939
K,20.03451,23.19898,66.44587,20.45974,13.21484,20.45974,18.87094
KDP,34.32895,33.0557,50.25973,35.63977,3.18417,35.63977,32.95835
MKC,36.10159,36.75895,36.47724,34.00238,24.69537,34.00238,35.90053
MCK,27.2488,29.97376,50.782,27.23829,6.20656,27.26741,24.34118
TAP,,30.34083,81.22387,,9.38628,,12.11468
MNST,32.47492,38.90484,53.19501,37.22623,27.23848,37.22623,38.59671
FIZZ,20.40258,29.92232,40.01723,26.59941,15.79213,26.59941,29.92232
PEP,27.27464,26.79192,29.09477,27.47349,12.57346,27.55506,25.71829
PG,25.54165,28.69496,77.0274,27.21749,19.68027,27.21749,27.33697
RAD,,,1551.16,,4.11762,,
SFM,13.43186,16.32535,32.1209,11.10948,11.46214,11.10948,16.32535
SYY,126.8217,139.1732,132.2879,147.5654,19.05744,147.5654,37.79305
HSY,24.52958,26.42729,41.85528,28.27008,19.34256,28.27008,23.52043
TR,36.05054,31.49606,42.60186,31.89531,29.32676,31.89531,31.50424
THS,,,57.98125,,29.8579,,37.67623
TSN,11.63385,10.35322,18.35552,11.51208,9.85188,11.51208,10.41358
UL,,,,,,,
UNFI,,,20.03022,,11.71354,,11.5504
WDFC,46.30393,54.18251,46.40065,54.17193,28.56857,54.17193,54.18251
