symbol,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraHighTTM,peExclExtraTTM,peExclLowTTM,peInclExtraTTM,peNormalizedAnnual
ABBV,21.56082,15.8808,33.90316,18.461,13.85585,18.461,14.5758
ACHC,20.82832,24.71077,587.2245,25.53933,14.28494,25.53933,15.39087
AMGN,19.14935,17.46467,19.27008,18.37382,14.25052,18.37382,17.37531
AMN,24.62684,27.76966,29.60804,36.68182,15.755,36.68182,27.76966
BAX,60.1383,51.45635,61.46268,57.11532,4.92886,44.86374,28.17174
BMY,,29.24192,73.77418,,11.91396,,24.807
CGIX,,,12.997,,2.90515,,
CSII,,,2136.463,,631.4273,,
CPRX,11.4184,10.61034,63.66906,8.1544,9.5524,8.1544,10.61034
CNC,21.90496,21.45644,35.31599,23.59876,13.42311,23.59876,14.62536
ENDP,,,8.157,,8.157,,
GILD,,14.22813,30.10612,,7.17942,,13.9388
GSK,,,,,,,
GMED,53.61578,33.68601,55.61643,59.75473,18.48318,59.75473,32.86171
HBIO,,,164.4737,,101.7263,,
ILMN,76.38054,48.11274,77.07852,69.25893,34.00273,69.25893,50.52382
JNJ,22.98328,24.5651,26.72517,22.1387,18.74819,21.74788,17.58069
MRK,18.64402,20.42238,62.07405,19.10388,13.15807,19.19476,14.70684
MYGN,,,460.1623,,14.32061,,
NVS,,,,,,,
PFE,12.83042,13.31924,33.41654,15.23322,11.28957,14.88069,15.64525
PBH,12.43898,12.28169,43.22486,11.42236,12.55557,11.42236,11.61597
REGN,22.8871,31.55156,98.53487,22.55224,15.23728,22.55224,31.55156
TEVA,,,,,,,
TVTY,,,32.52849,,6.83032,,
UNH,17.72432,22.37247,23.21106,18.41643,15.80755,18.41643,22.37247
ZGNX,,,,,,,
