symbol,year,period,capex,cashDividendsPaid,cashInterestPaid,cashTaxesPaid,changeinCash,changesinWorkingCapital,deferredTaxesInvestmentTaxCredit,depreciationAmortization,foreignExchangeEffects,issuanceReductionCapitalStock,issuanceReductionDebtNet,netCashFinancingActivities,netIncomeStartingLine,netInvestingCashFlow,netOperatingCashFlow,otherFundsFinancingItems,otherFundsNonCashItems,otherInvestingCashFlowItemsTotal
MMC,2019,2019-12-31,-421,-890,427,661,89,-696,84,647,93,-416,5695,3306,1773,-5671,2361,-1083,553,-5250
MMC,2018,2018-12-31,-314,-807,264,632,-139,-320,-39,494,-168,-649,328,-1310,1670,-1089,2428,-182,623,-775
MMC,2017,2017-12-31,-302,-740,199,583,179,-520,396,481,251,-783,672,-1009,1512,-956,1893,-158,24,-654
MMC,2016,2016-12-31,-253,-682,178,642,-348,-469,68,438,-232,-651,385,-1067,1795,-1056,2007,-119,175,-803
MMC,2015,2015-12-31,-325,-632,146,433,-584,-467,178,423,-301,-1225,1030,-906,1636,-1265,1888,-79,118,-940
MMC,2014,2014-12-31,-368,-582,172,426,-345,-147,127,388,-274,-601,1062,-961,1497,-1222,2112,-840,247,-854
MMC,2013,2013-12-31,-401,-533,170,360,2,-557,184,358,-59,-277,287,-834,1385,-446,1341,-311,-29,-45
MMC,2012,2012-12-31,-320,-497,183,350,188,-278,96,349,82,-79,-11,-633,1201,-583,1322,-46,-46,-263
MMC,2011,2011-12-31,-280,-480,188,37,219,72,178,332,-22,-292,485,-1007,1015,-457,1705,-720,108,-177
MMC,2010,2010-12-31,-271,-452,232,39,117,-562,16,357,-10,-104,-559,-1130,871,535,722,-15,40,806
MMC,2009,2009-12-31,-305,-431,230,219,92,-358,42,365,152,1,-10,-464,242,-236,640,-24,349,69
MMC,2008,2008-12-31,-386,-412,216,200,-448,-449,103,404,-397,132,-260,-540,-73,-348,837,,852,38
MMC,2007,2007-12-31,-378,-413,290,1132,44,-1271,12,442,77,-1114,-1117,-2644,2475,2842,-231,,-1889,3220
MMC,2006,2006-12-31,-307,-374,300,597,56,-439,60,488,73,181,-566,-759,990,-136,878,,-221,171
MMC,2005,2005-12-31,-345,-363,307,156,637,-320,36,490,-43,269,222,128,404,153,399,,-211,498
MMC,2004,2004-12-31,-376,-681,198,383,731,1639,-71,456,28,-80,1951,1190,176,-2556,2069,,-131,-2180
MMC,2003,2003-12-31,-436,-631,172,542,119,-154,90,391,47,-622,-72,-1325,1540,-470,1867,,0,-34
MMC,2002,2002-12-31,-423,-593,154,931,9,-604,176,359,7,-694,282,-1005,1365,-273,1280,,-16,150
MMC,2001,2001-12-31,-433,-567,192,175,297,-45,-67,520,-11,-376,407,-536,974,-533,1377,,-5,-100
MMC,2000,2000-12-31,-512,-514,244,305,-188,-134,175,488,-21,315,-802,-1001,1181,-530,1364,,-346,-18
MMC,1999,1999-12-31,-358,-447,211,506,-182,-288,32,400,-3,476,-363,-334,726,-845,1000,,130,-487
MMC,1998,1998-12-31,-297,-375,164,305,186,36,79,251,6,-57,66,-366,796,-587,1133,,-29,-290
MMC,1997,1997-12-31,-202.1,-305.6,91.6,471.1,124.7,-165.7,-157.1,199.1,-14.3,209.8,494.7,398.9,399.4,-675.3,415.4,0,139.7,-473.2
MMC,1996,1996-12-31,-157.3,-239.2,60.2,200,-28.5,7.9,-20.8,139.9,-6.2,-87,-1.3,-325,459.3,-13.8,316.5,2.5,-269.8,143.5
MMC,1995,1995-12-31,-136.9,-217,66,231,33.2,-126.4,34.7,135.1,6,-55.1,174.5,-92.8,402.9,-198.1,318.1,4.8,-128.2,-61.2
MMC,1994,1994-12-31,-149.1,-206.4,48.1,222.5,-37.1,-65,48,120.6,7.6,-74.2,121,-189.8,371.5,-223.4,368.5,-30.2,-106.6,-74.3
MMC,1993,1993-12-31,-98.8,-198.5,42.1,122.4,-39.1,-37.8,94.2,119.9,-9.8,26.1,63.8,-109.1,332.4,-158.3,238.1,-0.5,-270.6,-59.5
MMC,1992,1992-12-31,-82.8,-191.1,41.3,179.7,22.1,55.1,-11.1,112,-15.6,67.9,207,83.8,263.7,-391.2,345.1,0,-74.6,-308.4
MMC,1991,1991-12-31,-81.2,-190.6,34.3,220.1,44.4,145,-6.9,113.1,-6.4,-156.4,-60.2,-407.2,305.5,-22.9,480.9,0,-75.8,58.3
MMC,1990,1990-12-31,-154.7,-186.7,30.3,298.5,11.6,-24.5,-1.4,105,19.8,-25.6,32.1,-180.2,304.1,-202.2,374.2,0,-9,-47.5
MMC,1989,1989-12-31,-160.7,-179.7,9.1,184.4,40.8,70.4,-3.4,89.3,0.8,14.1,-64.6,-230.2,294.9,-178,448.2,0,-3,-17.3
MMC,1988,1988-12-31,-374.2,-176.2,23.5,291.3,-91.9,-29.3,-47.1,80.9,-4.3,-147.1,258.1,-65.2,296.3,-357.7,335.3,0,34.5,16.5
MMC,1987,1987-12-31,-116,-160.3,12.6,287.1,66,10.2,-21.5,70.1,19.9,-92.7,30,-223,302.1,-94.2,363.3,0,2.4,21.8
MMC,1986,1986-12-31,-102.6,-115.2,5.3,229.7,48.8,86.8,26.2,55.5,5.3,-73,39.1,-149.1,243.2,-208.5,401.1,0,-10.6,-105.9
MMC,1985,1985-12-31,-52.8,-90.3,0,0,-15.8,-38.3,12.2,38.8,0,13.4,-79.9,-137.6,162.9,-73.8,195.6,19.2,20,-21
MMC,1984,1984-12-31,-54.1,-81.1,0,0,73.5,31.6,1.6,31.1,0,9.7,-1129.5,-1180.6,58.7,1162.8,91.3,20.3,-31.7,1216.9
MMC,1983,1983-12-31,-34,-77.8,0,0,31,25.1,5.6,25.7,0,0,1102.2,1043.4,93.8,-1154.8,142.4,19,-7.8,-1120.8
MLM,2019,2019-12-31,-393.5,-129.8,127.9,101.7,-23.9,-86.4,29.4,371.5,,-84.5,-361.1,-604.1,612,-385.9,966.1,-28.7,39.6,7.6
MLM,2018,2018-12-31,-375.954,-116.436,137.239,28.86,-1401.472,-192.396,85.063,344.033,,-93.176,86.462,-158.414,470.376,-1948.206,705.148,-35.264,-1.928,-1572.252
MLM,2017,2017-12-31,-410.325,-108.852,78.902,155.771,1396.326,-111.55,-239.056,297.162,,-89.889,1340.239,1124.927,713.385,-386.479,657.878,-16.571,-2.063,23.846
MLM,2016,2016-12-31,-387.267,-105.036,73.664,124.342,-118.371,-91.675,67.05,285.253,,-231.971,97.095,-252.291,425.444,-555.313,689.233,-12.379,3.161,-168.046
MLM,2015,2015-12-31,-318.232,-107.462,71.011,46.774,59.758,-78.86,85.225,263.587,,-482.732,-11.268,-609.388,288.938,88.546,580.6,-7.926,21.71,406.778
MLM,2014,2014-12-31,-232.183,-91.304,81.304,15.955,66.214,-4.657,50.292,222.746,,39.714,-193.975,-266.119,154.294,-49.325,381.658,-20.554,-41.017,182.858
MLM,2013,2013-12-31,-155.2,-74.2,52,23.5,17,-10.3,24.1,173.8,,11.7,-14.2,-77.4,119.4,-214.5,309,-0.7,1.9,-59.3
MLM,2012,2012-12-31,-151,-73.8,53,12.8,-0.6,-62.1,13.9,177.2,,7,-12.7,-80.1,85.5,-143.2,222.7,-0.6,8.1,7.8
MLM,2011,2011-12-31,-155.4,-73.6,60.7,13.9,-44.3,-6.8,11.3,173.4,,1.5,22.4,-64.5,83.6,-238.9,259.1,-14.7,-2.4,-83.6
MLM,2010,2010-12-31,-135.9,-73.6,68.1,19.7,-193.3,-25.6,1.7,181.5,,3,-219.6,-288.9,98.7,-174.2,269.8,1.2,13.5,-38.3
MLM,2009,2009-12-31,-139.2,-71.2,72,17.1,225.8,21,8.7,179.4,,294.2,-109.1,92.5,88.2,-185,318.4,-21.5,21.1,-45.8
MLM,2008,2008-12-31,-258.2,-62.5,75.6,54.8,17.8,-19.8,23.8,171.1,,-20.7,219,126.8,176.3,-450.8,341.7,-8.9,-9.7,-192.5
MLM,2007,2007-12-31,-264.9,-53.6,64,69.7,-12.2,-3.7,8.7,150.3,,-536.5,415.9,-151.8,262.7,-256,395.6,22.5,-22.6,8.9
MLM,2006,2006-12-31,-266,-46.4,47,77.8,-44.5,-49,17.2,141.4,,-141.4,1.1,-169.2,245.4,-213.4,338.2,17.5,-16.9,52.6
MLM,2005,2005-12-31,-221.4,-40,46.7,66.1,-84.9,-19.7,5.7,138.3,,-145.5,-2.8,-188.8,192.7,-213.9,317.8,-0.5,0.9,7.5
MLM,2004,2004-12-31,-163.4,-36.5,44.9,13.4,36.5,-15.7,38.5,132.9,,-67.7,-2.8,-107,129.2,-123.3,266.8,0,-18,40.1
MLM,2003,2003-12-31,-120.6,-33.7,46.8,14.8,110.6,19.1,22.6,139.6,,-12.2,-33.4,-66.8,93.6,-99.8,277.2,12.6,2.2,20.9
MLM,2002,2002-12-31,-152.7,-28.3,47.1,25.4,-1.7,-34.4,24.5,138.7,,0.6,-74.7,-102.3,86.3,-102.9,203.6,0,-11.5,49.8
MLM,2001,2001-12-31,-194.4,-26.9,47.5,42.1,6.2,-8.7,14.4,154.6,,2.6,149.9,123.4,105.4,-370.2,252.9,-2.2,-12.7,-175.8
MLM,2000,2000-12-31,-170.8,-25.2,42.7,59.9,-8.2,-42.6,9.5,136.4,,2,4,-19.3,112,-201.8,212.9,0,-2.3,-31
MLM,1999,1999-12-31,-137.8,-24.3,37.1,71.6,-11.2,-17.3,-3.3,124.8,,-10.7,14.7,-20.3,125.8,-214.6,223.7,0,-6.3,-76.7
MLM,1998,1998-12-31,-123.9,-23.2,23.7,59.5,-4.1,16.2,-3.5,98.8,,1.9,302.3,279.2,115.6,-505.8,222.6,-1.7,-4.6,-381.9
MLM,1997,1997-12-31,-86.4,-22.1,14.5,54.2,22.9,13.9,7.1,79.7,0,0.2,183.6,160.7,98.5,-333.4,195.6,-0.9,-3.6,-246.9
MLM,1996,1996-12-31,-79.5,-21.2,12,29.2,-1.3,-1,0.1,61.2,0,0,-103.7,-124.9,78.6,-11.4,134.9,0,-4,68.2
MLM,1995,1995-12-31,-71.6,-20.3,9.3,36.1,-0.7,9,0.1,55.7,0,0,119,98.7,67.6,-228,128.6,0,-3.7,-156.4
