symbol,year,period,accountsPayable,accountsReceivables,accruedLiability,accumulatedDepreciation,cashEquivalents,cashShortTermInvestments,commonStock,currentAssets,currentLiabilities,currentPortionLongTermDebt,deferredIncomeTax,goodwill,intangiblesAssets,inventory,liabilitiesShareholdersEquity,longTermDebt,longTermInvestments,otherCurrentAssets,otherCurrentliabilities,otherEquity,otherLiabilities,otherLongTermAssets,otherReceivables,period,propertyPlantEquipment,retainedEarnings,sharesOutstanding,shortTermDebt,shortTermInvestments,tangibleBookValueperShare,totalAssets,totalDebt,totalEquity,totalLiabilities,totalLongTermDebt,totalReceivables,treasuryStock
TSN,2020,2020-10-03,1876,1952,984,-7985,1420,1420,45,7883,4234,548,2391,10899,6774,4144,34741,10791,,367,826,-181,1728,1057,0,2020-10-03,8128,15311,365,0,,-6.04932,34741,11339,15465,19276,10791,1952,-4145
TSN,2019,2019-09-28,1926,2173,620,-7368,484,484,45,7169,5513,2102,2356,10844,7037,4108,33097,9830,,404,865,-94,1172,765,0,2019-09-28,7282,13787,366,0,,-10.37978,33097,11932,14082,19015,9830,2173,-4011
TSN,2018,2018-09-29,1694,1723,549,-6866,270,270,45,5688,5031,1911,2107,9739,6759,3513,29109,7962,,182,877,-5,1198,754,0,2018-09-29,6169,12329,366,0,,-10.09563,29109,9873,12803,16306,7962,1723,-3943
TSN,2017,2017-09-30,1698,1675,673,-6374,318,318,45,6258,4032,906,2979,9324,6243,3239,28066,9297,,1026,755,18,1199,673,0,2017-09-30,5568,9776,368,0,,-13.65761,28066,10203,10541,17525,9297,1675,-3674
TSN,2016,2016-10-01,1511,1542,563,-5997,349,349,43,4888,2762,79,2545,6669,5084,2732,22373,6200,,265,609,-44,1242,562,0,2016-10-01,5170,8348,361,0,,-5.94183,22373,6279,9608,12765,6200,1542,-3093
TSN,2015,2015-10-03,1662,1620,478,-5640,688,688,42,5381,3535,715,2449,6667,5168,2878,23004,6010,,195,680,-90,1304,612,0,2015-10-03,5176,6813,369,0,,-5.8103,23004,6725,9691,13313,6010,1620,-1381
TSN,2014,2014-09-27,1806,1684,490,-5251,438,438,42,6221,3797,643,2450,6706,5276,3274,23956,7535,,825,858,-146,1270,623,0,2014-09-27,5130,5748,376,0,,-8.2234,23956,8178,8890,15066,7535,1684,-1010
TSN,2013,2013-09-28,1359,1497,419,-5149,1145,1145,39,5604,3010,513,479,1902,138,2817,12177,1895,,145,719,-102,560,480,0,2013-09-28,4053,4999,344,0,,12.0959,12177,2408,6201,5976,1895,1497,-1021
TSN,2012,2012-09-29,1372,1378,382,-4861,1071,1071,39,5403,2830,515,558,1891,129,2809,11895,1917,,145,561,-74,549,451,0,2012-09-29,4022,4327,359,0,,11.117,11896,2432,6011,5884,1917,1378,-569
TSN,2011,2011-10-01,1264,1321,407,-4699,716,716,39,4780,2374,70,424,1892,149,2587,11071,2112,,156,633,-73,476,427,0,2011-10-01,3823,3801,370,0,,9.773,11071,2182,5657,5414,2112,1321,-365
