symbol,year,period,costOfGoodsSold,dilutedAverageSharesOutstanding,dilutedEPS,ebit,grossIncome,interestIncomeExpense,netIncome,netIncomeAfterTaxes,period,pretaxIncome,provisionforIncomeTaxes,researchDevelopment,revenue,sgaExpense,totalOperatingExpense,totalOtherIncomeExpenseNet
ODFL,2019,2019-12-31,473.114,120.609,5.10342,818.706,3635.997,6.386,615.518,615.518,2019-12-31,823.949,208.431,,4109.111,2328.589,2817.291,-1.143
ODFL,2018,2018-12-31,491.03,123.02906,4.92297,817.051,3552.665,2.924,605.668,605.668,2018-12-31,815.513,209.845,,4043.695,2276.416,2735.6139999999996,-4.462
ODFL,2017,2017-12-31,381.798,123.60998,2.90328,575.886,2976.314,-1.414,463.774,358.874,2017-12-31,575.832,216.958,,3358.112,1987.629,2400.428,1.36
ODFL,2016,2016-12-31,322.997,124.72966,2.37125,483.835,2668.52,-4.274,295.765,295.765,2016-12-31,477.587,181.822,,2991.517,1812.366,2184.685,-1.974
ODFL,2015,2015-12-31,353.889,128.06687,2.37915,498.24,2618.553,-5.001,304.69,304.69,2015-12-31,490.017,185.327,,2972.442,1733,2120.313,-3.222
ODFL,2014,2014-12-31,432.7,86.2,3.1,441.3,2355.2,-6.5,267.5,267.5,2014-12-31,432.5,165,,2787.9,1536.8,1913.8999999999999,-2.3
ODFL,2013,2013-12-31,385.2,86.2,2.39,338.4,1952.4,-9.5,206.1,206.1,2013-12-31,328.7,122.6,,2337.6,1306.5,1614,-0.3
ODFL,2012,2012-12-31,378.5,86.2,1.97,285.3,1756,-11.4,169.5,169.5,2012-12-31,273.1,103.6,,2134.6,1188.6,1470.8,-0.7
ODFL,2011,2011-12-31,355.2,85.7,1.63,234.1,1548.6,-13.9,139.5,139.5,2011-12-31,220.1,80.6,,1903.8,1065.5,1314.5,-0.1
ODFL,2010,2010-12-31,244.3,83.9,0.9,137.7,1236.7,-12.5,75.7,75.7,2010-12-31,124.4,48.8,,1481,906.2,1099,-0.8
ODFL,2009,2009-12-31,181.3,83.9,0.42,70.4,1063.7,-13,34.9,34.9,2009-12-31,57.2,22.3,,1245,806.4,993.3,-0.2
ODFL,2008,2008-12-31,305.2,83.9,0.82,129.1,1232.6,-13,68.7,68.7,2008-12-31,112.7,44,,1537.7,914.1,1103.5,-3.4
ODFL,2007,2007-12-31,238.9,83.9,0.86,129.9,1162.7,-13,71.8,71.8,2007-12-31,115.8,44,,1401.5,851.7,1032.6999999999998,-1.2
ODFL,2006,2006-12-31,204.4,83.9,0.87,130.5,1075,-10.2,72.6,72.6,2006-12-31,119.3,46.8,,1279.4,778.9,944.5000000000001,-0.9
ODFL,2005,2005-12-31,158,83.9,0.64,97.6,903.4,-6.5,53.5,53.9,2005-12-31,90.3,36.4,,1061.4,668,805.8,-0.8
ODFL,2004,2004-12-31,100.7,82.4,0.47,70.6,723.4,-5.3,39,39,2004-12-31,64.6,25.6,,824.1,541.4,652.6999999999999,-0.7
ODFL,2003,2003-12-31,72.1,81.3,0.34,51.2,595.4,-6.1,27.6,27.6,2003-12-31,45.3,17.7,,667.5,455,544.1999999999999,0.2
ODFL,2002,2002-12-31,56.3,65.6,0.28,36.3,510.2,-5.7,18.5,18.5,2002-12-31,30.3,11.8,,566.5,395.6,473.90000000000003,-0.3
ODFL,2001,2001-12-31,50.8,63.1,0.19,24.7,451.5,-5.9,11.9,11.9,2001-12-31,19.5,7.6,,502.2,354.2,426.7,0.7
ODFL,2000,2000-12-31,50.1,63.1,0.22,26.8,425.7,-4.4,13.7,13.7,2000-12-31,22.5,8.8,,475.8,329.8,399,0.1
ODFL,1999,1999-12-31,36.7,63.2,0.23,28.1,389.6,-4.1,14.4,14.4,1999-12-31,23.5,9.1,,426.4,299.8,361.6,-0.5
ODFL,1998,1998-12-31,31.5,63.2,0.18,22.6,351.6,-4.3,11.1,11.1,1998-12-31,17.9,6.8,,383.1,270.8,329,-0.3
ODFL,1997,1997-12-31,30.3,63.2,0.16,20,298.5,-3.5,10,10,1997-12-31,16.2,6.2,,328.8,228.6,278.5,-0.3
ODFL,1996,1996-12-31,30.3,63.4,0.1,13,262.7,-2.9,6.1,6.1,1996-12-31,9.9,3.8,,293,196.6,249.8,-0.1
ODFL,1995,1995-12-31,22.9,63.5,0.08,9.6,225.1,-1.5,4.8,4.8,1995-12-31,7.8,3,,248.1,170.9,215.5,-0.3
ODFL,1994,1994-12-31,21.7,63.6,0.16,17.6,221.8,-1.1,10,10,1994-12-31,16.4,6.4,,243.5,159.1,204.20000000000002,-0.1
ODFL,1993,1993-12-31,,63.7,0.13,14.5,,-1.1,8.3,8.3,1993-12-31,13.2,4.9,,205.4,180.7,190.9,-0.2
ODFL,1992,1992-12-31,,63.6,0.14,15.4,,-1.3,8,8.7,1992-12-31,14,5.3,,183.9,159.9,168.5,-0.1
ODFL,1991,1991-12-31,,53.1,0.12,13.3,,-2.9,0.2,6.3,1991-12-31,10.1,3.9,,155.9,135.9,142.6,-0.3
ODFL,1990,1990-12-31,,50.6,0.09,11,,-3.2,4.2,4.7,1990-12-31,7.6,2.9,,134.8,118.7,123.8,-0.2
ODFL,1989,1989-12-31,,50.6,0.04,7.4,,-4.1,0,1.9,1989-12-31,3.1,1.3,,114.4,102.4,107.1,-0.1
OMC,2019,2019-12-31,10972.2,220.9,6.06202,2122.3,3981.5,-132.1,1339.1,1433.9,2019-12-31,1938.3,504.4,,14953.7,1627.7,1859.199999999999,-51.9
OMC,2018,2018-12-31,11306.1,227.6,5.3594,2133.5,3984.1,-146.3,1326.4,1460.5,2018-12-31,1924.3,463.8,,15290.2,1765,1850.6000000000004,-62.9
OMC,2017,2017-12-31,11227.2,233.9,5.1009,2083.8,4046.4,-144.3,1088.4,1295,2017-12-31,1884.9,589.9,,15273.6,1680.5,1962.5999999999985,-54.6
OMC,2016,2016-12-31,11419,239.2,4.77467,2030.5,3997.9,-188.7,1148.6,1241.3,2016-12-31,1841.8,600.5,,15416.9,1674.5,1967.3999999999996,
OMC,2015,2015-12-31,11361.9,245.2,4.46126,1920.1,3772.5,-141.5,1093.9,1195,2015-12-31,1778.6,583.6,,15134.4,1852.4,1852.3999999999996,
OMC,2014,2014-12-31,11350,255,4.32,1944,3968,-134,1104,1217,2014-12-31,1810,593,,15318,2024,2024,
OMC,2013,2013-12-31,10724,260,3.81,1825,3860,-164,991,1096,2013-12-31,1661,565,,14585,1993,2035,
OMC,2012,2012-12-31,10381,270,3.54,1804,3839,-145,998,1133,2012-12-31,1660,527,,14219,1752,2034,
OMC,2011,2011-12-31,10251,283,3.8,1671,3622,-122,953,1043,2011-12-31,1549,506,,13873,1677,1950,
OMC,2010,2010-12-31,9214,304,2.7,1460,3328,-110,828,890,2010-12-31,1350,460,,12543,1615,1868,
OMC,2009,2009-12-31,8451,310,2.53,1375,3270,-101,793,841,2009-12-31,1274,434,,11721,1667,1895,
OMC,2008,2008-12-31,9560,315,3.18,1689,3800,-74,1000,1072,2008-12-31,1615,543,,13360,2110,2111,
OMC,2007,2007-12-31,9008,330,2.95,1659,3686,-74,976,1048,2007-12-31,1585,537,,12694,2027,2027,
OMC,2006,2006-12-31,8088,346,2.5,1484,3289,-92,864,925,2006-12-31,1392,467,,11377,1806,1805,
OMC,2005,2005-12-31,7413,364,2.18,1340,3068,-59,791,845,2005-12-31,1281,435,,10481,1728,1728,
OMC,2004,2004-12-31,6847,373,1.94,1215,2900,-37,724,783,2004-12-31,1179,396,,9747,1685,1685,
OMC,2003,2003-12-31,5839,377,1.79,1165,2782,-43,676,741,2003-12-31,1122,381,,8621,1618,1618,
OMC,2002,2002-12-31,4953,375,1.72,1104,2583,-30,643,698,2002-12-31,1074,376,,7536,1479,1479,
OMC,2001,2001-12-31,3950,381,1.35,968,2940,-73,503,543,2001-12-31,895,352,,6889,1972,1971,
OMC,2000,2000-12-31,3633,378,1.37,878,2521,34,499,542,2000-12-31,912,369,,6154,1643,1643,
OMC,1999,1999-12-31,3054,380,1,724,2077,-50,363,400,1999-12-31,674,273,,5131,1352,1352,
OMC,1998,1998-12-31,2416,352,0.84,560,1676,-40,285,304,1998-12-31,520,216,,4092,1116,1116,
OMC,1997,1997-12-31,1835,339,0.68,404,1290,-22,222,225,1997-12-31,381,156,,3125,886,886,
OMC,1996,1996-12-31,1556,323,0.56,327,1086,-21,176,182,1996-12-31,305,124,,2642,760,759,
OMC,1995,1995-12-31,1305,318,0.46,271,952,-28,140,145,1995-12-31,243,97,,2258,682,682,
OMC,1994,1994-12-31,1009,312,0.38,205,747,-23,80,107,1994-12-31,182,74,,1756,543,543,
OMC,1993,1993-12-31,880,301,0.33,169,637,-27,85,83,1993-12-31,143,60,,1516,467,467,
OMC,1992,1992-12-31,798,283,0.29,146,587,-24,69,69,1992-12-31,122,53,,1385,434,441,
OMC,1991,1991-12-31,722,275,0.25,135,514,-23,57,63,1991-12-31,112,49,,1236,379,379,
OMC,1990,1990-12-31,685,262,0.24,127,493,-25,52,56,1990-12-31,102,46,,1178,366,366,
OMC,1989,1989-12-31,577,248,0.21,103,431,-12,47,50,1989-12-31,90,41,,1007,328,328,
OMC,1988,1988-12-31,516,205,0.2,85,365,-7,39,42,1988-12-31,78,35,,881,281,281,
OMC,1987,1987-12-31,481,198,0.18,74,330,-3,35,36,1987-12-31,71,35,,811,256,256,
OMC,1986,1986-12-31,441,195,0.11,21,312,1,-4,-3,1986-12-31,22,25,,754,251,292,
