symbol,year,period,capex,cashDividendsPaid,cashInterestPaid,cashTaxesPaid,changeinCash,changesinWorkingCapital,deferredTaxesInvestmentTaxCredit,depreciationAmortization,foreignExchangeEffects,issuanceReductionCapitalStock,issuanceReductionDebtNet,netCashFinancingActivities,netIncomeStartingLine,netInvestingCashFlow,netOperatingCashFlow,otherFundsFinancingItems,otherFundsNonCashItems,otherInvestingCashFlowItemsTotal
MMM,2019,2019-12-31,-1699,-3316,370,1198,-500,692,-273,1593,-2,-860,3249,-1124,4582,-6444,7070,-197,476,-4745
MMM,2018,2018-12-31,-1577,-3193,328,1560,-200,-152,-57,1488,-160,-4385,933,-6701,5363,222,6439,-56,-203,1799
MMM,2017,2017-12-31,-1373,-2803,214,1604,655,616,107,1544,156,-1334,1603,-2655,4869,-3086,6240,-121,-896,-1713
MMM,2016,2016-12-31,-1420,-2678,194,1888,600,-43,7,1474,-33,-2949,1043,-4626,5058,-1403,6662,-42,166,17
MMM,2015,2015-12-31,-1461,-2561,134,2331,-99,-662,395,1435,-54,-4603,3482,-3648,4841,-2817,6420,34,411,-1356
MMM,2014,2014-12-31,-1493,-2216,178,1968,-684,77,-146,1408,-111,-4684,1010,-6603,4998,-596,6626,-713,289,897
MMM,2013,2013-12-31,-1665,-1730,169,1803,-302,-327,-167,1371,-17,-3603,-37,-5246,4721,-856,5817,124,219,809
MMM,2012,2012-12-31,-1484,-1635,166,1717,664,-197,33,1288,108,-1192,722,-2058,4511,-2686,5300,47,-335,-1202
MMM,2011,2011-12-31,-1379,-1555,219,1542,-1158,-659,177,1236,-49,-1799,-307,-3675,4357,-2718,5284,-14,173,-1339
MMM,2010,2010-12-31,-1091,-1500,201,1509,337,136,-170,1120,-27,-188,-472,-2121,4163,-2689,5174,39,-75,-1598
MMM,2009,2009-12-31,-903,-1431,236,834,1191,205,701,1157,-4,414,-1014,-2014,3244,-1732,4941,17,-366,-829
MMM,2008,2008-12-31,-1471,-1398,234,1778,-47,-33,118,1153,-415,-1342,1037,-1766,3460,-2399,4533,-63,-165,-928
MMM,2007,2007-12-31,-1422,-1380,162,1999,449,-85,11,1072,88,-2443,1222,-2547,4096,-1367,4275,54,-819,55
MMM,2006,2006-12-31,-1168,-1376,119,1842,375,104,-316,1079,57,-1828,1135,-2061,3851,-1460,3839,8,-879,-292
MMM,2005,2005-12-31,-943,-1286,79,1277,-1685,277,147,986,-23,-1832,-485,-3679,3199,-2241,4258,-76,-351,-1298
MMM,2004,2004-12-31,-937,-1125,70,1109,921,571,313,999,111,-1283,-111,-2534,2990,-938,4282,-15,-591,-1
MMM,2003,2003-12-31,-677,-1034,85,663,1218,1040,115,964,41,-130,-440,-1627,2403,-969,3773,-23,-749,-292
MMM,2002,2002-12-31,-763,-968,80,398,2,571,579,954,-42,-420,445,-1021,1974,-1927,2992,-78,-1086,-1164
MMM,2001,2001-12-31,-980,-948,137,520,314,558,1,1089,2,-860,109,-1716,1430,-1050,3078,-17,,-70
MMM,2000,2000-12-31,-1115,-918,104,852,-85,-667,89,1025,93,-389,236,-1131,1782,-1373,2326,-60,97,-258
MMM,1999,1999-12-31,-1039,-901,114,653,176,313,,900,-20,-435,-341,-1728,1763,-1114,3038,-51,62,-75
MMM,1998,1998-12-31,-1430,-887,130,467,-19,416,0,866,-83,-326,571,-738,1175,-1572,2374,-96,-83,-142
MMM,1997,1997-12-31,-1406,-876,91,1123,-353,-405,,870,57,-1338,477,-1759,2121,-357,1706,-22,-880,1049
MMM,1996,1996-12-31,-1109,-803,78,761,98,-83,,883,54,-264,82,-906,1526,-1261,2211,79,-115,-152
MMM,1995,1995-12-31,-1088,-790,104,793,188,-230,,859,37,-137,26,-901,976,-1208,2260,0,655,-120
MMM,1994,1994-12-31,-972,-744,72,865,23,-362,0,872,5,-551,555,-740,1322,-1171,1929,0,97,-199
MMM,1993,1993-12-31,-898,-721,42,754,-108,-190,0,852,21,-525,118,-1128,1263,-1092,2091,0,166,-194
MMM,1992,1992-12-31,-1318,-701,88,743,124,-21,-111,1087,-15,-70,-131,-902,1233,-1236,2277,0,89,82
MMM,1991,1991-12-31,-1326,-685,118,867,-36,-97,-117,969,-62,-101,35,-686,1154,-1197,1909,65,0,129
MMM,1990,1990-12-31,-1275,-647,86,801,-119,77,-69,849,-83,-281,113,-778,1308,-1423,2165,37,0,-148
MMM,1989,1989-12-31,-1137,-578,121,923,-81,-235,-60,761,-61,-160,53,-712,1244,-1018,1710,-27,0,119
MMM,1988,1988-12-31,-841,-481,76,829,90,-121,-52,675,51,-248,67,-713,1154,-904,1656,-51,,-63
MMM,1987,1987-12-31,-722,-425,90,736,31,-50,-96,609,77,-103,-157,-685,918,-742,1381,0,,-20
MMM,1986,1986-12-31,-704,-412,97,462,260,230,13,548,53,-70,-61,-643,779,-720,1570,-100,0,-16
AOS,2019,2019-12-31,-64.4,-149.2,,116.6,114.3,-5.4,,78.3,,-288.2,62.6,-375.8,370,33.9,456.2,-1,13.3,98.3
AOS,2018,2018-12-31,-85.2,-130.1,8.6,116.4,-86.9,-77.3,,71.9,,-201.7,-189,-523.1,444.2,-12.7,448.9,-2.3,10.1,72.5
AOS,2017,2017-12-31,-94.2,-96.9,10,131.1,16.2,-122.8,,70.1,,-140,86.5,-152.1,296.5,-158.1,326.4,-1.7,82.6,-63.9
AOS,2016,2016-12-31,-80.7,-84.2,7.2,117.4,6.8,53.7,,65.1,,-129.5,74.1,-139.6,326.5,-300.2,446.6,,1.3,-219.5
AOS,2015,2015-12-31,-72.7,-67.8,6.4,97.5,4.2,-1.9,,63,,-121.7,28.1,-161.4,282.9,-186.1,351.7,,7.7,-113.4
AOS,2014,2014-12-31,-86.1,-54.4,5.8,88.9,-61.3,-30.6,,59.8,,-99,34.2,-119.2,207.8,-206,263.9,,26.9,-119.9
AOS,2013,2013-12-31,-97.7,-42.6,5.9,70.2,113.8,24.7,,59.7,,-63.5,-51.5,-157.6,169.7,-8.2,279.6,,25.5,89.5
AOS,2012,2012-12-31,-69.9,-33.2,9.4,103,-196.5,-19.9,,54.6,,-1.5,-218.8,-253.5,158.7,-86.8,143.8,0,-49.6,-16.9
AOS,2011,2011-12-31,-53.5,-27.7,11.5,117.2,344.5,-78.4,,47,,-12.3,200.2,160.2,305.7,125.6,58.7,0,-215.6,179.1
AOS,2010,2010-12-31,-53.5,-24.7,10.5,12.3,42.6,-46.3,,40.8,,4,5,-15.7,111.5,-66.5,124.8,0,18.8,-13
AOS,2009,2009-12-31,-57,-21.4,11.9,5.6,41,113.8,,67.5,,7.7,-95.9,-109.6,89.6,-117,267.6,,-3.3,-60
AOS,2008,2008-12-31,-66.1,-22.3,19.2,15.7,-7.8,-41.6,,66.3,,2.1,-40.1,-60.3,81.9,-54.1,106.6,,0,12
