symbol,year,period,costOfGoodsSold,dilutedAverageSharesOutstanding,dilutedEPS,ebit,grossIncome,interestIncomeExpense,netIncome,netIncomeAfterTaxes,period,pretaxIncome,provisionforIncomeTaxes,researchDevelopment,revenue,sgaExpense,totalOperatingExpense,totalOtherIncomeExpenseNet
DPZ,2019,2019-12-29,2216.275,41.92306,9.60834,629.407,1402.499,-146.77,400.709,400.709,2019-12-29,482.637,81.928,,3618.774,773.092,773.0920000000001,
DPZ,2018,2018-12-30,2130.188,43.33128,8.27165,571.689,1302.679,-143.011,361.972,361.972,2018-12-30,428.678,66.706,,3432.867,730.99,730.9899999999998,
DPZ,2017,2017-12-31,1921.988,47.67783,5.88372,521.232,865.991,-121.079,277.905,277.905,2017-12-31,400.153,122.248,,2787.979,344.759,344.7589999999998,
DPZ,2016,2017-01-01,1704.937,49.92386,4.31088,454.042,767.691,-109.384,214.678,214.678,2017-01-01,344.658,129.98,,2472.628,313.649,313.6490000000001,
DPZ,2015,2016-01-03,1533.397,55.53296,3.4752,405.439,683.131,-99.224,192.789,192.789,2016-01-03,306.215,113.426,,2216.528,277.692,277.692,
DPZ,2014,2014-12-28,1399.067,56.93123,2.84363,345.361,594.766,-86.738,162.587,162.587,2014-12-28,258.623,96.036,,1993.833,249.405,249.40499999999997,
DPZ,2013,2013-12-29,1253.2,57.7,2.48,313.8,549,-88.7,143,143,2013-12-29,225.1,82.1,,1802.2,235.2,235.20000000000005,
DPZ,2012,2012-12-30,1177.1,59,1.91,282.3,501.3,-101.1,112.4,112.4,2012-12-30,181.2,68.8,,1678.4,219,219,0
DPZ,2011,2012-01-01,1181.7,61.7,1.71,259.1,470.5,-91.3,105.4,105.4,2012-01-01,167.8,62.4,,1652.2,211.4,211.29999999999995,0
DPZ,2010,2011-01-02,1132.3,60.8,1.43,227.7,438.6,-96.6,87.9,87.9,2011-01-02,138.9,51,,1570.9,210.9,210.9000000000001,7.8
DPZ,2009,2010-01-03,1017.1,57.8,0.92,189.5,387,-110.3,79.7,79.7,2010-01-03,135.5,55.8,,1404.1,197.5,197.39999999999998,56.3
DPZ,2008,2008-12-28,1061.9,58.3,0.75,195,363.3,-112.2,54,54,2008-12-28,82.9,28.9,,1425.1,168.2,168.19999999999982,0
DPZ,2007,2007-12-30,1084,63.8,1.03,193.9,378.9,-125.1,37.9,37.9,2007-12-30,55.6,17.7,,1462.9,184.9,185,-13.3
DPZ,2006,2006-12-31,1052.8,64.5,1.56,214.2,384.5,-53.8,106.2,106.2,2006-12-31,160.4,54.2,,1437.3,170.3,170.29999999999995,0
