symbol,period,numberAnalysts,revenueAvg,revenueHigh,revenueLow
MMC,2024-12-31,7,20305764972,21117995571,19696592023
MMC,2023-12-31,7,19381228381,20156477516,18799791530
MMC,2022-12-31,10,18776268429,19802475840,17247570000
MMC,2021-12-31,15,17893652768,18513935340,16558870000
MMC,2020-12-31,15,17105438643,17422620000,16091330000
MMC,2019-12-31,16,16986867886,17218620000,16024400000
MMC,2018-12-31,15,15204436942,15349980000,14435540000
MMC,2017-12-31,17,14111534403,14236140000,13426740000
MMC,2016-12-31,18,13530687783,13965840000,12859290000
MMC,2015-12-31,22,13062123812,14029080000,12364963450
MMC,2014-12-31,22,13194817837,13355676000,12522700000
MMC,2013-12-31,21,12477955462,12833640000,11825270000
MMC,2012-12-31,17,12135844120,12475620000,11511960000
MMC,2011-12-31,17,11753604589,11909520000,11146270000
MMC,2010-12-31,13,10848947604,11265900000,10124860000
MMC,2009-12-31,9,10500509949,10700820000,9891090000
MMC,2008-12-31,8,12112702597,12234900000,11374414000
MMC,2007-12-31,10,11455737726,11575174200,10822193000
MMC,2006-12-31,12,12095569254,12543960000,11421750000
MMC,2005-12-31,8,12402259330,12634740000,11687530000
MMC,2004-12-31,8,12356379452,12576600000,11641940000
MMC,2003-12-31,11,11663913099,11785080000,11047330000
MMC,2002-12-31,12,10539962999,10664100000,9964810000
MMC,2001-12-31,5,10251246249,10688580000,9561290000
MMC,2000-12-31,4,10411869999,10530480000,9888180000
MMC,1999-12-31,3,9246142500,9300360000,8827970000
MMC,1997-12-31,2,5506374999,5533500000,5262250000
MLM,2024-12-31,7,5358555651,5572897877,5197798981
MLM,2023-12-31,7,5091230288,5294879499,4938493379
MLM,2022-12-31,10,4909799757,5296860000,4532755680
MLM,2021-12-31,20,4557066662,5080620000,3870649200
MLM,2020-12-31,20,4434624411,4703220000,4144140700
MLM,2019-12-31,19,4491616184,4569396000,4260240000
MLM,2018-12-31,16,4096827894,4593774000,3800654000
MLM,2017-12-31,13,3802202403,4016862000,3581337000
MLM,2016-12-31,13,3634521023,3702600000,3446022000
MLM,2015-12-31,16,3393848760,3613860000,3184995000
MLM,2014-12-31,16,2735432653,2984520000,2581170000
MLM,2013-12-31,14,2189252261,2228700000,2061072490
MLM,2012-12-31,15,2039887673,2089674000,1908281000
MLM,2011-12-31,18,1807432829,1868290140,1521930000
MLM,2010-12-31,16,1757344376,1800708000,1485070000
MLM,2009-12-31,17,1726874847,1771332000,1477310000
MLM,2008-12-31,11,2170000299,2203200000,2057379700
MLM,2007-12-31,12,2212863009,2303802600,1924092000
MLM,2006-12-31,8,2272179000,2324988000,2144185000
MLM,2005-12-31,7,1952919123,2041428000,1699440000
MLM,2004-12-31,3,1588474999,1596300000,1518050000
MLM,2003-12-31,4,1626432620,1781827800,1483615000
MLM,2002-12-31,6,1623817299,1796934000,1435600000
MLM,2001-12-31,2,1508289999,1515720000,1441420000
MLM,2000-12-31,4,1377304249,1413720000,1288063000
MLM,1999-12-31,5,1302295749,1336506000,1218320000
MLM,1998-12-31,2,1045551499,1050702000,999197000
MLM,1997-12-31,2,895737499,900150000,856025000
MAS,2024-12-31,3,7755837671,8066071178,7523162541
MAS,2023-12-31,3,7530555988,7831778227,7304639308
MAS,2022-12-31,6,7421495269,7546759680,7010190000
MAS,2021-12-31,19,7241234365,7552080000,6690090000
MAS,2020-12-31,19,6996782973,7113480000,6618310000
MAS,2019-12-31,18,6815510073,6896730000,6492210000
MAS,2018-12-31,20,8456020023,8550660000,8034510000
MAS,2017-12-31,23,7730235899,7799940000,7326410000
MAS,2016-12-31,21,7461475571,7530762000,7099430000
MAS,2015-12-31,23,7244744865,7316460000,6886030000
MAS,2014-12-31,23,8684947619,8772000000,8238995700
MAS,2013-12-31,23,8294911326,8634300000,7874421200
MAS,2012-12-31,16,7772196039,7878480000,7358420000
MAS,2011-12-31,16,7694582369,7774440000,7316710000
MAS,2010-12-31,18,7761254817,7922442000,7303130000
MAS,2009-12-31,14,7845335011,7966047000,7459241800
MAS,2008-12-31,13,9879185058,10009209000,9378445000
MAS,2007-12-31,9,11965238687,12075780000,11373056000
MAS,2006-12-31,12,13001034240,13130460000,12362650000
MAS,2005-12-31,11,13046235956,13180746000,12288930000
MAS,2004-12-31,9,12227137868,12325782000,11602170000
MAS,2003-12-31,10,10979601226,11330160000,10299848000
MAS,2002-12-31,13,9487873204,9585756000,8995489000
MAS,2001-12-31,6,8394151499,8490480000,7955261000
MAS,2000-12-31,6,7417213999,7516380000,7024740000
MAS,1999-12-31,6,6115882499,6473430000,4753000000
MAS,1998-12-31,2,4393935000,4415580000,4199130000
MAS,1997-12-31,3,3836699999,3858660000,3663690000
MA,2024-12-31,26,29657143503,30843429243,28767429198
MA,2023-12-31,26,25281531630,26292792896,24523085682
MA,2022-12-31,31,21874769536,23215200000,19161380000
MA,2021-12-31,41,19016160979,20372460000,16662660000
MA,2020-12-31,41,15902118527,16671900000,14813710020
MA,2019-12-31,38,17124002364,17325720000,16243620000
MA,2018-12-31,42,15158946012,15356181600,14374430000
MA,2017-12-31,37,12634397199,12820380000,11855340000
MA,2016-12-31,35,10966974941,11115960000,10351952520
MA,2015-12-31,38,9844561003,10063320000,9339160000
MA,2014-12-31,38,9587803466,9744060000,9060770000
MA,2013-12-31,33,8488885306,8632260000,8030656190
MA,2012-12-31,35,7496733322,7593900000,7097975000
MA,2011-12-31,34,6810070739,6893160000,6447590000
MA,2010-12-31,34,5604774306,5699258160,5286500000
MA,2009-12-31,33,5174213133,5302980000,4876005700
