symbol,year,period,costOfGoodsSold,dilutedAverageSharesOutstanding,dilutedEPS,ebit,grossIncome,interestIncomeExpense,netIncome,netIncomeAfterTaxes,period,pretaxIncome,provisionforIncomeTaxes,researchDevelopment,revenue,sgaExpense,totalOperatingExpense,totalOtherIncomeExpenseNet
ABBV,2019,2019-12-31,7606,1484,5.75749,12983,25660,-1551,7882,7882,2019-12-31,8426,544,5407,33266,6942,12677,-3006
ABBV,2018,2018-12-31,7557,1546,6.27662,6383,25196,-1168,5687,5773,2018-12-31,5197,-576,5229,32753,7399,18813,-18
ABBV,2017,2017-12-31,7158,1603,3.94326,9592,21058,-1442,5309,5709,2017-12-31,7727,2018,4982,28216,6275,11466,-423
ABBV,2016,2016-12-31,5814,1631,3.77219,9384,19824,-1268,5953,5953,2016-12-31,7884,1931,4366,25638,5855,10440,-232
ABBV,2015,2015-12-31,4500,1637,3.32098,7537,18359,-879,5144,5144,2015-12-31,6645,1501,4101,22859,6387,10822,-13
ABBV,2014,2014-12-31,4426,1610,1.3205,3411,15534,-1069,1774,1774,2014-12-31,2369,595,3297,19960,7724,12123,27
ABBV,2013,2013-12-31,4581,1604,2.8,5664,14209,-333,4128,4128,2013-12-31,5332,1204,2840,18790,5352,8545,1
ABBV,2012,2012-12-31,4508,1577,3.68,5817,13872,-101,5275,5275,2012-12-31,5725,450,2582,18380,4989,8055,9
ABBV,2011,2011-12-31,4597,1581,2.75,3621,12847,30,3433,3433,2011-12-31,3669,235,2503,17444,5845,9226,18
ABBV,2010,2010-12-31,4287,1581,2.93,4717,11351,30,4178,4178,2010-12-31,4835,658,2369,15638,3805,6634,89
ABBV,2009,2009-12-31,4056,1581,3.06,4932,10158,-19,4637,4637,2009-12-31,5950,1314,1707,14214,3322,5226,1037
ACHC,2019,2019-12-31,,87.816,1.99144,323.082,,-187.094,108.923,110.122,2019-12-31,135.988,25.866,,3107.462,2163.453,2784.38,
ACHC,2018,2018-12-31,,87.288,0.93296,16.456,,-185.41,-175.75,-175.886,2018-12-31,-168.954,6.932,,3012.442,2086.369,2995.986,
ACHC,2017,2017-12-31,,87.06,2.28156,412.805,,-176.007,199.835,179.389,2017-12-31,236.798,57.409,,2836.316,1923.597,2423.511,
ACHC,2016,2016-12-31,,85.972,1.82086,213.757,,-180.802,6.143,4.176,2016-12-31,32.955,28.779,,2810.914,1918.113,2597.157,
ACHC,2015,2015-12-31,,68.391,2.1125,273.421,,-108.668,112.554,111.365,2015-12-31,164.753,53.388,,1794.492,1203.386,1521.071,
ACHC,2014,2014-12-31,,55.327,1.66714,159.113,,-32.959,83.04,83.232,2014-12-31,126.154,42.922,,1004.601,688.517,845.488,
ACHC,2013,2013-12-31,,50.3,1.07,106.5,,-37.3,42.6,43.3,2013-12-31,69.2,26,,713.4,492.8,606.9,
ACHC,2012,2012-12-31,,38.7,0.66,62.6,,-29.8,20.4,20.5,2012-12-31,32.8,12.3,,407.5,286,344.9,
ACHC,2011,2011-12-31,,18.8,-0.33,-29.3,,-9.2,-34.9,-33.2,2011-12-31,-38.5,-5.3,,216.5,179.8,245.8,
ACHC,2010,2010-12-31,,17.6,0.51,7.9,,-0.7,6.2,6.7,2010-12-31,7.2,0.5,,62.1,45.4,54.2,
ACHC,2009,2009-12-31,,17.6,0.16,3.6,,-0.8,2.9,2.8,2009-12-31,2.8,0.1,,49.4,38.1,45.8,
ACHC,2008,2008-12-31,,17.4,-0.09,-0.8,,-0.7,-1.7,-1.6,2008-12-31,-1.5,0,,31.5,24.7,32.4,
ACHC,2007,2007-12-31,,17.7,-0.32,-4.7,,-1,-10.9,-5.7,2007-12-31,-5.7,0,,24.5,20.9,29.2,
AMGN,2019,2019-12-31,4356,609,12.94308,9674,19006,-536,7842,7842,2019-12-31,9138,1296,4116,23362,5150,9332,
AMGN,2018,2018-12-31,4101,665,13.0087,10343,19646,-798,8394,8394,2018-12-31,9545,1151,3737,23747,5332,9303,
AMGN,2017,2017-12-31,4069,735,11.41218,9973,18780,-376,1979,8079,2017-12-31,9597,1518,3562,22849,4870,8807,
AMGN,2016,2016-12-31,4162,754,10.23467,9794,18829,-631,7722,7722,2016-12-31,9163,1441,3840,22991,5062,9035,
AMGN,2015,2015-12-31,4227,766,9.13215,8470,17435,-492,6939,6939,2015-12-31,7978,1039,4070,21662,4846,8965,
AMGN,2014,2014-12-31,4422,770,7.15,6191,15641,-606,5158,5158,2014-12-31,5585,427,4297,20063,4699,9450,77
