symbol,year,period,accountsPayable,accountsReceivables,accruedLiability,accumulatedDepreciation,cashEquivalents,cashShortTermInvestments,commonStock,currentAssets,currentLiabilities,currentPortionLongTermDebt,deferredIncomeTax,goodwill,intangiblesAssets,inventory,liabilitiesShareholdersEquity,longTermDebt,longTermInvestments,otherCurrentAssets,otherCurrentliabilities,otherEquity,otherLiabilities,otherLongTermAssets,otherReceivables,period,propertyPlantEquipment,retainedEarnings,sharesOutstanding,shortTermDebt,shortTermInvestments,tangibleBookValueperShare,totalAssets,totalDebt,totalEquity,totalLiabilities,totalLongTermDebt,totalReceivables,treasuryStock
ABBV,2019,2019-12-31,1452,5428,5423,-5226,39924,39924,18,49519,15585,3753,1130,15604,18649,1813,89115,62955,93,22,1829,-3596,17597,1944,0,2019-12-31,3306,4717,1478.91146,0,0,-28.68664,89115,66728,-8172,97287,62975,5428,-24504
ABBV,2018,2018-12-31,1546,5384,4726,-5513,7289,8061,18,16945,17239,1609,1067,15663,21233,1605,59352,35002,1420,132,1633,-2470,14490,1208,0,2018-12-31,2883,3368,1478.8244,3699,772,-30.66084,59352,40310,-8446,67798,35002,5384,-24108
ABBV,2017,2017-12-31,1474,5088,3832,-5268,9303,9789,18,21223,16641,6015,2490,15785,27559,1605,70786,30953,2090,23,1292,-2727,15605,1326,0,2017-12-31,2803,5459,1592.13103,400,486,-24.02252,70786,37368,5097,65689,30953,5088,-11923
ABBV,2016,2016-12-31,1407,4758,3531,-4922,5100,6423,18,16187,9781,25,6890,15416,28897,1444,66099,36440,1783,225,1066,-2632,8352,1212,0,2016-12-31,2604,4378,1592.51272,377,1323,-24.91471,66099,36842,4636,61463,36440,4758,-10852
ABBV,2015,2015-12-31,1597,4730,2987,-4769,8399,8407,17,16314,10894,2025,5276,13168,19709,1719,53050,29240,145,70,945,-2608,3695,1149,0,2015-12-31,2565,2248,1609.89294,406,8,-17.97138,53050,31671,3945,49105,29240,4730,-8839
ABBV,2014,2014-12-31,0,3735,0,-4620,8348,8374,16,16081,11393,4014,159,5862,1513,1124,27513,10538,92,1107,63,-2031,3681,1480,0,2014-12-31,2485,535,1591.38933,425,26,-3.53967,27513,14977,1742,25771,10538,3735,-972
ABBV,2013,2013-12-31,,3854,,-4611,9595,9895,16,17848,6879,18,,6277,1890,1150,29198,14292,118,783,73,-444,3535,767,949,2013-12-31,2298,1567,1587,413,300,-2.3157,29198,14723,4492,24706,14292,4803,-320
ABBV,2012,2012-12-31,,4298,,-4295,5901,7976,,15354,6776,22,,6130,2323,1091,27008,14630,119,1446,,3363,2239,835,0,2012-12-31,2247,,1577,1020,2075,-3.2276,27008,15672,3363,23645,14630,4298,
ABBV,2011,2011-12-31,417,3817,1972,-3804,27,653,,7354,5897,16,,6100,2910,872,19521,32,229,1469,,11906,1660,784,0,2011-12-31,2144,,1581,0,626,1.8482,19521,48,11932,7589,32,3817,
ABBV,2010,2010-12-31,357,3373,3404,-3744,10,11,,8218,3761,,0,6197,3691,836,21135,,137,3509,,15703,1670,533,0,2010-12-31,2358,,1581,0,1,3.6781,21135,0,15703,5432,0,3373,
