symbol,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraHighTTM,peExclExtraTTM,peExclLowTTM,peInclExtraTTM,peNormalizedAnnual
CVX,,46.70495,138.297,,14.07081,,56.66439
CMG,146.0132,105.8822,468.4179,156.7798,31.79988,156.7798,98.2598
CB,22.95565,14.08787,26.51456,27.19155,12.77858,27.19155,13.98927
CHD,29.58989,36.7446,30.92351,28.96302,24.11757,28.96302,36.38715
CI,11.76408,15.93684,21.02085,15.0156,11.878,15.0156,13.34344
CINF,15.7889,6.09225,234.7177,15.19632,8.68837,15.19632,6.07015
CTAS,37.81404,41.58321,38.94055,39.42316,21.91171,39.43699,40.28823
CSCO,17.52948,13.87271,22.48338,13.87577,11.57607,13.87577,13.35461
C,8.38311,5.35844,14.01982,8.41387,5.74154,8.43727,5.35078
CFG,11.41191,7.27772,18.08115,12.54789,6.44158,12.54789,7.27098
CTXS,28.97511,23.04641,45.14333,24.91252,21.50504,24.91252,16.32024
CME,27.81888,25.47363,37.41843,25.08396,12.27636,25.08396,25.47363
CMS,23.84521,28.22849,30.90432,25.14859,19.06695,24.1045,28.22849
KO,25.08651,23.91074,46.92306,25.64103,18.45545,25.64103,22.66216
CTSH,25.67659,22.19932,25.7378,27.07252,14.55134,27.07252,16.8138
CL,24.58055,30.19852,48.52888,26.50112,20.95044,26.50112,28.58963
CMCSA,20.47809,15.42905,20.70744,19.5615,13.45074,19.5615,14.94543
CMA,10.45262,5.89166,25.57046,12.73521,5.54231,12.73521,5.89166
CAG,18.70002,21.1062,137.5426,17.83371,16.12258,17.83371,15.66094
CXO,,,172.7757,,7.91752,,
COP,,4.70732,22.51304,,7.76027,,5.84546
ED,17.96041,19.56147,22.27977,19.96699,15.84867,19.96699,19.56147
STZ,32.46041,,656.0802,34.30501,9.70491,34.30501,133.4565
CPRT,31.04587,41.37484,32.98579,41.37625,16.31023,41.37625,41.37484
GLW,126.656,32.29854,255.6005,167.476,7.40641,167.476,23.08753
CTVA,42.70548,,,52.87157,,48.03653,80.46033
COST,38.50954,41.72471,38.64603,41.72999,26.0501,41.72999,37.02304
COTY,,,292.5068,,29.77982,,
CCI,103.7842,91.16548,146.7552,102.0374,60.00639,102.0374,87.2873
CSX,21.54042,20.32251,28.49071,23.57325,13.0786,23.57325,20.32251
CMI,19.56375,15.38897,19.65591,20.99093,9.66055,20.99093,14.64728
CVS,10.26931,11.87563,50.13725,9.5809,10.31093,9.5809,10.94649
DHI,9.91895,17.00108,17.21064,13.20348,6.71072,13.20348,16.98987
DHR,50.31027,72.70001,51.1186,57.85903,25.26772,48.58421,72.5533
DRI,,,25.27381,,19.20429,,39.43109
DVA,12.82962,20.93857,56.55984,14.61118,8.75865,14.39476,17.86738
DE,20.6657,24.75573,23.29479,29.12617,13.53368,28.68814,24.75573
DAL,,4.38073,11.46581,,5.29612,,4.38073
XRAY,,39.78422,126.5614,,23.94119,,30.8606
DVN,,,27.8335,,4.15268,,
DXCM,166.5616,302.8922,201.9648,137.3499,82.90128,137.3499,245.0422
FANG,,17.88616,65.13703,,11.66412,,4.39752
DLR,59.01204,62.67154,237.8759,59.85077,44.77068,59.85077,131.2273
DFS,17.71306,7.4685,17.71306,20.80625,5.33256,20.80625,7.4685
DISCA,10.63037,7.12387,30.25559,10.37712,6.69793,10.37712,6.37368
DISCK,,,,,,,
DISH,13.68489,10.19027,35.45783,11.72952,8.33574,11.72952,10.18757
DG,20.53645,33.36121,25.22794,24.05293,16.10342,24.05293,32.84506
DLTR,24.90861,27.44625,68.4702,25.5057,17.00361,25.5057,20.83552
D,121.7584,49.88509,121.7858,124.0661,18.78658,124.0661,22.79009
