symbol,year,period,accountsPayable,accountsReceivables,accruedLiability,accumulatedDepreciation,cashEquivalents,cashShortTermInvestments,commonStock,currentAssets,currentLiabilities,currentPortionLongTermDebt,deferredIncomeTax,goodwill,intangiblesAssets,inventory,liabilitiesShareholdersEquity,longTermDebt,longTermInvestments,otherCurrentAssets,otherCurrentliabilities,otherEquity,otherLiabilities,otherLongTermAssets,otherReceivables,period,propertyPlantEquipment,retainedEarnings,sharesOutstanding,shortTermDebt,shortTermInvestments,tangibleBookValueperShare,totalAssets,totalDebt,totalEquity,totalLiabilities,totalLongTermDebt,totalReceivables,treasuryStock
AEP,2019,2019-12-31,2085.8,1455.5,477.7,-151.5,246.8,449.5,3343.4,4077.8,10299.1,1656.3,7588.2,52.5,,1169.2,75892.3,25126.8,,734.3,3241,-93.3,12607.2,10666.5,27.200000000000045,2019-12-31,1260.5,9900.9,494.16947,2838.3,202.7,39.70824,75892.3,29870.6,19675.1,56217.2,25376,1482.7,
AEP,2018,2018-12-31,1874.3,1662,231.7,,234.1,393.2,3337.4,4113.9,8648.8,1698.5,7086.5,52.5,,921.1,68802.8,21648.2,,873.6,2934.3,-81,12251.1,9537.3,55.200000000000045,2018-12-31,,9325.3,493.24588,1910,159.1,38.55136,68802.8,25256.7,19067.8,49735,21648.2,1717.2,
AEP,2017,2017-12-31,2065.3,1559.6,234.5,,214.6,376.3,3329.4,4253.1,8271.3,1753.7,6813.9,52.5,,953.2,64729.1,19419.6,,952.4,2579.2,-67.8,11898.8,10162,101.20000000000005,2017-12-31,,8626.7,492.0056,1638.6,161.7,37.08576,64729.1,22811.9,18298.9,46430.2,19419.6,1660.8,
AEP,2016,2016-12-31,1688.5,1639.9,227.2,,210.5,542.2,3328.3,6033.9,9498,2878,11884.4,52.5,,967.3,63467.7,17378.4,,2440.9,2991.3,-164.7,7286.8,11742,118.09999999999991,2016-12-31,,7892.4,491.71193,1713,331.7,35.2737,63467.7,21969.4,17397,46070.7,17378.4,1758,
AEP,2015,2015-12-31,1418,1527.2,226.9,,176.4,563.2,3324,4072.4,7108.5,1831.8,11733.2,52.5,,1339.4,61683.1,17740.9,,388.1,2831.8,-134.2,7195.6,11425,82.09999999999991,2015-12-31,,8398.3,491.05258,800,386.8,36.32849,61683.1,20372.7,17891.7,43791.4,17740.9,1609.3,
AEP,2014,2014-12-31,1258.2,1603.8,238.3,,162.5,548.1,3313.3,4478.1,7966.6,2500.4,10892.2,52.5,,1316.6,59544.6,16012,,649.1,2623.7,-110.8,7849.3,11378.9,85.29999999999995,2014-12-31,,7406.6,489.40257,1346,385.6,34.26157,59544.6,19858.4,16820.2,42724.4,16012,1689.1,
AEP,2013,2013-12-31,1266,1631,245,,118,471,3303,4310,6112,1549,10300,91,,1423,56414,16828,,467,2295,-122,7088,11016,72,2013-12-31,,6766,488,757,353,32.7746,56414,19134,16085,40329,16828,1703,
AEP,2012,2012-12-31,1169,1505,269,,279,603,3289,4589,6823,2171,12796,91,24,1519,54367,15586,,550,2233,-337,3925,10900,171,2012-12-31,,6236,486,981,324,31.1152,54367,18738,15237,39130,15586,1676,
AEP,2011,2011-12-31,1095,1578,279,,221,515,3274,4182,6611,1433,11422,76,0,1292,52223,15083,,431,2154,-470,4442,10994,201,2011-12-31,,5890,483,1650,294,30.2029,52223,18166,14664,37559,15083,1779,
AEP,2010,2010-12-31,1061,1591,281,,294,710,3257,5016,6518,1309,10530,76,1,1448,50455,15502,,596,2521,-381,4223,9688,526,2010-12-31,,4842,481,1346,416,28.1601,50455,18157,13682,36773,15502,2117,
AEP,2009,2009-12-31,1158,455,287,,490,853,3239,4756,5327,1741,9329,76,10,1661,48348,15757,,937,2015,-374,4734,9162,639,2009-12-31,,4451,478,126,363,27.3096,48348,17624,13201,35147,15757,1094,
AEP,2008,2008-12-31,1297,527,270,,411,738,2771,3775,6297,447,7917,76,,1173,45155,15536,,1075,2307,-452,4651,8317,90,2008-12-31,,3847,406,1976,327,26.1502,45155,17959,10754,34401,15536,617,
AEP,2007,2007-12-31,1324,678,235,,178,543,2743,3052,5207,792,7682,76,,967,40366,14202,,723,2196,-154,3135,7368,60,2007-12-31,,3138,400,660,365,25.0075,40366,15654,10140,30226,14202,738,
AEP,2006,2006-12-31,1360,646,186,,301,726,2718,3588,5456,1269,7600,76,,913,37987,12429,,1259,2623,-223,3029,7542,44,2006-12-31,,2696,397,18,425,23.5164,37987,13716,9473,28514,12429,690,
AEP,2005,2005-12-31,1144,795,183,,401,528,2699,3945,5460,1153,7557,76,,726,36172,11073,97,1845,2970,-27,2933,7770,51,2005-12-31,,2285,394,10,127,22.8731,36172,12236,9149,27023,11073,846,
AEP,2004,2004-12-31,1051,853,180,,420,595,2632,4021,5007,1345,7359,76,,852,34663,11008,154,1642,2408,-344,2713,7611,79,2004-12-31,,2024,396,23,175,21.3106,34663,12376,8576,26087,11008,932,
AEP,2003,2003-12-31,1337,1031,207,,1182,1182,2626,4897,5982,1779,6216,78,,991,36744,12398,212,1610,2333,-426,4213,9528,83,2003-12-31,,1490,395,326,,19.7367,36744,14503,7935,28809,12398,1114,
AEP,2002,2002-12-31,2042,347,1804,,1213,1213,2261,6101,9790,1633,4371,396,824,1166,34741,8863,283,1981,1147,-609,3428,5453,1394,2002-12-31,,1999,339,3164,,17.2389,34741,13660,7530,27211,8863,1741,
AEP,2001,2001-12-31,2245,517,2088,,333,333,2153,12563,18099,2300,5314,1494,2370,,47281,9753,677,10348,8311,-126,4659,5634,1365,2001-12-31,,3296,322,3155,,13.5559,47281,15208,8706,38575,9753,1882,
AEP,2000,2000-12-31,2627,816,2154,,437,437,2152,22031,27067,1152,5403,1382,1620,,54548,9602,782,17895,16801,-103,3925,6340,2883,2000-12-31,,3090,322,4333,,15.6894,54548,15087,8549,45999,9602,3699,
AEP,1999,1999-12-31,699,787,503,,333,333,1320,3216,4670,1202,3071,,,618,21488,6336,,1001,1378,14,2241,5217,369,1999-12-31,,1740,194,888,,25.8041,21488,8426,5170,16318,6336,1156,
AEP,1998,1998-12-31,618,732,537,,173,173,1305,2218,2802,288,2952,,,496,19483,6800,,372,742,,1914,2179,361,1998-12-31,2515,1684,192,617,,25.2188,19483,7704,5015,14468,6800,1093,
AEP,1997,1997-12-31,353,742,399,,91,91,1293,1518,2086,396,2937,,,489,16615,5129,,0,383,,1611,2106,115,1997-12-31,1359,1605,190,555,,24.6158,16615,6080,4852,11764,5129,857,
AEP,1996,1996-12-31,206,590,379,,58,58,1282,1355,1496,176,3047,,,487,15886,4797,,0,414,,1400,2218,116,1996-12-31,893,1548,188,320,,24.1755,15886,5293,5146,10740,4797,706,
AEP,1995,1995-12-31,220,626,806,,80,80,1272,1402,1625,234,,,,523,15902,4920,,0,,,4354,2290,74,1995-12-31,826,1410,187,365,,23.2086,15902,5520,5003,10899,4920,700,
AEP,1994,1994-12-31,251,514,497,,63,63,1263,1281,1835,387,2930,,,523,15713,4687,,,383,,1209,2348,86,1994-12-31,735,1326,185,317,,22.8649,15713,5391,5053,10660,4687,600,
AEP,1993,1993-12-31,259,634,839,,43,43,1258,1297,1471,93,,,,522,15341,4964,,0,,,3985,2220,0,1993-12-31,724,1269,185,279,,22.4432,15341,5336,4921,10420,4964,634,
AEP,1992,1992-12-31,212,636,800,,129,129,1258,1561,1450,185,,,,678,14215,5126,,16,,,2628,727,0,1992-12-31,699,1359,185,253,,22.9514,14215,5564,5011,9204,5126,636,
AEP,1991,1991-12-31,225,515,692,,89,89,1258,1487,1633,304,,,,763,14125,4793,,39,,,2805,871,0,1991-12-31,572,1334,185,412,,22.8216,14125,5509,4895,9230,4793,515,
AEP,1990,1990-12-31,267,492,657,,69,69,1258,1401,1359,216,,,,675,13989,4785,,84,,,2998,1002,0,1990-12-31,522,1279,185,220,,22.5243,13989,5221,4847,9142,4785,492,
AEP,1989,1989-12-31,260,667,1050,,1105,1105,1258,2371,2172,729,,,,444,14746,4516,,79,,,2963,1026,0,1989-12-31,505,1232,194,133,,22.6495,14746,5378,5095,9651,4516,667,
AEP,1988,1988-12-31,240,528,636,,230,230,1258,1400,1427,462,,,,476,14262,5422,,92,,,2441,668,0,1988-12-31,492,1062,194,89,,21.7835,14262,5974,4972,9291,5422,528,
AEP,1987,1987-12-31,210,547,703,,115,115,1258,1519,1262,204,,,,660,14011,5580,,127,,,2342,692,0,1987-12-31,491,888,194,145,,20.8866,14011,5929,4828,9183,5580,547,
AEP,1986,1986-12-31,203,572,731,,34,34,1258,1496,1140,121,,,,549,13592,5460,,254,,,2072,762,0,1986-12-31,452,843,194,85,,20.6598,13592,5666,4919,8672,5460,572,
