symbol,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraHighTTM,peExclExtraTTM,peExclLowTTM,peInclExtraTTM,peNormalizedAnnual
AEP,21.11183,24.12978,71.09325,24.22083,16.20831,24.22083,22.91704
AWK,36.50064,44.90898,36.50064,43.71225,21.08858,43.71225,42.94973
T,18.72701,14.20933,26.15945,17.72289,10.29827,17.72289,12.06818
CHL,,,,,,,
CHA,,,,,,,
CHU,,,,,,,
D,125.3474,49.74635,125.3764,127.3688,18.78658,127.3688,22.72671
FE,38.59436,20.05396,38.84721,33.35771,7.03834,27.13693,12.48627
GOGO,,,,,,,
GTT,,,206.6116,,23.82149,,
HNP,,,,,,,
MSEX,31.56732,34.30456,33.03448,32.61579,20.34633,32.61579,34.30456
NFG,52.8212,11.87146,53.54634,53.16323,13.37915,53.16323,11.87146
PCG,,,84.06417,,12.84045,,3204.473
SRE,16.21777,22.3126,192.8962,19.33781,16.65692,9.34159,22.53054
SJW,68.06277,77.59774,87.14955,70.35946,16.0255,70.57821,51.84198
SO,16.87068,13.39131,92.67502,19.74668,13.1021,19.74668,21.04649
YORW,38.82301,40.68495,41.60721,36.58695,21.54152,36.58695,36.10319
UGI,14.26386,24.8975,34.34564,15.89716,14.35348,15.89716,22.76606
VZ,13.44911,12.33082,16.61386,12.97676,10.57964,12.97676,10.39562
VOD,,,,,,,
