symbol,period,numberAnalysts,revenueAvg,revenueHigh,revenueLow
TSN,2024-09-30,5,48368834141,50303587507,46917769117
TSN,2023-09-30,5,46920478191,48797297319,45512863845
TSN,2022-09-30,8,46198224176,48715200000,43277520000
TSN,2021-09-30,15,44937530861,47388384000,40463350180
TSN,2020-09-30,15,43473252956,44121426000,40791613700
TSN,2019-09-30,14,43190363625,44169060000,40796260000
TSN,2018-09-30,15,40922071751,41582340000,38853350000
TSN,2017-09-30,15,38604494846,39048558000,36670850000
TSN,2016-09-30,12,37674126956,38354193000,35739650000
TSN,2015-09-30,11,41871268793,42493200000,39747205000
TSN,2014-09-30,12,38150957716,38760000000,35885038450
TSN,2013-09-30,13,34945778070,35288940000,33235362200
TSN,2012-09-30,15,33849756273,34449480000,32116409000
TSN,2011-09-30,19,32552543572,32871540000,30920690000
TSN,2010-09-30,17,29083534122,29811111600,27045540000
TSN,2009-09-30,12,26749660641,27679230000,24983708000
TSN,2008-09-30,11,27697666317,28199940000,25963020000
TSN,2007-09-30,11,27150969352,27480840000,25648740000
TSN,2006-09-30,10,25967875486,26207574000,24695544280
TSN,2005-09-30,9,26933984682,27404850000,25480930000
TSN,2004-09-30,8,26322328498,26867820000,24711720000
TSN,2003-09-30,5,24594921749,24929310000,23312980000
TSN,2002-09-30,3,24577615999,25147794000,23060877000
TSN,2001-09-30,4,7430002999,7542900000,7022800000
TSN,2000-09-30,3,7235427499,7317480000,6870510000
TSN,1999-09-30,3,8019514999,8160000000,7567940000
TSN,1998-09-30,4,7269091670,7572480000,6461170000
TSN,1997-09-30,3,6499552499,6563700000,6180840000
TSN,1996-09-30,5,6630462124,6732000000,6279392000
HSY,2024-12-31,7,8770875295,9121710307,8507749036
HSY,2023-12-31,7,8560965586,8903404210,8304136619
HSY,2022-12-31,10,8481420753,8678045760,7984070000
HSY,2021-12-31,16,8298259506,8483318580,7781340000
HSY,2020-12-31,16,8080360118,8230380000,7630990000
HSY,2019-12-31,16,8100223019,8161020000,7719260000
HSY,2018-12-31,16,7922919348,7982520000,7536424700
HSY,2017-12-31,18,7647837519,7712220000,7272672000
HSY,2016-12-31,17,7568985366,7646940000,7198534900
HSY,2015-12-31,17,7565147265,7660200000,7199340000
HSY,2014-12-31,15,7593660513,7659180000,7216218000
HSY,2013-12-31,16,7194106312,7251535980,6836269000
HSY,2012-12-31,17,6695424895,6766680000,6369990000
HSY,2011-12-31,15,6149624581,6216175800,5818846776
HSY,2010-12-31,13,5752733404,5793600000,5482246000
HSY,2009-12-31,8,5389179760,5471280000,5128390000
HSY,2008-12-31,12,5207002039,5268014400,4937300000
HSY,2007-12-31,13,5001098438,5123460000,4742621000
HSY,2006-12-31,17,5037102001,5078580000,4795971000
HSY,2005-12-31,15,4934544442,4982700000,4688476570
HSY,2004-12-31,13,4462726625,4499220000,4250346000
HSY,2003-12-31,10,4255317576,4287060000,4058771000
HSY,2002-12-31,9,4175189812,4223820000,3973120000
HSY,2001-12-31,5,4694755625,4814400000,4442600000
HSY,2000-12-31,3,4286852499,4331940000,4074000000
HSY,1999-12-31,5,4276956249,4787880000,3880000000
HSY,1998-12-31,2,4545170000,4567560000,4343660000
HSY,1997-12-31,2,4411190000,4432920000,4215620000
GIS,2025-06-30,7,18233945569,18963303391,17686927201
GIS,2024-06-30,7,17961015305,18679455917,17422184846
GIS,2023-06-30,10,17957552884,18378054000,16399770600
GIS,2022-06-30,18,17581090420,18047880000,16169900000
GIS,2021-06-30,18,17424643466,17810425193,16389120000
GIS,2020-06-30,17,17844399781,18121320000,16675270000
GIS,2019-06-30,17,17193376183,17360382660,16364870000
GIS,2018-06-30,19,15980023157,16109880000,15199900000
GIS,2017-06-30,20,15796690741,16034400000,14994260000
GIS,2016-06-30,19,16773743332,17179860000,15833910430
GIS,2015-06-30,18,18126300999,18301044000,17224290000
GIS,2014-06-30,17,18347054892,18573180000,17386280000
GIS,2013-06-30,19,17951198365,18205082400,17078694940
GIS,2012-06-30,19,16933911672,17256360000,15991711000
GIS,2011-06-30,19,15156512935,15509100000,14320110000
GIS,2010-06-30,15,14999586922,15176580000,14186250000
GIS,2009-06-30,14,14958712638,15228600000,14048568200
GIS,2008-06-30,14,13768989138,13974209100,13051641000
GIS,2007-06-30,17,12553387775,12688800000,11954823200
GIS,2006-06-30,19,11767375937,11926452000,11162023770
GIS,2005-06-30,14,11378036401,11531100000,10790280000
GIS,2004-06-30,13,11166404932,11323968600,10579790000
GIS,2003-06-30,10,10569129593,10714182000,9886240000
GIS,2002-06-30,9,10773387624,14182896000,9208792000
GIS,2001-06-30,3,8321325249,9486000000,6883799000
GIS,2000-06-30,4,6661106670,6834000000,6272990000
GIS,1999-06-30,4,6275575829,6354600000,5920395000
GIS,1998-06-30,3,6323196249,6477000000,5926215000
GIS,1997-06-30,2,5594679999,5622240000,5346640000
GIS,1996-06-30,2,5365289999,5391720000,5127420000
KO,2024-12-31,9,45398716137,47214664782,44036754652
KO,2023-12-31,9,41848451582,43522389646,40592998035
KO,2022-12-31,14,39154461725,41272817940,36640780000
KO,2021-12-31,21,36729805537,39080855280,33656953300
KO,2020-12-31,21,33280026867,34264399980,31169980000
KO,2019-12-31,24,37647783007,38148000000,35666900000
KO,2018-12-31,25,32353092316,32751180000,30724750000
KO,2017-12-31,28,35727484684,36533340000,33136170000
KO,2016-12-31,25,42293355914,44458294260,39242320000
KO,2015-12-31,27,45024569811,46720253400,42600460000
KO,2014-12-31,25,46601873457,47424900000,43852730000
KO,2013-12-31,23,47945141235,48684600000,45593987670
KO,2012-12-31,20,48851758550,49262940000,46416905600
KO,2011-12-31,18,47199296418,47896140000,44875110000
KO,2010-12-31,19,35102535563,36839758200,31529850000
KO,2009-12-31,13,31236619214,31858068000,29289150000
KO,2008-12-31,13,32652832575,33474360000,29570256000
KO,2007-12-31,14,28831599572,29468820000,27159030000
KO,2006-12-31,14,24272247342,24528960000,22984382800
KO,2005-12-31,15,23364060096,23705616000,22221730000
KO,2004-12-31,17,22180112777,22484880000,20813290000
KO,2003-12-31,16,21175079905,21525060000,19807400000
KO,2002-12-31,14,19762027446,20522400000,18430000000
KO,2001-12-31,8,20410411699,20733540000,19303000000
KO,2000-12-31,7,21136359999,21573000000,20014980000
KO,1999-12-31,7,20045742499,20400000000,18895600000
KO,1998-12-31,7,19849847499,21097680000,18233090000
KO,1997-12-31,5,19009935000,19224960000,18051700000
JNJ,2024-12-31,12,105374717242,109589705931,102213475725
JNJ,2023-12-31,12,98541472822,102483131735,95585228637
JNJ,2022-12-31,15,93533614626,96396726900,86189165700
JNJ,2021-12-31,19,88809293493,91610178000,83011242000
JNJ,2020-12-31,19,81814826282,82889280000,77335733200
JNJ,2019-12-31,19,83348527416,84068971200,78937630000
JNJ,2018-12-31,19,82614258369,83287080000,78719380000
JNJ,2017-12-31,23,77467686954,78075900000,73841250000
JNJ,2016-12-31,23,73111274870,73884720000,69384100000
JNJ,2015-12-31,22,71174011979,71988540000,67722084540
JNJ,2014-12-31,22,75836505971,77465940000,72079730000
JNJ,2013-12-31,21,71989646958,72715800000,68467450000
JNJ,2012-12-31,23,68320235705,68996880000,65095730000
JNJ,2011-12-31,23,66056402401,66618240000,62862365140
JNJ,2010-12-31,22,62934113135,63687555600,59573316300
JNJ,2009-12-31,17,61961388098,62778960000,58728650000
JNJ,2008-12-31,13,65433264131,66013380000,62175478070
JNJ,2007-12-31,18,61460577455,62038338000,58076810000
JNJ,2006-12-31,19,54128216491,54699540000,51543860000
JNJ,2005-12-31,21,51878141390,52464006000,49379790000
JNJ,2004-12-31,16,47372959670,47899200000,44935250000
JNJ,2003-12-31,17,42106084912,42587040000,40018320000
JNJ,2002-12-31,15,36598913502,36938280000,34866650000
JNJ,2001-12-31,13,33082918454,34025160000,30555000000
JNJ,2000-12-31,8,29597110004,30487800000,26580910000
JNJ,1999-12-31,10,27429811106,28397820000,24622480000
JNJ,1998-12-31,6,24107264999,25704000000,22450650000
JNJ,1997-12-31,7,23602302499,25122600000,21959830000
