symbol,year,period,accountsPayable,accountsReceivables,accruedLiability,accumulatedDepreciation,cashEquivalents,cashShortTermInvestments,commonStock,currentAssets,currentLiabilities,currentPortionLongTermDebt,deferredIncomeTax,goodwill,intangiblesAssets,inventory,liabilitiesShareholdersEquity,longTermDebt,longTermInvestments,otherCurrentAssets,otherCurrentliabilities,otherEquity,otherLiabilities,otherLongTermAssets,otherReceivables,period,propertyPlantEquipment,retainedEarnings,sharesOutstanding,shortTermDebt,shortTermInvestments,tangibleBookValueperShare,totalAssets,totalDebt,totalEquity,totalLiabilities,totalLongTermDebt,totalReceivables,treasuryStock
ANET,2019,2019-12-31,92.105,417.552,156.301,-97.376,1111.286,2724.368,0.008,3471.636,597.074,,254.71,54.855,45.235,257.541,4185.29,,4.15,38.899,348.668,0.143,438.82,482.371,0,2019-12-31,127.043,1788.23,76.389,0,1613.082,36.58375,4185.29,0,2894.686,1290.604,0,417.552,
ANET,2018,2018-12-31,93.757,338.118,123.254,-90.012,649.95,1956.147,0.008,2714.802,606.504,,,53.684,58.61,279.196,3081.983,,30.336,89.389,389.493,-3.994,296.659,149.196,0,2018-12-31,75.355,1190.803,75.668,0,1306.197,26.84219,3081.983,35.431,2143.389,938.594,35.431,338.118,
ANET,2017,2017-12-31,52.2,247.346,133.827,-69.02,859.192,1535.555,0.007,2266.429,529.905,,,,,340.339,2460.86,,36.136,96.215,343.878,-1.938,231.368,84.016,0,2017-12-31,74.279,859.114,73.706,0,676.363,22.54788,2460.86,37.673,1661.914,798.946,37.673,247.346,
ANET,2016,2016-12-31,79.457,253.119,90.951,-49.132,567.923,867.833,0.007,1526.126,459.553,,,,,296.805,1729.007,,36.136,79.14,289.145,-1.475,122.041,89.784,0,2016-12-31,76.961,435.105,70.811,0,299.91,15.64474,1729.007,39.593,1107.82,621.187,39.593,253.119,
ANET,2015,2015-12-31,43.966,144.263,64.318,-30.339,687.326,687.326,0.007,974.328,235.011,1.336,,,,92.129,1159.89,,36.636,29.27,125.391,-0.675,95.517,69.22,0,2015-12-31,79.706,250.916,68.132,0,0,11.56802,1159.89,42.546,788.152,371.738,41.21,144.263,
ANET,2014,2014-12-31,32.4,97,43.5,-17,240,449.5,0,679.5,144.4,1.1,,,,80.5,811,,36.6,22.1,67.4,-0.3,68.4,23.4,0,2014-12-31,71.6,129.8,65.5,0,209.4,8.484,811,43.6,555.7,255.4,42.5,97,
ANET,2013,2013-12-31,20.1,78,40.3,-7.2,113.7,113.7,0,282.8,209.3,0.8,,,,67.1,364.5,,0,17.5,49.3,0,34.3,14.6,4,2013-12-31,67.2,43,31.9,98.8,0,2.2476,364.5,142.8,77.7,286.8,43.2,82,
ANET,2012,2012-12-31,11,49.9,12.1,-4.9,,88.7,0,176.1,46.4,,,,,22.6,219.1,97.7,,6.3,23.2,0,32,8.5,1,2012-12-31,30.5,-0.5,63.9,0,,0.1862,219.1,122.9,17.9,201.3,122.9,50.9,
ANET,2011,2011-12-31,6.3,28.2,5.6,-3.1,,70.7,0,121,22.7,,,,,17,127.6,96.6,,3,10.8,0,16.5,3.8,0,2011-12-31,2.9,-20.8,63.9,0,,-0.2222,127.6,96.6,-8.2,135.8,96.6,28.2,
AJG,2019,2019-12-31,6348.5,,1321,-591.9,604.8,604.8,188.1,9117.5,8921,620,,5618.5,2318.7,,19634.8,3816.1,,2117.4,460.9,-759.6,1682.2,1719.2,,2019-12-31,860.9,1901.3,188.1,170.6,,-14.78841,19634.8,4606.7,5155.5,14479.3,3816.1,6279.8,
AJG,2018,2018-12-31,5740.2,,1037.2,-504.8,607.2,607.2,184,8118.7,7693.6,365,,4625.6,1773,,16334,3091.4,,1721.2,397.2,-785.6,979.3,1379.8,,2018-12-31,436.9,1558.6,184,154,,-10.32446,16334,3610.4,4498.9,11835.1,3091.4,5682.1,
AJG,2017,2017-12-31,4986,,947.8,,681.2,681.2,181,7269.4,6730.2,290,,4164.8,1644.6,,14909.7,2691.9,,1707.1,355.3,-555.4,1187.9,1418.7,,2017-12-31,412.2,1221.8,181,151.1,,-8.69503,14909.7,3133,4235.6,10674.1,2691.9,4789.6,
AJG,2016,2016-12-31,2996.1,,772.1,-411.5,545.5,545.5,178.3,4416.1,4611.7,578,,3767.8,1627.3,,11489.6,2144.6,,1392.1,139.9,-763.6,1077.5,1300.8,,2016-12-31,377.6,916.4,178.3,125.6,,-10.08693,11489.6,2848.2,3596.6,7893,2144.6,2400.1,
AJG,2015,2015-12-31,2877.1,,812.7,,480.4,480.4,176.9,4213.7,4187.1,245,,3662.9,1698.8,,10910.5,2071.7,,1412.1,115.3,-522.5,963.5,1132.4,,2015-12-31,202.7,774.5,176.9,137,,-9.74223,10910.5,2453.7,3638.3,7272.2,2071.7,2243.4,
AJG,2014,2014-12-31,2623,,624,-353,314,314,165,3811,3643,268,,3450,1776,,10010,2125,,2034,128,-261,1013,801,,2014-12-31,172,676,165,0,,-12.097,10010,2393,3229,6781,2125,1463,
AJG,2013,2013-12-31,2155,1289,371,-285,298,298,134,2876,3285,631,,2145,1079,,6861,825,,1289,129,-4,665,617,0,2013-12-31,144,596,134,0,,-8.5,6861,1456,2086,4775,825,1289,
AJG,2012,2012-12-31,1820,1096,307,-258,302,302,126,2430,2363,129,,1473,810,,5352,725,,1031,108,-32,606,550,0,2012-12-31,90,510,126,0,,-4.9524,5352,854,1659,3694,725,1096,
AJG,2011,2011-12-31,1622,1027,304,-245,291,291,115,2199,2074,10,,1155,562,,4484,675,,881,138,-45,491,488,0,2011-12-31,80,483,115,0,,-4.113,4484,685,1244,3240,675,1027,
AJG,2010,2010-12-31,1250,750,227,-202,250,250,108,1726,1577,0,,884,484,,3596,550,,726,101,2,362,438,0,2010-12-31,65,488,108,0,,-2.4167,3596,550,1107,2489,550,750,
AJG,2009,2009-12-31,1167,694,215,-179,206,206,103,1540,1474,0,,742,438,,3250,550,,640,93,-10,333,416,0,2009-12-31,69,450,103,0,0,-2.7961,3250,550,893,2357,550,694,
AJG,2008,2008-12-31,1365,827,260,-156,194,195,96,1702,1859,132,,596,461,,3271,400,,681,101,-40,274,494,0,2008-12-31,0,452,96,0,0,-3.3229,3271,532,739,2533,400,827,
AJG,2007,2007-12-31,1874,1304,281,-171,256,263,92,2276,2232,0,,441,316,,3557,400,,709,77,7,209,411,0,2007-12-31,88,496,92,0,8,-0.4457,3557,400,716,2841,400,1304,
AJG,2006,2006-12-31,1959,1422,316,-182,208,257,98,2376,2401,9,,317,213,,3420,26,,697,117,5,129,379,0,2006-12-31,103,475,98,0,49,3.4082,3420,35,864,2556,26,1422,
AJG,2005,2005-12-31,1917,1397,378,-179,318,361,96,2402,2386,5,,246,173,,3390,108,,644,85,-26,127,316,0,2005-12-31,185,464,96,0,43,3.6562,3390,113,769,2620,108,1397,
AJG,2004,2004-12-31,1839,1356,253,-158,225,251,92,2228,2212,41,,219,155,,3238,140,,622,78,-17,125,245,0,2004-12-31,259,539,92,0,26,4.2065,3238,181,761,2477,140,1356,
AJG,2003,2003-12-31,1744,1286,219,-142,194,226,90,2108,2061,31,,138,85,,2902,122,,596,68,-19,99,184,0,2003-12-31,266,442,90,0,32,4.4,2902,153,619,2283,122,1286,
AJG,2002,2002-12-31,1488,1184,58,-116,153,223,89,1774,1750,6,,84,51,,2464,128,0,367,48,-14,57,135,0,2002-12-31,251,361,89,42,71,4.4157,2464,176,528,1935,128,1184,
AJG,2001,2001-12-31,806,555,56,-92,97,150,85,1024,1067,,,,65,,1472,,18,319,95,-6,34,313,0,2001-12-31,51,284,85,0,53,3.6,1472,0,372,1100,0,555,
AJG,2000,2000-12-31,562,405,36,-80,100,160,79,778,729,,,,16,,1062,,23,213,32,-2,19,205,0,2000-12-31,40,237,79,0,60,3.7722,1062,0,314,748,0,405,
AJG,1999,1999-12-31,467,365,22,-76,61,125,37,643,626,,,,11,,884,,20,153,46,-3,16,174,0,1999-12-31,36,208,74,0,64,3.1351,884,0,242,642,0,365,
AJG,1998,1998-12-31,373,288,22,-67,62,119,18,531,531,,,,12,,746,,20,124,46,-1,13,151,0,1998-12-31,31,172,71,0,57,2.6761,746,0,202,544,0,288,
AJG,1997,1997-12-31,312,218,18,-59,67,130,17,469,466,,,,10,,642,,39,121,45,2,12,96,0,1997-12-31,28,141,66,0,63,2.3333,642,0,164,478,0,218,
AJG,1996,1996-12-31,324,238,15,-53,57,110,16,464,445,,,,11,,590,,37,116,38,1,11,53,0,1996-12-31,26,115,65,0,53,1.8923,590,0,135,456,0,238,
AJG,1995,1995-12-31,263,194,13,-44,54,100,15,382,364,,,,8,,496,,42,88,30,0,14,42,0,1995-12-31,23,103,62,0,46,1.7903,496,0,118,378,0,194,
AJG,1994,1994-12-31,252,180,12,-39,40,82,15,351,342,,,,8,,451,3,38,89,33,-3,9,34,0,1994-12-31,20,85,59,0,43,1.5085,451,3,97,354,3,180,
AJG,1993,1993-12-31,232,153,10,-31,47,112,15,364,306,,,,8,,464,25,48,99,28,-1,12,26,0,1993-12-31,18,99,61,0,65,1.8689,464,25,121,342,25,153,0
AJG,1992,1992-12-31,214,139,8,-24,112,112,14,274,275,,,,8,,401,20,82,23,21,-1,15,21,0,1992-12-31,17,76,57,0,0,1.4561,401,20,91,310,20,139,0
AJG,1991,1991-12-31,201,123,6,-19,116,116,14,257,256,,,,8,,376,20,79,18,19,-1,15,17,0,1991-12-31,15,73,54,0,,1.4444,376,20,86,291,20,123,
AJG,1990,1990-12-31,158,98,4,-20,112,112,12,227,206,,,,6,,320,20,58,18,17,-3,12,16,0,1990-12-31,12,72,48,0,,1.5833,320,20,82,238,20,98,
AJG,1989,1989-12-31,156,109,4,-16,69,69,11,195,190,,,,7,,294,20,71,17,12,-1,10,11,0,1989-12-31,10,-1,46,0,,1.4783,294,20,74,220,20,109,
AJG,1988,1988-12-31,146,91,4,-13,84,84,11,192,180,,,,7,,277,20,57,17,11,-5,9,13,0,1988-12-31,8,61,47,0,,1.2979,277,20,68,209,20,91,
AJG,1987,1987-12-31,143,86,2,-10,79,79,11,172,167,,,,7,,254,20,59,7,11,-6,4,9,0,1987-12-31,7,54,47,0,,1.1915,254,20,63,191,20,86,
AJG,1986,1986-12-31,133,87,3,-9,69,69,11,163,153,,,,3,,229,20,54,7,10,-2,2,2,0,1986-12-31,6,42,43,0,,1.186,229,20,54,175,20,87,
AJG,1985,1985-12-31,76,62,2,-6,33,33,4,98,90,,,,4,,147,20,39,3,6,-2,1,1,0,1985-12-31,5,26,41,0,,0.7805,147,20,36,112,20,62,
AJG,1984,1984-12-31,35,28,2,-5,35,35,4,64,48,,,,3,,95,20,23,2,5,-2,1,0,0,1984-12-31,4,17,17,0,0,1.3529,95,20,26,70,20,28,0
AJG,1983,1983-12-31,27,17,2,-4,14,14,4,33,34,,,,3,,56,10,15,3,2,-2,1,0,0,1983-12-31,5,12,16,0,0,0.4375,56,10,10,46,10,17,-4
AIZ,2019,2019-12-31,2682.1,,76.4,-328.5,1867.1,,1.6,,,,,,540.2,,44291.2,2006.9,16587.4,,3228.2,-477.6,1687,,,2019-12-31,503.2,5966.4,59.94589,0,,46.14662,44291.2,2006.9,5652.8,38638.4,2006.9,,-5267.3
AIZ,2018,2018-12-31,2187.4,,,-373.6,1254,,1.6,,,,,,622.4,,41089.3,2006,15089.3,,3152.3,-489.9,1508.2,,,2018-12-31,392.5,5759.7,61.90898,0,,34.96908,41089.3,2006,5112,35977.3,2006,,-4992.4
AIZ,2017,2017-12-31,2046.3,,,-348.6,996.8,,1.5,,,,,,288.6,,31843,1068.2,12300,,4147.3,-365.1,701.5,,,2017-12-31,347.6,5697.3,52.41781,0,,58.45914,31843,1068.2,4270.6,27572.4,1068.2,,-4860.1
AIZ,2016,2016-12-31,1985.67,,,-334.284,1031.971,,1.504,,,,,,240.31,,29709.128,1067.02,11440.543,,3687.5,-385.297,232.135,,,2016-12-31,343.572,5296.678,55.94148,0,,54.10715,29709.128,1067.02,4098.1,25611.028,1067.02,,-4470.551
AIZ,2015,2015-12-31,2049.81,,,,1288.305,,1.497,,,,,,277.163,,30036.402,1164.656,12950.914,,4289.979,-399.328,92.327,,,2015-12-31,298.414,4856.674,65.85039,0,,51.83404,30036.402,1164.656,4523.967,25512.435,1164.656,,-3601.162
AIZ,2014,2014-12-31,2676,,,-515,1319,,1,,,,,,382,,31562,1171,12811,,4186,-264,197,,,2014-12-31,278,4809,69,0,,57.3623,31562,1171,5181,26381,1171,,-3317
AIZ,2013,2013-12-31,1662,,,-487,1717,,1,,,,129,,355,,29715,1638,12905,,3822,-126,195,,,2013-12-31,254,4416,72,0,,51.3056,29715,1638,4833,24881,1638,,-3098
AIZ,2012,2012-12-31,1514,,,-481,909,,1,,,,161,,263,,28947,972,13612,,4300,830,210,0,,2012-12-31,251,4001,79,0,,54.2025,28947,972,5185,23761,972,176,-2700
AIZ,2011,2011-12-31,1486,,,-469,1167,,1,,,,32,,304,,27115,972,12662,,3728,-174,230,0,,2011-12-31,243,3742,89,0,,45.8876,27115,972,5027,22089,972,,-2297
AIZ,2010,2010-12-31,1354,,,-438,1151,,1,,,,,,,,26397,977,12128,,3668,-140,277,76,,2010-12-31,267,3264,102,0,,40.7941,26397,977,4781,21616,977,,-1764
AIZ,2009,2009-12-31,1388,,,-401,1319,,1,,,,,,,,25842,980,11673,,3615,66,385,167,,2009-12-31,275,3054,117,0,,33.5641,25842,980,4853,20989,980,0,-1231
AIZ,2008,2008-12-31,1433,,,-360,1041,,1,,,,0,,,,24515,983,10502,,3536,-671,444,449,,2008-12-31,279,2650,117,0,,23.1453,24515,983,3710,20805,983,44,-1200
AIZ,2007,2007-12-31,1333,,,-312,805,,1,,,,108,,,,26750,993,12256,,3571,54,758,0,,2007-12-31,276,2269,118,0,,27.5932,26750,993,4089,22661,993,26,-1141
AIZ,2006,2006-12-31,1283,,,-269,988,,1,,,,57,,,,25165,994,11104,,3753,88,616,,,2006-12-31,275,1676,123,0,,24.7317,25165,994,3833,21333,994,0,-828
AIZ,2005,2005-12-31,1351,,,-259,856,,1,,,,48,,,,25365,996,11243,,4176,217,898,,,2005-12-31,268,1007,131,0,,22.0992,25365,996,3700,21666,996,4,-406
AIZ,2004,2004-12-31,1328,,,-283,807,,1,,,,4,,,,24504,996,11029,,4000,338,865,0,,2004-12-31,277,570,140,0,,20.0857,24504,996,3635,20868,996,0,-64
AIZ,2003,2003-12-31,1365,,,-254,958,,1,,,,,,,,23728,1970,9923,,3884,319,393,60,,2003-12-31,284,249,142,0,,12.7042,23728,1970,2632,21096,1970,26,
AIZ,2002,2002-12-31,1205,,,-239,550,,1,,,,,,,,22218,1471,9117,,3748,245,462,168,,2002-12-31,251,245,142,0,,12.1197,22218,1471,2555,19663,1471,,
AIZ,2001,2001-12-31,1282,,,-212,559,,1,,,,,,,,24450,1471,8664,,3840,98,542,336,,2001-12-31,233,1289,142,0,,9.5986,24450,1471,3452,20997,1471,,
T,2019,2019-12-31,29640,24247,16168,-203410,9476,12130,7621,54761,68911,11834,59502,146241,157617,2864,551669,149437,3695,12320,11265,5422,70013,35188,1569,2019-12-31,154167,57936,7254.55514,4,,-16.49129,551669,163147,184221,367448,151309,25816,-13085
T,2018,2018-12-31,27018,27716,15970,-199217,2074,5204,7621,51427,64420,7203,57859,146370,163827,2771,531864,166250,6245,12241,11177,4251,49451,32522,1448,2018-12-31,131473,58753,7281.62853,3052,,-17.31865,531864,176505,184089,347775,166250,29164,-12059
T,2017,2017-12-31,24439,16522,10031,-188277,46342,50498,6495,79146,81389,38372,43207,105449,114276,2225,444097,125972,1560,6751,8545,6357,51522,18444,1781,2017-12-31,125222,50500,6139.42454,2,,-12.8455,444097,164346,140861,303236,125972,18303,-12714
T,2016,2016-12-31,22027,16794,9111,-194749,3985,5788,6495,38369,50576,9828,60128,105207,116860,2039,403821,113681,1674,10587,9606,4420,55326,16812,1606,2016-12-31,124899,34734,6138.99395,4,,-16.11534,403821,123513,123135,280686,113681,18400,-12659
T,2015,2015-12-31,14984,16532,6766,-169397,5121,5121,6495,35992,47816,7632,56181,104568,120710,1933,402672,117631,1606,9234,11574,4850,56520,15346,0,2015-12-31,124450,33671,6144.93985,5,,-16.6978,402672,126151,122671,280001,118515,16532,-12592
T,2014,2014-12-31,14984,14527,6766,-169397,8603,8603,6495,32028,37282,6056,37544,69692,66963,,292829,76011,250,8067,9476,7562,55068,10998,0,2014-12-31,112898,27736,5187,0,,-9.6944,292829,82067,86370,206459,76011,14527,-47029
T,2013,2013-12-31,11561,12918,7597,-163830,3339,3339,6495,23196,34995,5498,36308,69273,62212,,277787,69290,3860,5979,10339,7430,45712,8278,0,2013-12-31,110968,31141,5226,0,,-7.7491,277787,74788,90988,186799,69290,12918,-45619
