symbol,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraHighTTM,peExclExtraTTM,peExclLowTTM,peInclExtraTTM,peNormalizedAnnual
FOXA,10.52731,16.67335,,10.24083,,10.24083,11.23838
FOX,,,,,,,
BEN,10.21711,8.56815,13.74994,9.82172,8.55608,9.82172,8.46467
FCX,,,132.9721,,6.05153,,
GPS,,20.76512,17.43546,,7.1155,,12.445
GRMN,17.50204,22.29892,23.27838,20.9085,14.24309,20.9085,22.29892
IT,51.95059,57.02999,515.796,61.37325,31.40732,61.37325,54.7394
GD,12.48193,11.61591,22.02665,12.62262,10.97437,12.62262,11.61591
GE,15.55051,,202.3037,19.95604,12.98213,22.02558,28.08831
GIS,16.82557,17.02798,25.78798,16.21571,15.21742,16.21571,17.42593
GM,13.18586,8.12103,24.08469,16.65755,3.66147,16.65755,7.03593
GPC,2807.375,22.19039,3817.489,3803.049,17.33376,,16.73882
GILD,64.273,13.94836,65.6615,61.13097,7.17942,61.13097,13.66471
GPN,105.4864,79.01296,114.9592,101.9743,26.62537,101.9743,51.90379
GL,11.96269,12.63297,18.5624,13.11315,10.74522,13.11315,12.37981
GS,11.46225,9.65069,17.76306,11.70523,6.96261,11.70523,8.57373
GWW,30.37224,24.40819,30.48865,32.3747,17.30976,32.3747,20.88967
HRB,11.14193,613.9037,174.6748,13.26932,7.37669,13.89774,45.51582
HAL,,,191.0831,,14.45386,,6.67542
HBI,7.24071,9.96063,29.52003,11.35229,5.88485,11.35229,9.10978
HIG,7.66223,6.75525,87.49709,7.9972,7.52083,7.9972,5.88449
HAS,26.80079,20.7641,55.52804,29.40611,16.03971,29.40611,20.16018
HCA,12.41027,13.66676,15.66739,13.92134,10.00939,13.92134,13.09672
PEAK,46.25528,318.8341,954.3961,48.96885,12.76888,48.96885,125.0164
HSIC,14.33364,12.86817,24.52933,14.85103,10.31638,14.86247,12.6647
HES,,,,,,,
HPE,113.279,8.28312,159.7332,117.0119,4.63365,,5.40716
HLT,,30.96846,573.2012,,17.18039,,31.39998
HFC,,4.05142,34.72556,,8.07243,,3.53088
HOLX,15.16884,17.49928,170.8598,17.54006,13.87917,17.54006,16.91945
HD,24.22135,27.89338,28.0086,26.1811,18.77389,26.1811,27.89338
HON,24.2029,22.28897,24.81696,26.58458,15.73123,25.70217,20.76411
HRL,29.02073,27.93545,29.50671,29.43628,19.34379,29.43628,27.93545
HST,,8.68577,93.85873,,11.02919,,12.26285
HWM,14.56132,18.287,63.93961,18.47783,9.14814,16.61918,8.81544
HPQ,9.87879,9.4841,14.53547,10.79553,4.90491,10.79553,8.90066
HUM,13.18338,21.93806,50.42821,14.12627,13.26419,14.12627,21.93806
HBAN,12.76394,7.96209,19.8438,14.24634,8.40629,14.24634,7.96209
HII,13.56301,11.36577,22.66407,11.71538,9.95993,11.71538,10.90284
IEX,36.91621,31.80888,37.26494,36.13929,21.11591,36.10713,29.97518
IDXX,67.46782,96.06458,68.51937,81.8098,35.56466,81.8098,96.06458
INFO,34.36385,71.85244,90.16893,38.67081,32.96866,38.67081,73.71867
ITW,29.17756,26.17973,29.30448,30.74384,16.66634,30.74384,26.53482
ILMN,68.96433,46.29559,77.07852,72.40266,34.00273,72.40266,48.61561
INCY,,44.42204,344.0467,,39.81613,,42.69571
IR,,49.98621,,,,,28.31578
INTC,9.69814,9.71189,17.75101,8.96138,9.79281,8.96138,9.55581
ICE,27.37863,28.74981,27.5714,27.10568,20.16275,27.10568,28.7263
IBM,13.47954,10.69493,14.31184,12.80599,9.65728,12.99395,8.37501
IFF,32.47087,26.28122,39.39387,28.2349,19.56219,28.2349,21.66706
