symbol,period,numberAnalysts,revenueAvg,revenueHigh,revenueLow
FOXA,2025-06-30,14,15202031289,15810112540,14745970350
FOXA,2024-06-30,14,14318005080,14890725284,13888464928
FOXA,2023-06-30,18,13687667429,14695140000,11467340000
FOXA,2022-06-30,25,12622997541,13180440000,11388770000
FOXA,2021-06-30,27,12147532382,12531924000,11101650000
FOXA,2020-06-30,27,12442620328,12582720000,11482860000
FOXA,2019-06-30,24,11560207362,12322620000,10909590000
FOX,2020-06-30,2,35382392500,35556690000,33813715000
FOX,2019-06-30,3,31899419999,32430900000,30129170000
BEN,2024-09-30,8,5560593247,5783016977,5393775449
BEN,2023-09-30,8,5483127695,5702452803,5318633864
BEN,2022-09-30,11,5487842449,7097370120,4377239460
BEN,2021-09-30,13,5442545456,7240570980,4582862000
BEN,2020-09-30,13,5336178277,5645808120,4994918000
BEN,2019-09-30,14,5870162073,5926200000,5593990000
BEN,2018-09-30,13,6457890992,6725880000,6133310000
BEN,2017-09-30,13,6527262466,6820536000,6190540000
BEN,2016-09-30,14,6747615881,6953442000,6404813000
BEN,2015-09-30,18,8087924781,8231910000,7681162280
BEN,2014-09-30,18,8650638132,8974980000,8183308000
BEN,2013-09-30,19,8211044484,8477220000,7790200950
BEN,2012-09-30,20,7239783433,7422540000,6864398030
BEN,2011-09-30,17,7250591731,7390308000,6814250000
BEN,2010-09-30,19,5951407291,6064920000,5419390000
BEN,2009-09-30,14,4236438870,4317048000,4007652000
BEN,2008-09-30,13,6185382341,6268002000,5877462800
BEN,2007-09-30,10,6335707434,6403396800,6006143000
BEN,2006-09-30,12,5112936497,5159966820,4833801000
BEN,2005-09-30,12,2929842332,2959086300,2788653000
BEN,2004-09-30,12,3473114413,3504210000,3310707000
BEN,2003-09-30,10,2533832084,2676378000,1771220000
BEN,2002-09-30,6,2618575662,2757672000,2454691700
BEN,2001-09-30,7,2234015000,2451774000,1771511000
BEN,2000-09-30,3,2433462500,2448000000,2323150000
BEN,1999-09-30,3,2323893250,2339982000,2216450000
BEN,1998-09-30,2,1839078499,1848138000,1757543000
FCX,2024-12-31,11,24868489755,25863229346,24122435063
FCX,2023-12-31,11,21135773105,21981204029,20501699911
FCX,2022-12-31,14,18232780630,20722330200,13946660000
FCX,2021-12-31,16,17146356216,19403011200,13104700000
FCX,2020-12-31,16,13293280927,13853704260,11368400000
FCX,2019-12-31,18,14455019792,14975556360,13379210000
FCX,2018-12-31,21,18964538221,19586601000,17456120000
FCX,2017-12-31,21,16389123586,17332860000,14371520000
FCX,2016-12-31,19,15499950487,16821840000,14099823000
FCX,2015-12-31,17,16198404487,16865700000,14962250000
FCX,2014-12-31,23,21409884554,22684800000,19746290000
FCX,2013-12-31,20,21761854348,24915958200,20011100000
FCX,2012-12-31,17,18426881191,19995060000,17112740000
FCX,2011-12-31,18,20989388537,22470600000,19558886000
FCX,2010-12-31,14,19224023255,20231700000,17597672100
FCX,2009-12-31,13,15014151187,16078260000,13717158000
FCX,2008-12-31,13,18824133667,20975728800,16727499650
FCX,2007-12-31,14,17556302049,19426920000,14904023810
FCX,2006-12-31,15,5966837149,6843588000,5113781800
FCX,2005-12-31,15,4181758019,4552158000,3790715380
FCX,2004-12-31,12,2348919090,2588250000,2112660000
FCX,2003-12-31,11,2206890140,2312748000,2004990000
