symbol,year,period,costOfGoodsSold,dilutedAverageSharesOutstanding,dilutedEPS,ebit,grossIncome,interestIncomeExpense,netIncome,netIncomeAfterTaxes,period,pretaxIncome,provisionforIncomeTaxes,researchDevelopment,revenue,sgaExpense,totalOperatingExpense,totalOtherIncomeExpenseNet
TSN,2020,2020-10-03,37284,364,7.04978,3230,5901,-475,2140,2150,2020-10-03,2770,620,,43185,2170,2671,15
TSN,2019,2019-09-28,37383,363,5.53796,2882,5022,-423,2022,2035,2019-09-28,2431,396,,42405,2154,2140,-28
TSN,2018,2018-09-29,34956,365,5.87346,3032,5096,-325,3024,2023,2018-09-29,2745,722,,40052,2005,2064,38
TSN,2017,2017-09-30,33142,370,5.06888,2931,5118,-272,1774,1778,2017-09-30,2628,850,,38260,2037,2187,-31
TSN,2016,2016-10-01,32184,390,4.53333,2833,4697,-245,1768,1772,2016-10-01,2598,826,,36881,1864,1864,10
TSN,2015,2015-10-03,37456,413,2.954,2169,3917,-280,1220,1224,2015-10-03,1921,697,,41373,1748,1748,32
TSN,2014,2014-09-27,34895,364,2.37,1430,2685,-125,864,856,2014-09-27,1252,396,,37580,1255,1255,-53
TSN,2013,2013-09-28,32016,367,2.31,1375,2358,-136,778,848,2013-09-28,1257,409,,34374,983,983,18
TSN,2012,2012-09-29,31118,370,1.9,1081,2160,-177,583,576,2012-09-29,927,351,,33278,912,1079,23
TSN,2011,2011-10-01,30067,380,2.01,1278,2199,-224,750,733,2011-10-01,1074,341,,32266,914,921,20
TSN,2010,2010-10-02,25916,379,2.24,1495,2514,-272,780,765,2010-10-02,1203,438,,28430,929,1019,-20
TSN,2009,2009-10-03,25501,372,-0.46,-215,1203,-293,-537,-540,2009-10-03,-526,14,,26704,841,1418,-18
TSN,2008,2008-09-27,25616,356,0.32,331,1246,-206,86,86,2008-09-27,154,68,,26862,879,915,29
TSN,2007,2007-09-29,25467,355,0.75,614,1433,-224,268,268,2007-09-29,410,142,,26900,817,819,20
TSN,2006,2006-09-30,24631,345,-0.55,-77,928,-238,-196,-191,2006-09-30,-293,-102,,25559,935,1005,22
TSN,2005,2005-10-01,24274,357,1.04,765,1740,-227,372,372,2005-10-01,528,156,,26014,928,975,-10
