symbol,period,numberAnalysts,revenueAvg,revenueHigh,revenueLow
IP,2024-12-31,2,20494522273,21314303164,19879686605
IP,2023-12-31,2,20444474528,21262253509,19831140292
IP,2022-12-31,7,20700467234,21301680000,19256106320
IP,2021-12-31,16,20764964821,21594358800,19037220000
IP,2020-12-31,16,20600121716,21112980000,19148770000
IP,2019-12-31,16,22758428627,23007038400,21610630000
IP,2018-12-31,17,23674920238,24122938800,22257620000
IP,2017-12-31,17,23532711856,24055680000,22327460000
IP,2016-12-31,19,21351290035,21856764000,20129246000
IP,2015-12-31,20,22948531448,23447739600,21641670000
IP,2014-12-31,22,26415842174,26817431602,22946543100
IP,2013-12-31,17,29646158783,29942854800,28158324000
IP,2012-12-31,16,28202126870,29321940000,26596430000
IP,2011-12-31,14,26578508570,26935140000,25187990000
IP,2010-12-31,14,25320860549,25726746000,23897084900
IP,2009-12-31,15,23667725522,24260904000,22471815400
IP,2008-12-31,13,25682778449,26897400000,23800502000
IP,2007-12-31,16,21985478235,22290060000,20719200000
IP,2006-12-31,15,23888975801,24518760000,22166190710
IP,2005-12-31,16,25301547890,27006540000,23047200000
IP,2004-12-31,15,26270060829,26753580000,24440120000
IP,2003-12-31,14,25319986999,25630560000,24048240000
IP,2002-12-31,11,25150913374,25616790000,23423560000
IP,2001-12-31,8,27633131399,29733000000,25559500000
IP,1999-12-31,4,23953999999,24072000000,22892000000
IP,1998-12-31,5,20107149999,20808000000,18643400000
IP,1996-12-31,4,20323344999,20423460000,19422310000
IPG,2024-12-31,7,9084863588,9448258131,8812317680
IPG,2023-12-31,7,8768098671,9118822617,8505055710
IPG,2022-12-31,10,8589314177,8775060000,7995710000
IPG,2021-12-31,14,8373703035,8615277000,7848872370
IPG,2020-12-31,14,8001586405,8271996000,7187700000
IPG,2019-12-31,12,8736110643,8811841200,8323570000
IPG,2018-12-31,13,8082405719,8182440000,7685302240
IPG,2017-12-31,15,7950209713,8068200000,7505860000
IPG,2016-12-31,17,7955672728,8024340000,7569104194
IPG,2015-12-31,19,7723277099,7794676800,7339331370
IPG,2014-12-31,20,7618203234,7718136000,7206130000
IPG,2013-12-31,18,7224699345,7283820000,6880985815
IPG,2012-12-31,22,7078697624,7265460000,6717250000
IPG,2011-12-31,23,7111305423,7196100000,6672630000
IPG,2010-12-31,15,6525122237,6598461600,6192383000
