symbol,year,period,capex,cashDividendsPaid,cashInterestPaid,cashTaxesPaid,changeinCash,changesinWorkingCapital,deferredTaxesInvestmentTaxCredit,depreciationAmortization,foreignExchangeEffects,issuanceReductionCapitalStock,issuanceReductionDebtNet,netCashFinancingActivities,netIncomeStartingLine,netInvestingCashFlow,netOperatingCashFlow,otherFundsFinancingItems,otherFundsNonCashItems,otherInvestingCashFlowItemsTotal
ODFL,2019,2019-12-31,-479.325,-54.552,3.857,157.29,213.289,67.683,13.157,253.681,,-240.96,0,-296.96,615.518,-473.639,983.888,-1.448,33.849,5.686
ODFL,2018,2018-12-31,-588.292,-42.566,4.525,170.035,62.82,1.011,57.709,230.357,,-163.265,-50,-256.905,605.668,-580.391,900.116,-1.074,5.371,7.901
ODFL,2017,2017-12-31,-382.125,-32.925,5.442,199.404,117.291,-55.12,-82.639,205.763,,-8.013,-9.975,-51.257,463.774,-367.746,536.294,-0.344,4.516,14.379
ODFL,2016,2016-12-31,-417.941,,6.417,123.395,-1.301,43.565,34.808,189.867,,-130.316,-28.83,-159.484,295.765,-407.4,565.583,-0.338,1.578,10.541
ODFL,2015,2015-12-31,-462.059,,8.414,130.058,-23.315,43.797,43.642,165.343,,-114.117,-25.461,-139.578,304.69,-437.617,553.88,,-3.592,24.442
ODFL,2014,2014-12-31,-367.68,0,9.71,176.221,4.613,-47.134,25.544,146.466,,-5.532,-35.715,-41.247,267.514,-345.814,391.674,0,-0.716,21.866
ODFL,2013,2013-12-31,-295.6,,11.6,102.4,17.3,-9.5,32.7,127.1,,0,-49,-49,206.1,-284.4,350.7,0,-5.7,11.2
ODFL,2012,2012-12-31,-373.2,,13.7,74.9,-63,30.1,17.7,110.7,,0,-29.9,-29.9,169.5,-361.2,328.1,0,0.1,12
ODFL,2011,2011-12-31,-250.8,,14,34.6,70.4,3,43.3,90.8,,48.4,-10.6,37.8,139.5,-245.3,277.9,0,1.3,5.4
ODFL,2010,2010-12-31,-106.3,,13.6,44.9,1.3,-23.9,7.6,80.4,,0,-35.5,-35.5,75.7,-103.7,140.5,0,0.8,2.6
ODFL,2009,2009-12-31,-210.9,,14.7,9,-19.9,-9.9,10.8,94.8,,0,53.1,53.1,34.9,-203.7,130.7,0,0.2,7.2
ODFL,2008,2008-12-31,-181.5,,14.9,39.7,17.8,37.5,5.4,87.1,,0,-12.9,-12.9,68.7,-165.8,196.5,0,-2.1,15.7
ODFL,2007,2007-12-31,-186.8,,15.7,38.5,3.8,-0.8,8.6,79.9,,0,-12.7,-12.7,71.8,-141.2,157.7,,-1.8,45.6
ODFL,2006,2006-12-31,-199.1,,11.9,45.5,1.6,6.9,7.7,67.6,,-0.6,145.6,145,72.6,-298,154.6,,-0.2,-98.9
ODFL,2005,2005-12-31,-142.6,,6.5,35.8,0.2,4.3,-2.4,55.9,,-0.4,47.5,47.1,53.5,-160.5,113.6,,2.3,-17.9
ODFL,2004,2004-12-31,-93.7,,5.9,18.3,-0.3,-1.7,8,44.8,,19.9,-18,2,39,-92.1,89.8,,-0.2,1.6
ODFL,2003,2003-12-31,-101.9,,6.5,8.5,-18.2,4.4,4.5,38.2,,1,4.2,5.2,27.6,-98.4,75.1,,0.3,3.5
ODFL,2002,2002-12-31,-70,,6.4,13.5,18.5,-7.9,2.3,31.1,,48.5,-5.2,43.3,18.5,-69.1,44.3,,0.4,0.9
ODFL,2001,2001-12-31,-43.6,,6,4.3,0.2,-6.5,-0.3,29.9,,,14.9,14.9,11.9,-47,32.3,,-2.8,-3.3
ODFL,2000,2000-12-31,-63.1,,5.6,10.7,-0.2,-0.2,1.6,27,,,18.7,18.7,13.7,-61,42.2,,0,2.1
ODFL,1999,1999-12-31,-36,,4.8,8.6,0.1,-1.1,1.2,25.3,,,-5.7,-5.7,14.4,-34.1,40,,0.2,1.8
ODFL,1998,1998-12-31,-45.1,,4.1,2.9,0,8.6,2.7,21.9,0,0,15.4,15.4,11.1,-59.7,44.3,,-0.1,-14.6
ODFL,1997,1997-12-31,-34.2,0,4.6,3,-0.7,-3.7,3.9,17.2,0,0,4.2,4.2,10,-32.7,27.8,0,0.3,1.6
ODFL,1996,1996-12-31,-38.3,0,2,-1,0.4,-0.9,3.4,16.1,0,0,12.9,12.9,6.1,-37.3,24.7,0,0.1,1
ODFL,1995,1995-12-31,-27.8,0,1.6,4,-1.4,-7.1,2.5,13.6,0,0,11.6,11.6,4.8,-26.5,13.5,0,-0.4,1.3
ODFL,1994,1994-12-31,-27.1,0,1.2,3.5,-3.2,0.2,1,11.8,0,0,-0.4,-0.3,10,-25.5,22.6,0,-0.4,1.6
ODFL,1993,1993-12-31,-21.3,0,1.2,3.1,-3.7,-3.9,1.6,10.1,0,0.2,1.1,0.9,8.3,-20.6,16,-0.3,-0.1,0.7
ODFL,1992,1992-12-31,-21.3,0,1.4,4.5,6.7,2.5,1.4,8.6,0,0,5,4.9,8,-19.6,21.3,0,0.8,1.7
ODFL,1991,1991-12-31,-16.5,-0.3,2.8,2.1,1.6,3.2,-0.9,6.7,0,17.4,-13.4,3.6,6.3,-12,10.1,0,-5.3,4.5
ODFL,1990,1990-12-31,-19.4,-0.5,5.2,0.5,0.2,-1.5,1.9,9.5,0,0,3.9,3.4,4.7,-16.6,13.4,0,-1.2,2.8
ODFL,1989,1989-12-31,-15.8,-0.5,4.6,0.3,0.3,1.9,-0.1,9.7,0,0,4,3.5,1.9,-14.1,10.9,0,-2.6,1.7
OMC,2019,2019-12-31,-102.2,-564.3,246.3,361,653.3,125.1,,231.5,50.2,-603.7,214.4,-1222,1435.9,-30.9,1856,-268.4,63.5,71.3
OMC,2018,2018-12-31,-195.7,-548.5,243.2,590.9,-143.6,80.5,,264,-203,-568.3,0,-1441.1,1440.5,-221.8,1722.3,-324.3,-62.7,-26.1
OMC,2017,2017-12-31,-156,-515.2,226.2,566,793.8,348.5,,282.1,227.9,-557.7,-18.1,-1342.6,1192.2,-115.4,2023.9,-251.6,201.1,40.6
OMC,2016,2016-12-31,-165.5,-505.4,216.7,570.4,397,302.8,,292.9,-75.5,-575.4,388.4,-998.3,1246.7,-481.6,1952.4,-305.9,110,-316.1
OMC,2015,2015-12-31,-202.7,-496.7,173.9,540.1,217.1,559.5,,291.1,-262.6,-707.4,-1.1,-1456.3,1203.4,-263.5,2199.5,-251.1,145.5,-60.8
OMC,2014,2014-12-31,-213,-468,188.6,610.1,-322.4,-106.2,,294.4,-273.9,-1023.7,497,-1258.1,1233.1,-266.9,1476.5,-263.4,55.2,-53.9
OMC,2013,2013-12-31,-212,-318.4,192.8,472.4,32.2,351.3,,284.8,-128.8,-523,-407.1,-1419.8,1111.6,-228.2,1809,-171.3,61.3,-16.2
OMC,2012,2012-12-31,-226.3,-397.8,165.5,321.1,897.1,25.2,,282.7,16.3,-917.3,1269.9,-220.1,1117.5,-350.4,1451.3,-174.9,25.9,-124.1
OMC,2011,2011-12-31,-185.5,-269.1,153.9,365.4,-507.5,29.2,,273.70000000000005,-42.5,-731.5,-43.2,-1205.7,1060.4,-574.6,1315.3,-161.9,-48,-389.1
OMC,2010,2010-12-31,-153.7,-229.7,140.8,293.3,701.7,310.3,,253,44.7,-1172.9,958.6,-537.3,923.7,-293.7,1488,-93.3,1,-140
OMC,2009,2009-12-31,-130.6,-187.1,86.8,270.4,489.7,564.4,,242.8,112.1,3.6,-815.7,-1128,871.4,-226,1731.6,-128.8,53,-95.4
OMC,2008,2008-12-31,-212.2,-192,126.3,411.4,-695.9,-12,,235.9,-356.3,-760.8,5.5,-1053.8,1000.3,-680,1394.2,-106.5,170,-467.8
OMC,2007,2007-12-31,-223,-182.8,87.7,303.5,53.7,243.8,,208.6,-64.4,-798.8,0.5,-1040.7,975.7,-440.5,1599.3,-59.6,171.2,-217.5
OMC,2006,2006-12-31,-177.6,-175.8,114.3,409.8,903.7,564.5,,190,-65.2,-1046.7,692.7,-583.5,864,-188.8,1741.2,-53.7,122.7,-11.2
OMC,2005,2005-12-31,-162.7,-164,67.8,305.8,-329.8,-151.2,,175.2,-41.9,-731.8,-189.4,-1116.8,790.7,-162.3,991.2,-31.6,176.5,0.4
